2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1111.0965494424045,1036.148173544365,877.786281184398,850.3139878982163,788.305875284044,1157.996001406584,1137.19727799018,1173.5165068618537,1238.1798612962848,919.3185009531517,878.4384876400894,1074.0242845500889,1338.1979392613184,1350.784677968633,1148.3587881057229,896.7463019,1852.663959
1091.4815835341735,1052.9059579793477,850.745764602597,818.1432641448146,779.5874416172352,1153.3420848661483,1129.3124288294484,1161.6054918700977,1236.050963511981,906.6801460851133,839.0929043755613,1035.1891801430247,1328.940064239456,1333.434943232921,1134.909661699636,865.9305675,1850.169452
1080.2576158973252,1054.4721575594228,831.6332209213215,783.3966241883325,767.3109848667725,1166.882378363994,1155.484646622458,1162.7930726289287,1244.073139740918,877.9683373285282,817.9957069916575,1036.216739397305,1317.990845612837,1323.9084976558597,1126.8640261009728,839.0511751,1858.269586
1079.726402988059,1071.3215816833067,823.5559800547192,760.639635204419,774.6714466897613,1157.3256718644698,1209.918355352547,1177.509559140931,1253.2111096971037,863.6838352791777,814.9678834218657,1032.7774387231382,1325.5451340994098,1325.951404794231,1129.4176630418337,822.8293316,1879.623596
1087.934960553314,1099.778467618875,823.3791504964465,743.3716907597388,772.916672580642,1176.83248091699,1265.055389088752,1194.823013896329,1284.0552570146483,888.9348175541901,843.9525785392941,1042.9064430700732,1348.5961873544384,1339.6752900747117,1141.769601578699,814.0161882,1876.48132
1101.9318226766472,1127.734034727514,835.1157099497939,744.2422963533783,782.6478675607377,1205.722374395855,1316.5997555268184,1234.1940725645295,1336.8686379989183,912.9421296915352,883.7085331033552,1069.2872471078483,1379.7401810011388,1367.8479525023515,1182.991021672098,823.4193556,1903.008862
1136.1704847358048,1176.3710522691515,857.0149550041853,766.6846843671314,815.314852172936,1268.327330176594,1382.1228455341923,1287.4175164119815,1370.0126937496111,955.4643160923168,950.2285916213312,1109.1444138989118,1416.9039725820253,1410.0961480181988,1221.502145960898,844.9511071,1961.792667
1169.0281706793671,1198.2495002793257,870.70080269161,790.308699420955,820.1947731832872,1289.7184531884195,1373.939793250773,1286.7442097646376,1415.7999753727704,977.7761396525024,983.0904203966855,1148.8011004614723,1424.105786785297,1446.2769090284787,1250.8696032974779,874.5760299,1996.430639
1206.359772870631,1186.036514700505,895.4177209497459,827.0355454318561,842.7081360991137,1298.3171645378711,1422.4139030363524,1324.5490638540653,1458.01758134841,1041.3636248196078,1023.6896061855352,1196.9789195395867,1405.354532787433,1485.5130529900828,1285.636460648278,919.2606824,2012.832449
1254.367120096678,1162.6475836547602,941.0394415329279,890.0028621964872,885.5702552953027,1309.6773612467384,1419.0663696764864,1264.3060133057556,1425.9064677397705,1098.9727721994864,1027.8472119100124,1235.794003004588,1369.4557596959453,1534.6218896770429,1323.281279350029,956.2144706,2008.724253
