# file...... xout_power_data.csv
# date...... Mon Jun 17 14:20:34 2019
# user...... austinchang
# host...... (null)
# target.... regulator 118
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,power_out.real, power_out.imag, power_losses.real
2018-01-01 00:00:00 EST,+679782,-319743,+2.91038e-11
2018-01-01 00:15:00 EST,+63647.5,+1274.75,+1.45519e-11
2018-01-01 00:30:00 EST,+63647.5,+1274.75,+1.45519e-11
2018-01-01 00:45:00 EST,+63647.5,+1274.75,+1.45519e-11
2018-01-01 01:00:00 EST,+63992,+197.558,+1.81899e-12
2018-01-01 01:15:00 EST,+77371.8,+106.107,+7.27596e-12
2018-01-01 01:30:00 EST,+77371.8,+106.107,+7.27596e-12
2018-01-01 01:45:00 EST,+77371.8,+106.107,+7.27596e-12
2018-01-01 02:00:00 EST,+77307,+231.818,+7.27596e-12
2018-01-01 02:15:00 EST,+102185,+8670.26,+7.27596e-12
2018-01-01 02:30:00 EST,+102185,+8670.26,+7.27596e-12
2018-01-01 02:45:00 EST,+102185,+8670.26,+7.27596e-12
2018-01-01 03:00:00 EST,+102154,+8832.83,+7.27596e-12
2018-01-01 03:15:00 EST,+754775,+87063.1,+0
2018-01-01 03:30:00 EST,+754775,+87063.1,+0
2018-01-01 03:45:00 EST,+754775,+87063.1,+0
2018-01-01 04:00:00 EST,+750759,+101190,+1.45519e-10
2018-01-01 04:15:00 EST,+1.18081e+06,+100745,+5.82077e-11
2018-01-01 04:30:00 EST,+1.18081e+06,+100745,+5.82077e-11
2018-01-01 04:45:00 EST,+1.18081e+06,+100745,+5.82077e-11
2018-01-01 05:00:00 EST,+1.19002e+06,+122926,+1.16415e-10
2018-01-01 05:15:00 EST,+2.3248e+06,+124826,+1.16415e-10
2018-01-01 05:30:00 EST,+2.3248e+06,+124826,+1.16415e-10
2018-01-01 05:45:00 EST,+2.3248e+06,+124826,+1.16415e-10
2018-01-01 06:00:00 EST,+2.28566e+06,+206973,+2.32831e-10
2018-01-01 06:15:00 EST,+2.28499e+06,+178466,+2.32831e-10
2018-01-01 06:30:00 EST,+2.28499e+06,+178466,+2.32831e-10
2018-01-01 06:45:00 EST,+2.28499e+06,+178466,+2.32831e-10
2018-01-01 07:00:00 EST,+2.29478e+06,+192882,+0
2018-01-01 07:15:00 EST,+1.46976e+06,+98755.9,+2.32831e-10
2018-01-01 07:30:00 EST,+1.46976e+06,+98755.9,+2.32831e-10
2018-01-01 07:45:00 EST,+1.46976e+06,+98755.9,+2.32831e-10
2018-01-01 08:00:00 EST,+1.47585e+06,+106840,+2.91038e-11
2018-01-01 08:15:00 EST,+701676,+48047.7,+2.91038e-11
2018-01-01 08:30:00 EST,+701676,+48047.7,+2.91038e-11
2018-01-01 08:45:00 EST,+701676,+48047.7,+2.91038e-11
2018-01-01 09:00:00 EST,+706728,+35622.3,+5.82077e-11
2018-01-01 09:15:00 EST,+217498,+37487.2,+3.27418e-11
2018-01-01 09:30:00 EST,+217498,+37487.2,+3.27418e-11
2018-01-01 09:45:00 EST,+217498,+37487.2,+3.27418e-11
2018-01-01 10:00:00 EST,+217605,+37573.7,+2.91038e-11
2018-01-01 10:15:00 EST,+567056,+78491.5,+1.45519e-10
2018-01-01 10:30:00 EST,+567056,+78491.5,+1.45519e-10
2018-01-01 10:45:00 EST,+567056,+78491.5,+1.45519e-10
2018-01-01 11:00:00 EST,+564102,+85466.2,+5.82077e-11
2018-01-01 11:15:00 EST,+643026,+93246.2,+1.45519e-11
2018-01-01 11:30:00 EST,+643026,+93246.2,+1.45519e-11
2018-01-01 11:45:00 EST,+643026,+93246.2,+1.45519e-11
2018-01-01 12:00:00 EST,+642842,+97620,+8.73115e-11
2018-01-01 12:15:00 EST,+925570,+130316,+5.82077e-11
2018-01-01 12:30:00 EST,+925570,+130316,+5.82077e-11
2018-01-01 12:45:00 EST,+925570,+130316,+5.82077e-11
2018-01-01 13:00:00 EST,+923040,+139445,+5.82077e-11
2018-01-01 13:15:00 EST,+598569,+107267,+4.36557e-11
2018-01-01 13:30:00 EST,+598569,+107267,+4.36557e-11
2018-01-01 13:45:00 EST,+598569,+107267,+4.36557e-11
2018-01-01 14:00:00 EST,+598178,+106278,+1.45519e-11
2018-01-01 14:15:00 EST,+1.07037e+06,+108243,+1.16415e-10
2018-01-01 14:30:00 EST,+1.07037e+06,+108243,+1.16415e-10
2018-01-01 14:45:00 EST,+1.07037e+06,+108243,+1.16415e-10
2018-01-01 15:00:00 EST,+1.06417e+06,+126380,+5.82077e-11
2018-01-01 15:15:00 EST,+1.01719e+06,+65548.5,+1.16415e-10
2018-01-01 15:30:00 EST,+1.01719e+06,+65548.5,+1.16415e-10
2018-01-01 15:45:00 EST,+1.01719e+06,+65548.5,+1.16415e-10
2018-01-01 16:00:00 EST,+1.01351e+06,+77271.8,+5.82077e-11
2018-01-01 16:15:00 EST,+1.88047e+06,+100768,+1.16415e-10
2018-01-01 16:30:00 EST,+1.88047e+06,+100768,+1.16415e-10
2018-01-01 16:45:00 EST,+1.88047e+06,+100768,+1.16415e-10
2018-01-01 17:00:00 EST,+1.87178e+06,+157019,+0
2018-01-01 17:15:00 EST,+3.18786e+06,+209057,+2.32831e-10
2018-01-01 17:30:00 EST,+3.18786e+06,+209057,+2.32831e-10
2018-01-01 17:45:00 EST,+3.18786e+06,+209057,+2.32831e-10
2018-01-01 18:00:00 EST,+3.15105e+06,+323870,+4.65661e-10
