# file...... R2-12.47-3_capacitor1.csv
# date...... Fri Apr 20 12:36:31 2018
# user...... dpinney
# host...... (null)
# target.... capacitor 2
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,switchA,switchB,switchC,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:01:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:02:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:03:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:04:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:05:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:06:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:07:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:08:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:09:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:10:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:11:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:12:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:13:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:14:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:15:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
