# ILEC-Gilmore_City_Sub.VOLTS.csv run at 2000-01-01 00:00:00 PST on 383 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
GILMORE_CITY_SUBx,2400.000000,0.000000,-1200.000000,-2078.460969,-1200.000000,2078.460969
288-25-830,2392.567196,-32.173909,-1229.515123,-2064.108580,-1166.875459,2092.109952
288-25-831,2386.080056,-60.343998,-1255.306433,-2051.587010,-1137.876320,2104.042288
NEWCAP-FF99042C,2386.080056,-60.343998,-1255.306433,-2051.587010,-1137.876320,2104.042288
308-02-281,2388.198399,-41.471173,-1205.064868,-2090.589096,-1185.973865,2068.804241
308-11-160,2379.182143,-69.700678,-1209.181762,-2098.294324,-1176.890368,2062.346596
308-12-840,2373.585860,-95.158840,-1213.010360,-2105.016668,-1165.833116,2056.907222
308-13-170,2373.585860,-95.158840,-1213.010360,-2105.016668,-1166.190206,2056.816177
308-11-860,2371.844774,-99.688158,-1214.112512,-2106.246264,-1165.955988,2055.534674
308-14-130,2364.801345,-117.491586,-1217.434369,-2110.541565,-1161.005090,2051.538934
308-15-120,2366.053594,-118.820701,-1219.659904,-2106.800504,-1151.354242,2053.286250
308-16-120,2366.167080,-117.821692,-1221.478255,-2103.201500,-1147.925886,2055.969279
308-16-410,2366.507491,-117.719893,0.000000,0.000000,0.000000,0.000000
308-08-830,2366.608753,-117.689499,-1220.907132,-2103.260347,-1146.480829,2056.325880
308-09-310,0.000000,0.000000,0.000000,0.000000,-1143.640342,2057.024650
308-16-380,2364.150630,-120.801290,-1222.518448,-2105.043567,0.000000,0.000000
308-27-210,2365.096318,-119.825631,-1221.549532,-2105.238200,0.000000,0.000000
308-21-780,2365.096318,-119.825631,-1221.510710,-2105.277098,0.000000,0.000000
308-10-610,0.000000,0.000000,0.000000,0.000000,-1148.450319,2055.012586
308-03-810,0.000000,0.000000,0.000000,0.000000,-1146.883201,2055.400393
308-04-750,0.000000,0.000000,0.000000,0.000000,-1145.834996,2055.659564
308-15-780,2363.589563,-125.094454,0.000000,0.000000,0.000000,0.000000
308-27-360,2360.842173,-133.109515,0.000000,0.000000,0.000000,0.000000
308-23-860,2360.203768,-134.965788,0.000000,0.000000,0.000000,0.000000
308-24-850,2358.502156,-137.359386,0.000000,0.000000,0.000000,0.000000
308-25-141,2359.548234,-136.870228,0.000000,0.000000,0.000000,0.000000
308-25-140,2359.548234,-136.870228,0.000000,0.000000,0.000000,0.000000
308-22-670,2361.051325,-132.502298,0.000000,0.000000,0.000000,0.000000
308-23-540,2360.962829,-132.764324,0.000000,0.000000,0.000000,0.000000
308-23-541,2360.937419,-132.776268,0.000000,0.000000,0.000000,0.000000
308-23-310,2361.206697,-131.334531,0.000000,0.000000,0.000000,0.000000
308-23-220,2361.859578,-130.045191,0.000000,0.000000,0.000000,0.000000
308-02-680,2386.275984,-50.181922,-1206.386495,-2093.100901,-1182.928655,2066.712908
308-02-280,2388.452853,-42.677589,-1205.263244,-2091.013974,-1185.355082,2068.467468
288-26-870,2383.471389,-8.100046,-1187.660665,-2062.259078,-1149.385959,2064.194024
288-23-710,2357.116545,-28.703848,-1156.664947,-2014.813862,-992.444828,2074.146749
288-23-240,0.000000,0.000000,-1148.876444,-1994.052028,0.000000,0.000000
288-14-760,0.000000,0.000000,-1149.729050,-1993.201617,0.000000,0.000000
288-24-380,0.000000,0.000000,-1150.109936,-1992.821647,0.000000,0.000000
288-24-210,0.000000,0.000000,-1150.109936,-1992.821647,0.000000,0.000000
288-13-841,0.000000,0.000000,-1150.436434,-1992.495912,0.000000,0.000000
288-23-170,0.000000,0.000000,-1149.973723,-1992.957602,0.000000,0.000000
288-14-130,0.000000,0.000000,0.000000,0.000000,-861.959323,2169.467179
288-13-350,0.000000,0.000000,0.000000,0.000000,-846.966526,2171.043913
288-12-850,0.000000,0.000000,0.000000,0.000000,-846.969940,2171.043549
288-13-110,0.000000,0.000000,0.000000,0.000000,-842.074675,2165.630917
288-10-181,0.000000,0.000000,0.000000,0.000000,-846.736454,2216.912716
288-02-210,0.000000,0.000000,0.000000,0.000000,-812.579885,2260.436580
268-34-780,0.000000,0.000000,0.000000,0.000000,-810.395328,2260.595526
268-34-830,0.000000,0.000000,0.000000,0.000000,-804.600819,2258.206197
268-35-850,0.000000,0.000000,0.000000,0.000000,-795.271016,2261.618956
268-35-340,0.000000,0.000000,0.000000,0.000000,-788.427961,2262.073926
268-27-830,0.000000,0.000000,0.000000,0.000000,-777.216424,2262.805504
268-27-610,0.000000,0.000000,0.000000,0.000000,-776.979686,2262.735177
268-34-210,0.000000,0.000000,0.000000,0.000000,-776.961834,2262.821969
268-34-610,0.000000,0.000000,0.000000,0.000000,-777.066157,2262.815205
268-27-860,0.000000,0.000000,0.000000,0.000000,-779.089101,2262.683947
268-34-160,0.000000,0.000000,0.000000,0.000000,-778.987719,2262.297496
268-26-340,0.000000,0.000000,0.000000,0.000000,-785.448451,2262.268591
268-23-740,0.000000,0.000000,0.000000,0.000000,-785.448451,2262.268591
268-26-640,0.000000,0.000000,0.000000,0.000000,-785.448451,2262.268591
268-36-710,0.000000,0.000000,0.000000,0.000000,-787.377143,2262.158571
268-35-650,0.000000,0.000000,0.000000,0.000000,-787.443743,2262.153982
NEWCAP-52B39155,0.000000,0.000000,0.000000,0.000000,-812.579885,2260.436580
288-03-280,0.000000,0.000000,0.000000,0.000000,-814.901892,2257.363375
288-03-560,0.000000,0.000000,0.000000,0.000000,-822.742506,2247.379328
288-10-180,0.000000,0.000000,0.000000,0.000000,-844.789026,2216.918493
288-11-220,2396.032985,-1.082252,0.000000,0.000000,0.000000,0.000000
288-11-340,2395.743792,-1.234620,0.000000,0.000000,0.000000,0.000000
288-11-560,2394.214609,-3.163005,0.000000,0.000000,0.000000,0.000000
288-02-780,2393.276903,-6.469843,0.000000,0.000000,0.000000,0.000000
288-01-220,2392.899490,-7.799471,0.000000,0.000000,0.000000,0.000000
288-01-440,2392.705672,-7.645676,0.000000,0.000000,0.000000,0.000000
288-15-151,2388.500769,-6.537980,0.000000,0.000000,0.000000,0.000000
288-15-150,2388.491745,-6.569829,0.000000,0.000000,0.000000,0.000000
288-22-130,0.000000,0.000000,-1152.599554,-1989.780891,0.000000,0.000000
288-20-410,0.000000,0.000000,-1159.373966,-1982.947944,0.000000,0.000000
288-20-141,0.000000,0.000000,-1159.639729,-1982.679812,0.000000,0.000000
288-16-610,0.000000,0.000000,-1159.395827,-1982.925672,0.000000,0.000000
