# ACEC-Friendship.VOLTS.csv run at 2000-01-01 00:00:00 PST on 4160 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
FRIENDSHIP,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
S1806-33-073,-126.232473,-208.690407,-126.232473,-208.690407,0.000000,0.000000
S1806-32-065,-126.233292,-208.689848,-126.233292,-208.689848,0.000000,0.000000
S1806-33-042,-126.233292,-208.689848,-126.233292,-208.689848,0.000000,0.000000
S1806-33-047,-113.072818,208.659281,-113.072818,208.659281,0.000000,0.000000
S1806-33-059,-113.072818,208.659281,-113.072818,208.659281,0.000000,0.000000
S1806-33-050,-113.131229,208.643057,-113.131229,208.643057,0.000000,0.000000
S1806-33-032,-113.133805,208.645626,-113.133805,208.645626,0.000000,0.000000
S1806-33-044,-113.161332,208.640870,-113.161332,208.640870,0.000000,0.000000
S1806-33-069,-113.117450,208.658516,-113.117450,208.658516,0.000000,0.000000
S1806-33-068,-113.169174,208.646044,-113.169174,208.646044,0.000000,0.000000
S1806-33-077,-113.170045,208.660399,-113.170045,208.660399,0.000000,0.000000
S1806-33-016,-113.185441,208.666403,-113.185441,208.666403,0.000000,0.000000
S1806-33-023,-113.185441,208.666403,-113.185441,208.666403,0.000000,0.000000
S1806-33-026,-113.185441,208.666403,-113.185441,208.666403,0.000000,0.000000
S1806-33-013,-113.202372,208.673338,-113.202372,208.673338,0.000000,0.000000
S1806-33-031,-113.202372,208.673338,-113.202372,208.673338,0.000000,0.000000
S1806-33-037,-113.202372,208.673338,-113.202372,208.673338,0.000000,0.000000
S1806-33-038,-113.202372,208.673338,-113.202372,208.673338,0.000000,0.000000
S1806-33-041,-113.222661,208.679601,-113.222661,208.679601,0.000000,0.000000
S1806-33-029,-113.211415,208.699096,-113.211415,208.699096,0.000000,0.000000
S1806-33-046,-113.211415,208.699096,-113.211415,208.699096,0.000000,0.000000
S1806-33-056,-113.247656,208.704192,-113.247656,208.704192,0.000000,0.000000
S1806-33-022,-113.268683,208.715185,-113.268683,208.715185,0.000000,0.000000
S1806-33-045,-113.268683,208.715185,-113.268683,208.715185,0.000000,0.000000
S1806-33-067,-113.268683,208.715185,-113.268683,208.715185,0.000000,0.000000
S1806-33-015,-113.305762,208.731685,-113.305762,208.731685,0.000000,0.000000
S1806-33-033,-113.313714,208.745749,-113.313714,208.745749,0.000000,0.000000
S1806-33-043,-113.302559,208.758284,-113.302559,208.758284,0.000000,0.000000
S1806-33-055,-113.335495,208.762008,-113.335495,208.762008,0.000000,0.000000
S1806-33-020,-113.339167,208.782217,-113.339167,208.782217,0.000000,0.000000
S1806-33-064,-113.339167,208.782217,-113.339167,208.782217,0.000000,0.000000
S1806-33-054,-113.380488,208.800028,-113.380488,208.800028,0.000000,0.000000
S1806-33-058,-113.407239,208.813017,-113.407239,208.813017,0.000000,0.000000
