# file...... caliSubCheck.csv
# date...... Fri Feb 20 17:18:18 2015
# user...... dpinney
# host...... (null)
# target.... underground_line 1
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_in.real,power_in.imag
2014-01-01 00:00:00 PST,+2.13224e+06,+604977
2014-01-01 01:00:00 PST,+2.08499e+06,+591511
2014-01-01 02:00:00 PST,+2.02422e+06,+574201
2014-01-01 03:00:00 PST,+1.91425e+06,+542884
2014-01-01 04:00:00 PST,+1.99914e+06,+567058
2014-01-01 05:00:00 PST,+2.38101e+06,+675902
2014-01-01 06:00:00 PST,+2.62967e+06,+746868
2014-01-01 07:00:00 PST,+2.63972e+06,+750171
2014-01-01 08:00:00 PST,+2.63646e+06,+754585
2014-01-01 09:00:00 PST,+2.59406e+06,+752136
2014-01-01 10:00:00 PST,+2.99078e+06,+871641
2014-01-01 11:00:00 PST,+3.10192e+06,+909408
2014-01-01 12:00:00 PST,+3.06339e+06,+899771
2014-01-01 13:00:00 PST,+3.11132e+06,+914655
2014-01-01 14:00:00 PST,+3.21846e+06,+942753
2014-01-01 15:00:00 PST,+3.19139e+06,+930884
2014-01-01 16:00:00 PST,+3.20027e+06,+927831
2014-01-01 17:00:00 PST,+3.60174e+06,+1.03671e+06
2014-01-01 18:00:00 PST,+3.44024e+06,+982358
2014-01-01 19:00:00 PST,+3.07951e+06,+875430
2014-01-01 20:00:00 PST,+2.86282e+06,+813472
2014-01-01 21:00:00 PST,+2.73663e+06,+777413
2014-01-01 22:00:00 PST,+2.55065e+06,+724308
2014-01-01 23:00:00 PST,+2.31738e+06,+657754
2014-01-02 00:00:00 PST,+1.96731e+06,+557992
2014-01-02 01:00:00 PST,+1.93547e+06,+548927
2014-01-02 02:00:00 PST,+1.84478e+06,+523109
2014-01-02 03:00:00 PST,+1.83706e+06,+520912
2014-01-02 04:00:00 PST,+1.91232e+06,+542335
2014-01-02 05:00:00 PST,+2.35209e+06,+667652
2014-01-02 06:00:00 PST,+2.65279e+06,+753472
2014-01-02 07:00:00 PST,+2.78822e+06,+793103
2014-01-02 08:00:00 PST,+2.93931e+06,+849029
2014-01-02 09:00:00 PST,+2.91937e+06,+875058
2014-01-02 10:00:00 PST,+2.98298e+06,+916813
2014-01-02 11:00:00 PST,+3.18825e+06,+984140
2014-01-02 12:00:00 PST,+3.19435e+06,+989963
2014-01-02 13:00:00 PST,+3.06242e+06,+953580
