# file...... Windmill_windturb_dg3082.csv
# date...... Tue Apr 09 10:45:43 2013
# user...... dwp0
# host...... (null)
# target.... windturb_dg 3071
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag,current_A.real,current_A.imag,current_B.real,current_B.imag,current_C.real,current_C.imag
2012-06-03 00:00:00 PDT,+2401.89,-0.278216,-1201.18,-2079.97,-1200.8,+2080.21,-103.741,+43.0259,+89.1315,+68.3297,+14.6133,-111.355
2012-06-03 00:01:00 PDT,+2401.89,-0.278094,-1201.18,-2079.97,-1200.8,+2080.21,-103.739,+43.0251,+89.1299,+68.3285,+14.613,-111.353
2012-06-03 00:02:00 PDT,+2401.89,-0.277855,-1201.18,-2079.97,-1200.8,+2080.21,-103.737,+43.0244,+89.1284,+68.3275,+14.6128,-111.351
2012-06-03 00:03:00 PDT,+2401.89,-0.2772,-1201.17,-2079.97,-1200.8,+2080.21,-103.736,+43.0236,+89.1268,+68.3264,+14.6126,-111.349
2012-06-03 00:04:00 PDT,+2401.89,-0.27709,-1201.17,-2079.98,-1200.8,+2080.21,-103.734,+43.0229,+89.1252,+68.3255,+14.6124,-111.347
2012-06-03 00:05:00 PDT,+2401.73,-0.246071,-1201.06,-2079.86,-1200.75,+2080.05,-103.74,+43.0237,+89.1287,+68.3302,+14.6146,-111.352
2012-06-03 00:06:00 PDT,+2401.74,-0.221726,-1201.06,-2079.86,-1200.75,+2080.05,-103.738,+43.022,+89.1273,+68.3291,+14.6144,-111.351
2012-06-03 00:07:00 PDT,+2401.74,-0.202183,-1201.05,-2079.87,-1200.75,+2080.05,-103.737,+43.0205,+89.1255,+68.3287,+14.6144,-111.349
2012-06-03 00:08:00 PDT,+2401.74,-0.192531,-1201.04,-2079.87,-1200.76,+2080.05,-103.736,+43.0195,+89.1241,+68.3279,+14.6145,-111.347
2012-06-03 00:09:00 PDT,+2401.75,-0.177516,-1201.04,-2079.88,-1200.77,+2080.05,-103.735,+43.0182,+89.1226,+68.3273,+14.6147,-111.346
2012-06-03 00:10:00 PDT,+2401.75,-0.152675,-1201.02,-2079.89,-1200.78,+2080.04,-103.734,+43.0166,+89.1208,+68.327,+14.6152,-111.344
2012-06-03 00:11:00 PDT,+2401.75,-0.152322,-1201.02,-2079.89,-1200.79,+2080.04,-103.732,+43.016,+89.1197,+68.3262,+14.6155,-111.343
2012-06-03 00:12:00 PDT,+2401.75,-0.143206,-1201.01,-2079.9,-1200.79,+2080.04,-103.731,+43.0151,+89.1184,+68.3258,+14.6155,-111.341
2012-06-03 00:13:00 PDT,+2401.75,-0.142788,-1201.01,-2079.9,-1200.8,+2080.04,-103.73,+43.0146,+89.1171,+68.3254,+14.6154,-111.34
2012-06-03 00:14:00 PDT,+2401.75,-0.138458,-1201,-2079.91,-1200.8,+2080.04,-103.729,+43.014,+89.116,+68.3249,+14.6153,-111.339
2012-06-03 00:15:00 PDT,+2401.76,-0.128557,-1201,-2079.91,-1200.8,+2080.03,-103.728,+43.0131,+89.1149,+68.3245,+14.6153,-111.338
2012-06-03 00:16:00 PDT,+2401.76,-0.128327,-1200.99,-2079.92,-1200.8,+2080.03,-103.727,+43.0127,+89.1139,+68.3241,+14.6154,-111.337
2012-06-03 00:17:00 PDT,+2401.76,-0.127975,-1200.98,-2079.92,-1200.8,+2080.03,-103.727,+43.0124,+89.1129,+68.3239,+14.6153,-111.336
2012-06-03 00:18:00 PDT,+2401.76,-0.13259,-1200.98,-2079.92,-1200.8,+2080.03,-103.726,+43.0122,+89.1122,+68.3234,+14.6152,-111.335
2012-06-03 00:19:00 PDT,+2401.76,-0.127342,-1200.98,-2079.92,-1200.81,+2080.03,-103.725,+43.0117,+89.1116,+68.3229,+14.6151,-111.334
2012-06-03 00:20:00 PDT,+2401.76,-0.127026,-1200.98,-2079.92,-1200.81,+2080.03,-103.724,+43.0114,+89.111,+68.3225,+14.615,-111.333
2012-06-03 00:21:00 PDT,+2401.76,-0.12658,-1200.98,-2079.92,-1200.81,+2080.03,-103.724,+43.0112,+89.1105,+68.3221,+14.615,-111.333
2012-06-03 00:22:00 PDT,+2401.76,-0.12619,-1200.98,-2079.92,-1200.81,+2080.03,-103.723,+43.0109,+89.11,+68.3218,+14.6149,-111.332
2012-06-03 00:23:00 PDT,+2401.76,-0.125616,-1200.99,-2079.92,-1200.81,+2080.03,-103.723,+43.0107,+89.1097,+68.3213,+14.6148,-111.332
2012-06-03 00:24:00 PDT,+2401.76,-0.125571,-1200.99,-2079.92,-1200.81,+2080.03,-103.722,+43.0105,+89.1095,+68.3209,+14.6148,-111.331
2012-06-03 00:25:00 PDT,+2401.76,-0.125455,-1200.99,-2079.92,-1200.81,+2080.03,-103.722,+43.0104,+89.1092,+68.3207,+14.6148,-111.331
2012-06-03 00:26:00 PDT,+2401.76,-0.124951,-1200.99,-2079.92,-1200.8,+2080.03,-103.722,+43.0102,+89.1089,+68.3205,+14.6145,-111.331
2012-06-03 00:27:00 PDT,+2401.76,-0.124682,-1200.98,-2079.92,-1200.8,+2080.03,-103.722,+43.0101,+89.1086,+68.3205,+14.6145,-111.33
2012-06-03 00:28:00 PDT,+2401.76,-0.119697,-1200.98,-2079.92,-1200.8,+2080.03,-103.721,+43.0098,+89.1084,+68.3204,+14.6145,-111.33
2012-06-03 00:29:00 PDT,+2401.76,-0.118954,-1200.98,-2079.92,-1200.8,+2080.03,-103.721,+43.0098,+89.1083,+68.3204,+14.6145,-111.33
2012-06-03 00:30:00 PDT,+2401.76,-0.11879,-1200.98,-2079.92,-1200.8,+2080.03,-103.721,+43.0098,+89.1083,+68.3204,+14.6145,-111.33
2012-06-03 00:31:00 PDT,+2401.76,-0.118313,-1200.98,-2079.92,-1200.8,+2080.03,-103.721,+43.0097,+89.1083,+68.3204,+14.6145,-111.33
2012-06-03 00:32:00 PDT,+2401.76,-0.118004,-1200.99,-2079.92,-1200.8,+2080.03,-103.722,+43.0098,+89.1087,+68.3201,+14.6145,-111.33
2012-06-03 00:33:00 PDT,+2401.76,-0.117675,-1200.99,-2079.92,-1200.8,+2080.03,-103.722,+43.0098,+89.1087,+68.3204,+14.6145,-111.33
2012-06-03 00:34:00 PDT,+2401.76,-0.117396,-1200.99,-2079.92,-1200.81,+2080.03,-103.722,+43.0099,+89.1088,+68.3206,+14.6148,-111.331
2012-06-03 00:35:00 PDT,+2401.76,-0.117095,-1200.99,-2079.92,-1200.81,+2080.03,-103.722,+43.01,+89.1091,+68.3208,+14.6148,-111.331
2012-06-03 00:36:00 PDT,+2401.76,-0.116915,-1200.99,-2079.92,-1200.81,+2080.03,-103.723,+43.0101,+89.1094,+68.321,+14.6149,-111.331
