# file...... xout_all_trip_meters.csv
# date...... Thu Apr 11 12:53:42 2019
# user...... dpinney
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,max(measured_voltage_1.mag),max(measured_voltage_2.mag),avg(measured_voltage_1.mag),avg(measured_voltage_2.mag),min(measured_voltage_1.mag),min(measured_voltage_2.mag),sum(measured_real_energy),sum(measured_reactive_energy)
2017-01-01 00:00:00 EST,+121.875,+121.875,+120.12,+120.517,+118.51,+119.018,+0,+0
2017-01-01 01:00:00 EST,+121.226,+121.226,+120.66,+120.66,+120.012,+120.012,+741351,+430513
2017-01-01 02:00:00 EST,+120.844,+120.844,+119.769,+119.769,+118.11,+118.11,+857796,+438248
2017-01-01 03:00:00 EST,+120.212,+120.212,+118.646,+118.646,+117.592,+117.592,+1.56086e+06,+477129
2017-01-01 04:00:00 EST,+120.554,+120.554,+118.441,+118.441,+117.318,+117.318,+2.96866e+06,+537954
2017-01-01 05:00:00 EST,+119.589,+119.589,+117.886,+117.886,+115.902,+115.902,+4.57458e+06,+586916
2017-01-01 06:00:00 EST,+118.728,+118.728,+116.786,+116.786,+114.23,+114.23,+6.50944e+06,+613447
2017-01-01 07:00:00 EST,+119.998,+119.998,+117.298,+117.298,+115.552,+115.552,+9.20045e+06,+632660
2017-01-01 08:00:00 EST,+122.31,+122.31,+118.935,+118.935,+115.296,+115.296,+1.18296e+07,+649017
2017-01-01 09:00:00 EST,+122.255,+122.255,+119.211,+119.211,+115.094,+115.094,+1.37353e+07,+663552
2017-01-01 10:00:00 EST,+122.016,+122.016,+119.756,+119.756,+117.088,+117.088,+1.54139e+07,+690950
2017-01-01 11:00:00 EST,+120.855,+120.855,+119.082,+119.082,+116.313,+116.313,+1.66423e+07,+733178
2017-01-01 12:00:00 EST,+120.915,+120.915,+119.047,+119.047,+116.093,+116.093,+1.83595e+07,+774963
2017-01-01 13:00:00 EST,+120.679,+120.679,+119.026,+119.026,+116.591,+116.591,+2.00973e+07,+801263
2017-01-01 14:00:00 EST,+121.035,+121.035,+119.441,+119.441,+116.596,+116.596,+2.18919e+07,+817360
2017-01-01 15:00:00 EST,+121.721,+121.721,+120.052,+120.052,+117.481,+117.481,+2.34252e+07,+831914
2017-01-01 16:00:00 EST,+121.442,+121.442,+120.174,+120.174,+117.627,+117.627,+2.45041e+07,+863132
2017-01-01 17:00:00 EST,+121.202,+121.202,+119.403,+119.403,+116.77,+116.77,+2.51598e+07,+941041
2017-01-01 18:00:00 EST,+121.567,+121.567,+117.775,+117.775,+113.547,+113.547,+2.61876e+07,+1.01947e+06
2017-01-01 19:00:00 EST,+121.741,+121.741,+118.279,+118.279,+116.272,+116.272,+2.87789e+07,+1.03939e+06
2017-01-01 20:00:00 EST,+121.845,+121.845,+119.491,+119.491,+117.238,+117.238,+3.12013e+07,+1.05544e+06
2017-01-01 21:00:00 EST,+122.665,+122.665,+120.009,+120.009,+116.94,+116.94,+3.27951e+07,+1.08021e+06
2017-01-01 22:00:00 EST,+121.293,+121.293,+119.356,+119.356,+116.857,+116.857,+3.40999e+07,+1.10971e+06
2017-01-01 23:00:00 EST,+122.237,+122.237,+119.687,+119.687,+117.752,+117.752,+3.52386e+07,+1.13452e+06
2017-01-02 00:00:00 EST,+119.931,+120.4,+118.361,+118.758,+116.074,+116.557,+3.60052e+07,+1.17256e+06
2017-01-02 01:00:00 EST,+122.06,+122.06,+120.257,+120.257,+118.493,+118.493,+3.71865e+07,+1.65957e+06
2017-01-02 02:00:00 EST,+120.899,+120.899,+119.359,+119.359,+117.148,+117.148,+3.81268e+07,+1.76006e+06
2017-01-02 03:00:00 EST,+121.37,+121.37,+119.787,+119.787,+117.681,+117.681,+3.9656e+07,+1.86937e+06
2017-01-02 04:00:00 EST,+120.415,+120.415,+119.153,+119.153,+117.063,+117.063,+4.09633e+07,+1.95332e+06
2017-01-02 05:00:00 EST,+121.32,+121.32,+118.996,+118.996,+115.187,+115.187,+4.27269e+07,+2.02175e+06
2017-01-02 06:00:00 EST,+120.585,+120.585,+118.056,+118.056,+115.238,+115.238,+4.46602e+07,+2.06964e+06
2017-01-02 07:00:00 EST,+120.904,+120.904,+117.912,+117.912,+115.296,+115.296,+4.72129e+07,+2.0974e+06
