Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Transformer.REG1A,    12.7453,     1.67,     1.22, 1.53957E-19, -0.000380262, 0, 0, 3, 2.4 
Line.L115,    12.2847,     3.07,     2.05, -2.44878E-6, -0.000508202, 0, 0, 3, 2.4 
Line.L1,   0.624521,     0.16,     0.10, -0.00164575, -0.000451537, 0, 0, 1, 2.4 
Line.L2,      3.204,     0.80,     0.53, -0.0114339, -0.0151461, 0, 0, 1, 2.4 
Line.L3,    11.3258,     2.83,     1.89,  0.0121942,  -0.145751, 0, 0, 3, 2.4 
Line.L4,    1.24884,     0.31,     0.21, -0.00497527, -0.00881082, 0, 0, 1, 2.4 
Line.L5,    1.95517,     0.49,     0.33, -0.00766055,  -0.013866, 0, 0, 1, 2.4 
Line.L6,    1.31422,     0.33,     0.22, -0.00552133, -0.0117798, 0, 0, 1, 2.4 
Line.L7,     10.821,     2.71,     1.80,  0.0127195,  -0.234864, 0, 0, 3, 2.4 
Line.L8,   0.620288,     0.16,     0.10, -0.00346133, -0.00154453, 0, 0, 1, 2.4 
Line.L9,    3.13279,     0.78,     0.52, -0.0273986, -0.0480536, 0, 0, 1, 2.4 
Line.L10,    8.28844,     2.07,     1.38,  0.0409497,  -0.245744, 0, 0, 3, 2.4 
Line.L11,    1.88779,     0.47,     0.31, -0.0168945, -0.0329981, 0, 0, 1, 2.4 
Line.L12,     3.1517,     0.79,     0.53,  -0.025245, -0.0352869, 0, 0, 1, 2.4 
Line.L13,    9.20248,     2.30,     1.53,  0.0697351,  -0.323082, 0, 0, 3, 2.4 
Line.L14,    1.26109,     0.32,     0.21, -0.0117401, -0.0250217, 0, 0, 1, 2.4 
Line.L15,   0.626615,     0.16,     0.10, -0.00586378, -0.0124186, 0, 0, 1, 2.4 
Line.L16,    1.24673,     0.31,     0.21, -0.0102789, -0.0164321, 0, 0, 1, 2.4 
Line.L17,   0.623512,     0.16,     0.10, -0.00517621, -0.00819562, 0, 0, 1, 2.4 
Line.L18,    2.46997,     0.62,     0.41, -0.0292962, -0.0769966, 0, 0, 1, 2.4 
Line.L19,    3.70599,     0.93,     0.62,  -0.112465,  -0.177086, 0, 0, 3, 2.4 
Line.L20,    1.22914,     0.31,     0.20, -0.0147703, -0.0406032, 0, 0, 1, 2.4 
Line.L21,    1.28154,     0.32,     0.21, -0.0176937, -0.00640234, 0, 0, 1, 2.4 
Line.L22,    3.70583,     0.93,     0.62, -0.0953953,  -0.183549, 0, 0, 3, 2.4 
Line.L23,    1.22323,     0.31,     0.20, -0.0204562,  -0.021352, 0, 0, 1, 2.4 
Line.L24,    3.70569,     0.93,     0.62, -0.0757204,  -0.172917, 0, 0, 3, 2.4 
Line.L25,    1.23204,     0.31,     0.21, -0.0321841, -0.0685331, 0, 0, 2, 2.4 
Line.L26,    2.45818,     0.61,     0.41,  -0.044244,   -0.11315, 0, 0, 3, 2.4 
Line.L27,    1.23187,     0.31,     0.21, -0.0109416, -0.0473984, 0, 0, 2, 2.4 
Line.L28,    1.22146,     0.31,     0.20,  -0.021362,   -0.02304, 0, 0, 1, 2.4 
Line.L29,    1.23173,     0.31,     0.21, -0.0110681, -0.0483376, 0, 0, 1, 2.4 
Line.L30,    1.22387,     0.31,     0.20, -0.0327127, -0.0688705, 0, 0, 3, 2.4 
Line.L31,    1.22076,     0.31,     0.20, -0.0217167, -0.0230094, 0, 0, 3, 2.4 
Line.L32, 0.000133234,     0.00,     0.00, 1.02483E-13, -8.29278E-6, 0, 0, 3, 2.4 
Line.L33,   0.610709,     0.15,     0.10, -0.0107391, -0.0120301, 0, 0, 1, 2.4 
Line.L34,    1.87026,     0.47,     0.31, -0.0152913, -0.0236016, 0, 0, 1, 2.4 
Line.L35,      1.222,     0.31,     0.20, -0.0378067, -0.0437429, 0, 0, 2, 2.4 
Line.L36,    5.83113,     1.46,     0.97,   0.270535,  -0.250013, 0, 0, 3, 2.4 
Line.L37,    1.20611,     0.30,     0.20, -0.0172135, -0.0405138, 0, 0, 1, 2.4 
Line.L38,    1.22197,     0.31,     0.20, -0.0210782, -0.00731243, 0, 0, 1, 2.4 
Line.L39,   0.603569,     0.15,     0.10, -0.0104896, -0.00417299, 0, 0, 1, 2.4 
Line.L40,    0.60626,     0.15,     0.10, -0.0121954, -0.0100692, 0, 0, 1, 2.4 
Line.L41,    5.83104,     1.46,     0.97,   0.281059,  -0.271145, 0, 0, 3, 2.4 
Line.L42,    1.24803,     0.31,     0.21, -0.0276084, -0.00271415, 0, 0, 1, 2.4 
Line.L43,    6.37636,     1.59,     1.06,   0.317573,  -0.279746, 0, 0, 3, 2.4 
Line.L44,    1.22271,     0.31,     0.20, -0.0213625, -0.0373924, 0, 0, 1, 2.4 
