# file...... Regulator_REG27.csv
# date...... Tue Feb 14 11:14:57 2017
# user...... brendanlewis
# host...... (null)
# target.... regulator 2
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag,phases
2011-05-01 00:00:00 PDT,1,1,1,+646667,+16858.8,+653870,-3632.61,+640334,+6033.88,+1.94087e+06,+19260.1,ABC
2011-05-01 01:00:00 PDT,2,2,2,+587919,-9613.56,+593291,-26748.7,+581703,-18650.6,+1.76291e+06,-55012.8,ABC
2011-05-01 02:00:00 PDT,3,3,3,+560921,-23294.1,+565488,-38908,+554770,-31524.1,+1.68118e+06,-93726.2,ABC
2011-05-01 03:00:00 PDT,4,4,4,+552159,-29909.8,+556417,-44945.3,+546006,-37832.7,+1.65458e+06,-112688,ABC
2011-05-01 04:00:00 PDT,5,5,5,+538046,-38485.5,+541882,-52712.5,+531924,-45980.7,+1.61185e+06,-137179,ABC
2011-05-01 05:00:00 PDT,6,6,6,+549888,-37351.8,+553913,-51984.7,+543664,-45059,+1.64747e+06,-134395,ABC
2011-05-01 06:00:00 PDT,6,6,6,+578926,-26448.6,+583660,-42459.7,+572561,-34883.2,+1.73515e+06,-103791,ABC
2011-05-01 07:00:00 PDT,6,6,6,+613474,-13305,+619118,-31030.5,+606966,-22647.7,+1.83956e+06,-66983.2,ABC
2011-05-01 08:00:00 PDT,6,6,6,+645580,-923.115,+652136,-20314,+638963,-11151.1,+1.93668e+06,-32388.2,ABC
2011-05-01 09:00:00 PDT,6,6,6,+723313,+29727.9,+732344,+6020.08,+716535,+17191.4,+2.17219e+06,+52939.4,ABC
2011-05-01 10:00:00 PDT,6,6,6,+787158,+55620.3,+798511,+28068.4,+780361,+41012.5,+2.36603e+06,+124701,ABC
2011-05-01 11:00:00 PDT,6,6,6,+811847,+65807.5,+824168,+36697.7,+805070,+50356.2,+2.44108e+06,+152861,ABC
2011-05-01 12:00:00 PDT,6,6,6,+803167,+62215.1,+815143,+33657.4,+796381,+47062.8,+2.41469e+06,+142935,ABC
2011-05-01 13:00:00 PDT,6,6,6,+796767,+59573.7,+808492,+31419.9,+789975,+44640.2,+2.39523e+06,+135634,ABC
2011-05-01 14:00:00 PDT,6,6,6,+795852,+59196.7,+807541,+31100.5,+789060,+44294.3,+2.39245e+06,+134591,ABC
2011-05-01 15:00:00 PDT,6,6,6,+738509,+35831.9,+748069,+11233.2,+731717,+22816.4,+2.21829e+06,+69881.5,ABC
2011-05-01 16:00:00 PDT,6,6,6,+700243,+20531.6,+708500,-1853.36,+693497,+8704.43,+2.10224e+06,+27382.6,ABC
2011-05-01 17:00:00 PDT,6,6,6,+687300,+15408.9,+695137,-6249.24,+680578,+3971,+2.06301e+06,+13130.7,ABC
2011-05-01 18:00:00 PDT,6,6,6,+691000,+16870.4,+698955,-4994.16,+684271,+5321.88,+2.07423e+06,+17198.2,ABC
2011-05-01 19:00:00 PDT,6,6,6,+712708,+25489.8,+721379,+2394.51,+705943,+13282,+2.14003e+06,+41166.3,ABC
2011-05-01 20:00:00 PDT,6,6,6,+710862,+24754.2,+719471,+1764.61,+704100,+12603,+2.13443e+06,+39121.8,ABC
2011-05-01 21:00:00 PDT,6,6,6,+729302,+32129.3,+738540,+8072.12,+722518,+19405,+2.19036e+06,+59606.5,ABC
2011-05-01 22:00:00 PDT,6,6,6,+758733,+44012.3,+769020,+18204.7,+751931,+30346,+2.27968e+06,+92563,ABC
2011-05-01 23:00:00 PDT,6,6,6,+745408,+38615.3,+755213,+13607.2,+738612,+25379.6,+2.23923e+06,+77602,ABC
2011-05-02 00:00:00 PDT,6,6,6,+683599,+13948.9,+691317,-7503.37,+676885,+2620.9,+2.0518e+06,+9066.42,ABC
2011-05-02 01:00:00 PDT,6,6,6,+636285,-4524.51,+642570,-23426.2,+629697,-14492.1,+1.90855e+06,-42442.8,ABC
2011-05-02 02:00:00 PDT,6,6,6,+611144,-14197.5,+616724,-31804.9,+604645,-23477.5,+1.83251e+06,-69479.8,ABC
2011-05-02 03:00:00 PDT,6,6,6,+604615,-16693.1,+610019,-33971.4,+598141,-25798.5,+1.81278e+06,-76463,ABC
2011-05-02 04:00:00 PDT,6,6,6,+592479,-21314.5,+597562,-37988.6,+586055,-30099.8,+1.7761e+06,-89402.9,ABC
2011-05-02 05:00:00 PDT,6,6,6,+602282,-17583.2,+607624,-34744.5,+595818,-26626.8,+1.80572e+06,-78954.5,ABC
2011-05-02 06:00:00 PDT,6,6,6,+625119,-8832.84,+631086,-27154.4,+618569,-18492,+1.87477e+06,-54479.2,ABC
2011-05-02 07:00:00 PDT,6,6,6,+692387,+17418.9,+700387,-4523.34,+685655,+5828.9,+2.07843e+06,+18724.5,ABC
2011-05-02 08:00:00 PDT,6,6,6,+768371,+47933.4,+779013,+21540.4,+761568,+33951.5,+2.30895e+06,+103425,ABC
2011-05-02 09:00:00 PDT,6,6,6,+799053,+60516.4,+810868,+32218.8,+792264,+45505,+2.40218e+06,+138240,ABC
2011-05-02 10:00:00 PDT,6,6,6,+828725,+72828.6,+841732,+42631,+821972,+56787.1,+2.49243e+06,+172247,ABC
2011-05-02 11:00:00 PDT,6,6,6,+844209,+79309.8,+857860,+48098,+837485,+62717.1,+2.53955e+06,+190125,ABC
2011-05-02 12:00:00 PDT,6,6,6,+815042,+67133.4,+827492,+37818.9,+808269,+51570.9,+2.4508e+06,+156523,ABC
2011-05-02 13:00:00 PDT,6,6,6,+829637,+73209.1,+842681,+42952.2,+822886,+57135.4,+2.4952e+06,+173297,ABC
