# file...... xout_all_trip_meters.csv
# date...... Sat Jun 22 15:38:16 2019
# user...... austinchang
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,max(measured_voltage_1.mag),max(measured_voltage_2.mag),avg(measured_voltage_1.mag),avg(measured_voltage_2.mag),min(measured_voltage_1.mag),min(measured_voltage_2.mag),sum(measured_real_energy),sum(measured_reactive_energy)
2017-01-01 00:00:00 EST,+121.91,+121.91,+120.193,+120.589,+118.69,+119.208,+0,+0
2017-01-01 01:00:00 EST,+121.454,+121.454,+120.761,+120.761,+119.849,+119.849,+669340,+429704
2017-01-01 02:00:00 EST,+121.47,+121.47,+120.74,+120.74,+119.873,+119.873,+733252,+429704
2017-01-01 03:00:00 EST,+120.981,+120.981,+120.173,+120.173,+119.167,+119.167,+815069,+429704
2017-01-01 04:00:00 EST,+120.567,+120.567,+119.52,+119.52,+118.742,+118.742,+1.15397e+06,+496642
2017-01-01 05:00:00 EST,+120.097,+120.097,+118.655,+118.655,+116.987,+116.987,+1.97724e+06,+568522
2017-01-01 06:00:00 EST,+119.395,+119.395,+117.177,+117.177,+115.641,+115.641,+3.30646e+06,+649763
2017-01-01 07:00:00 EST,+119.735,+119.735,+117.442,+117.442,+115.487,+115.487,+5.73161e+06,+689586
2017-01-01 08:00:00 EST,+122.074,+122.074,+119.174,+119.174,+116.299,+116.299,+8.27891e+06,+707700
2017-01-01 09:00:00 EST,+122.543,+122.543,+120.312,+120.312,+116.324,+116.324,+9.84527e+06,+718599
2017-01-01 10:00:00 EST,+121.924,+121.924,+120.215,+120.215,+117.124,+117.124,+1.07103e+07,+733109
2017-01-01 11:00:00 EST,+121.863,+121.863,+119.846,+119.846,+118.062,+118.062,+1.14221e+07,+782249
2017-01-01 12:00:00 EST,+120.261,+120.261,+118.785,+118.785,+117.389,+117.389,+1.21419e+07,+821994
2017-01-01 13:00:00 EST,+121.76,+121.76,+119.874,+119.874,+118.321,+118.321,+1.36697e+07,+875077
2017-01-01 14:00:00 EST,+120.077,+120.077,+118.723,+118.723,+116.766,+116.766,+1.43931e+07,+908940
2017-01-01 15:00:00 EST,+121.49,+121.49,+119.63,+119.63,+117.966,+117.966,+1.59472e+07,+968445
2017-01-01 16:00:00 EST,+120.171,+120.171,+119.209,+119.209,+117.533,+117.533,+1.68297e+07,+1.00886e+06
2017-01-01 17:00:00 EST,+121.092,+121.092,+119.44,+119.44,+117.558,+117.558,+1.801e+07,+1.08106e+06
2017-01-01 18:00:00 EST,+120.017,+120.017,+117.179,+117.179,+113.721,+113.721,+1.89747e+07,+1.1552e+06
2017-01-01 19:00:00 EST,+121.758,+121.758,+117.722,+117.722,+115.776,+115.776,+2.16961e+07,+1.19051e+06
2017-01-01 20:00:00 EST,+121.357,+121.357,+120.053,+120.053,+118.344,+118.344,+2.42661e+07,+1.21164e+06
2017-01-01 21:00:00 EST,+121.568,+121.568,+120.225,+120.225,+118.041,+118.041,+2.52933e+07,+1.23451e+06
2017-01-01 22:00:00 EST,+121.787,+121.787,+120.621,+120.621,+118.767,+118.767,+2.6076e+07,+1.32112e+06
2017-01-01 23:00:00 EST,+122.216,+122.216,+120.834,+120.834,+118.583,+118.583,+2.65111e+07,+1.35554e+06
2017-01-02 00:00:00 EST,+120.578,+121.018,+118.837,+119.232,+117.865,+118.383,+2.67382e+07,+1.39237e+06
2017-01-02 01:00:00 EST,+121.621,+121.621,+120.756,+120.756,+120.112,+120.112,+2.72792e+07,+1.83364e+06
2017-01-02 02:00:00 EST,+121.629,+121.629,+120.144,+120.144,+119.27,+119.27,+2.74073e+07,+1.86232e+06
2017-01-02 03:00:00 EST,+120.617,+120.617,+119.802,+119.802,+118.516,+118.516,+2.79049e+07,+1.92705e+06
2017-01-02 04:00:00 EST,+121.104,+121.104,+120.143,+120.143,+118.858,+118.858,+2.86395e+07,+2.0079e+06
2017-01-02 05:00:00 EST,+121.288,+121.288,+119.269,+119.269,+117.137,+117.137,+2.91436e+07,+2.07348e+06
2017-01-02 06:00:00 EST,+120.426,+120.426,+117.669,+117.669,+115.774,+115.774,+3.02842e+07,+2.12449e+06
2017-01-02 07:00:00 EST,+119.746,+119.746,+117.706,+117.706,+115.862,+115.862,+3.255e+07,+2.15582e+06
2017-01-02 08:00:00 EST,+122.374,+122.374,+119.23,+119.23,+116.279,+116.279,+3.49131e+07,+2.18389e+06
2017-01-02 09:00:00 EST,+121.708,+121.708,+120.192,+120.192,+117.433,+117.433,+3.62083e+07,+2.19376e+06
2017-01-02 10:00:00 EST,+121.924,+121.924,+120.817,+120.817,+119.517,+119.517,+3.69423e+07,+2.19966e+06
2017-01-02 11:00:00 EST,+121.278,+121.278,+120.113,+120.113,+118.55,+118.55,+3.70563e+07,+2.21951e+06
2017-01-02 12:00:00 EST,+120.97,+120.97,+119.814,+119.814,+118.803,+118.803,+3.75935e+07,+2.30133e+06
2017-01-02 13:00:00 EST,+121.299,+121.299,+120.334,+120.334,+118.854,+118.854,+3.83051e+07,+2.37438e+06
2017-01-02 14:00:00 EST,+120.491,+120.491,+119.403,+119.403,+118.301,+118.301,+3.86853e+07,+2.43395e+06
2017-01-02 15:00:00 EST,+121.8,+121.8,+119.918,+119.918,+118.41,+118.41,+3.97191e+07,+2.51161e+06
2017-01-02 16:00:00 EST,+120.873,+120.873,+119.924,+119.924,+118.217,+118.217,+4.03971e+07,+2.56046e+06
2017-01-02 17:00:00 EST,+120.012,+120.012,+118.503,+118.503,+117.02,+117.02,+4.10838e+07,+2.63041e+06
2017-01-02 18:00:00 EST,+120.034,+120.034,+116.865,+116.865,+113.363,+113.363,+4.27447e+07,+2.68411e+06
2017-01-02 19:00:00 EST,+121.305,+121.305,+117.549,+117.549,+115.792,+115.792,+4.55408e+07,+2.70638e+06
2017-01-02 20:00:00 EST,+121.227,+121.227,+119.444,+119.444,+117.789,+117.789,+4.80804e+07,+2.71931e+06
2017-01-02 21:00:00 EST,+121.832,+121.832,+119.998,+119.998,+117.133,+117.133,+4.93268e+07,+2.74938e+06
2017-01-02 22:00:00 EST,+121.718,+121.718,+120.539,+120.539,+118.331,+118.331,+5.01269e+07,+2.82729e+06
2017-01-02 23:00:00 EST,+122.192,+122.192,+120.592,+120.592,+117.829,+117.829,+5.04128e+07,+2.86406e+06
2017-01-03 00:00:00 EST,+120.446,+120.886,+118.598,+118.993,+117.237,+117.755,+5.06389e+07,+2.89868e+06
2017-01-03 01:00:00 EST,+121.536,+121.536,+120.422,+120.422,+119.445,+119.445,+5.11934e+07,+3.33318e+06
2017-01-03 02:00:00 EST,+121.263,+121.263,+119.477,+119.477,+117.978,+117.978,+5.13573e+07,+3.37314e+06
2017-01-03 03:00:00 EST,+120.778,+120.778,+119.331,+119.331,+117.508,+117.508,+5.20005e+07,+3.44255e+06
2017-01-03 04:00:00 EST,+120.309,+120.309,+119.361,+119.361,+117.513,+117.513,+5.27177e+07,+3.53419e+06
2017-01-03 05:00:00 EST,+120.381,+120.381,+118.466,+118.466,+116.606,+116.606,+5.33457e+07,+3.64786e+06
2017-01-03 06:00:00 EST,+119.403,+119.403,+117.488,+117.488,+115.458,+115.458,+5.46201e+07,+3.74837e+06
2017-01-03 07:00:00 EST,+120.713,+120.713,+117.894,+117.894,+116.009,+116.009,+5.70184e+07,+3.7859e+06
2017-01-03 08:00:00 EST,+122.247,+122.247,+119.194,+119.194,+116.298,+116.298,+5.94496e+07,+3.80484e+06
2017-01-03 09:00:00 EST,+122.734,+122.734,+120.422,+120.422,+116.207,+116.207,+6.09921e+07,+3.8154e+06
2017-01-03 10:00:00 EST,+121.628,+121.628,+120.079,+120.079,+117.233,+117.233,+6.17956e+07,+3.83061e+06
2017-01-03 11:00:00 EST,+121.18,+121.18,+119.942,+119.942,+118.609,+118.609,+6.24127e+07,+3.88114e+06
2017-01-03 12:00:00 EST,+120.268,+120.268,+118.937,+118.937,+117.036,+117.036,+6.31382e+07,+3.91565e+06
2017-01-03 13:00:00 EST,+120.823,+120.823,+119.535,+119.535,+118.398,+118.398,+6.45655e+07,+3.96051e+06
2017-01-03 14:00:00 EST,+120.326,+120.326,+119.048,+119.048,+117.007,+117.007,+6.55182e+07,+4.00932e+06
2017-01-03 15:00:00 EST,+120.617,+120.617,+119.344,+119.344,+118.087,+118.087,+6.6872e+07,+4.04983e+06
2017-01-03 16:00:00 EST,+120.064,+120.064,+119.053,+119.053,+117.108,+117.108,+6.79816e+07,+4.08623e+06
2017-01-03 17:00:00 EST,+120.063,+120.063,+118.562,+118.562,+116.794,+116.794,+6.9338e+07,+4.12479e+06
2017-01-03 18:00:00 EST,+119.634,+119.634,+116.822,+116.822,+113.788,+113.788,+7.09748e+07,+4.16313e+06
2017-01-03 19:00:00 EST,+121.694,+121.694,+117.544,+117.544,+115.064,+115.064,+7.39332e+07,+4.18682e+06
2017-01-03 20:00:00 EST,+120.919,+120.919,+119.014,+119.014,+117.443,+117.443,+7.68365e+07,+4.20224e+06
2017-01-03 21:00:00 EST,+122.128,+122.128,+120.623,+120.623,+118.178,+118.178,+7.87765e+07,+4.21527e+06
2017-01-03 22:00:00 EST,+121.728,+121.728,+120.567,+120.567,+118.746,+118.746,+7.93879e+07,+4.25959e+06
2017-01-03 23:00:00 EST,+122.239,+122.239,+120.873,+120.873,+119.001,+119.001,+7.98214e+07,+4.30921e+06
2017-01-04 00:00:00 EST,+120.266,+120.706,+118.749,+119.144,+117.849,+118.299,+8.00448e+07,+4.33206e+06
2017-01-04 01:00:00 EST,+121.753,+121.753,+120.532,+120.532,+119.875,+119.875,+8.06345e+07,+4.78292e+06
2017-01-04 02:00:00 EST,+121.054,+121.054,+119.754,+119.754,+118.242,+118.242,+8.08679e+07,+4.82886e+06
2017-01-04 03:00:00 EST,+120.491,+120.491,+119.249,+119.249,+117.946,+117.946,+8.16583e+07,+4.90271e+06
2017-01-04 04:00:00 EST,+120.753,+120.753,+119.708,+119.708,+118.488,+118.488,+8.28208e+07,+4.95473e+06
2017-01-04 05:00:00 EST,+120.779,+120.779,+118.967,+118.967,+116.451,+116.451,+8.36292e+07,+5.03449e+06
2017-01-04 06:00:00 EST,+120.393,+120.393,+117.713,+117.713,+115.465,+115.465,+8.48413e+07,+5.14502e+06
2017-01-04 07:00:00 EST,+119.711,+119.711,+117.673,+117.673,+115.96,+115.96,+8.7071e+07,+5.17903e+06
2017-01-04 08:00:00 EST,+122.179,+122.179,+119.194,+119.194,+116.796,+116.796,+8.94155e+07,+5.23316e+06
