temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global
1:1:0:0:0,29.5,0.95,0.54,0,0,0
1:1:1:0:0,27.5,0.42,0.63,0,0,0
1:1:2:0:0,27.5,0.58,0.56,0,0,0
1:1:3:0:0,27.1,0.68,0.58,0,0,0
1:1:4:0:0,26.8,0.97,0.58,0,0,0
1:1:5:0:0,19.4,0.87,0.73,0,0,0
1:1:6:0:0,18.5,0.56,0.82,0,0,0
1:1:7:0:0,21.4,1.4,0.73,0,0,0
1:1:8:0:0,20.7,0.28,0.74,0,0,0
1:1:9:0:0,19.0,0.47,0.76,0,0,0
1:1:10:0:0,21.6,0.68,0.78,0,0,0
1:1:11:0:0,20.3,0.58,0.75,0,0,0
1:1:12:0:0,22.1,0.62,0.76,0,0,0
1:1:13:0:0,19.2,0.46,0.77,0,0,0
1:1:14:0:0,18.7,1.27,0.84,0,0,1
1:1:15:0:0,22.5,1.53,0.79,8,3,10
1:1:16:0:0,27.9,0.78,0.76,17,6,23
1:1:17:0:0,29.1,1.42,0.7,14,5,18
1:1:18:0:0,32.5,1.98,0.66,18,6,24
1:1:19:0:0,31.8,1.77,0.62,26,9,35
1:1:20:0:0,32.7,1.7,0.62,16,5,21
1:1:21:0:0,32.0,1.24,0.64,8,3,11
1:1:22:0:0,32.7,1.24,0.64,8,3,11
1:1:23:0:0,31.8,1.06,0.65,0,0,0
1:2:0:0:0,32.2,1.07,0.66,0,0,0
1:2:1:0:0,32.0,1.74,0.65,0,0,0
1:2:2:0:0,31.3,1.03,0.67,0,0,0
1:2:3:0:0,32.5,0.81,0.66,0,0,0
1:2:4:0:0,32.5,0.58,0.67,0,0,0
1:2:5:0:0,32.4,0.91,0.7,0,0,0
1:2:6:0:0,31.3,0.8,0.75,0,0,0
1:2:7:0:0,31.5,0.86,0.74,0,0,0
1:2:8:0:0,30.7,1.27,0.74,0,0,0
1:2:9:0:0,30.4,1.1,0.73,0,0,0
1:2:10:0:0,29.8,0.9,0.74,0,0,0
1:2:11:0:0,30.4,1.2,0.7,0,0,0
1:2:12:0:0,31.5,2.54,0.68,0,0,0
1:2:13:0:0,31.5,1.57,0.65,0,0,0
1:2:14:0:0,30.7,2.33,0.64,0,0,0
1:2:15:0:0,30.0,3.61,0.67,2,1,2
1:2:16:0:0,29.1,2.62,0.8,4,1,6
1:2:17:0:0,29.1,2.88,0.87,12,4,16
1:2:18:0:0,30.0,2.92,0.84,21,7,29
1:2:19:0:0,30.7,1.96,0.81,19,6,26
1:2:20:0:0,32.7,1.44,0.75,17,6,23
1:2:21:0:0,33.3,1.5,0.66,12,4,16
1:2:22:0:0,32.0,1.71,0.66,5,2,7
1:2:23:0:0,31.6,1.49,0.66,1,0,1
1:3:0:0:0,30.4,1.87,0.69,0,0,0
1:3:1:0:0,29.7,0.83,0.76,0,0,0
1:3:2:0:0,28.9,1.4,0.89,0,0,0
1:3:3:0:0,27.7,1.55,0.87,0,0,0
1:3:4:0:0,26.1,2.69,0.91,0,0,0
1:3:5:0:0,24.1,3.0,0.91,0,0,0
1:3:6:0:0,21.9,3.25,0.91,0,0,0
1:3:7:0:0,21.9,3.0,0.88,0,0,0
1:3:8:0:0,22.5,2.31,0.86,0,0,0
1:3:9:0:0,21.4,2.56,0.87,0,0,0
1:3:10:0:0,21.7,2.69,0.87,0,0,0
1:3:11:0:0,21.0,2.55,0.85,0,0,0
1:3:12:0:0,19.8,3.65,0.84,0,0,0
1:3:13:0:0,19.8,2.97,0.84,0,0,0
1:3:14:0:0,19.2,2.97,0.86,0,0,0
1:3:15:0:0,19.6,3.75,0.88,1,0,1
1:3:16:0:0,20.7,3.28,0.87,4,1,6
1:3:17:0:0,21.0,2.87,0.86,8,3,11
1:3:18:0:0,23.4,1.84,0.86,13,4,17
1:3:19:0:0,24.6,0.76,0.81,14,5,18
1:3:20:0:0,28.4,0.75,0.76,32,11,42
1:3:21:0:0,30.6,1.02,0.69,22,7,30
1:3:22:0:0,29.8,0.94,0.67,11,4,14
1:3:23:0:0,27.0,1.15,0.67,4,1,5
1:4:0:0:0,26.2,1.79,0.72,0,0,0
1:4:1:0:0,24.3,1.06,0.75,0,0,0
1:4:2:0:0,23.5,0.42,0.79,0,0,0
1:4:3:0:0,26.4,1.29,0.75,0,0,0
1:4:4:0:0,26.2,1.35,0.73,0,0,0
1:4:5:0:0,27.5,1.81,0.7,0,0,0
1:4:6:0:0,28.4,1.22,0.71,0,0,0
1:4:7:0:0,28.9,0.76,0.7,0,0,0
1:4:8:0:0,25.7,0.71,0.79,0,0,0
1:4:9:0:0,26.8,0.89,0.81,0,0,0
1:4:10:0:0,28.2,1.7,0.82,0,0,0
1:4:11:0:0,27.7,2.11,0.83,0,0,0
1:4:12:0:0,22.6,1.3,0.86,0,0,0
1:4:13:0:0,27.9,1.0,0.9,0,0,0
1:4:14:0:0,29.7,2.2,0.78,0,0,0
1:4:15:0:0,30.0,2.26,0.77,1,0,2
1:4:16:0:0,31.5,2.64,0.77,4,1,5
1:4:17:0:0,32.0,2.68,0.75,4,1,6
1:4:18:0:0,32.5,2.19,0.73,7,2,10
1:4:19:0:0,32.0,2.94,0.73,8,3,10
1:4:20:0:0,32.2,3.75,0.81,8,3,11
1:4:21:0:0,33.6,3.32,0.74,6,2,8
