# file...... xout_weather.csv
# date...... Fri Jun 21 22:52:50 2019
# user...... austinchang
# host...... (null)
# target.... climate 903
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,temperature,wind_speed,humidity, solar_direct,solar_diffuse,solar_global
2017-01-01 00:00:00 EST,+29.5,+0.95,+0.54,+0,+0,+0
2017-01-01 01:00:00 EST,+27.5,+0.42,+0.63,+0,+0,+0
2017-01-01 02:00:00 EST,+27.5,+0.58,+0.56,+0,+0,+0
2017-01-01 03:00:00 EST,+27.1,+0.68,+0.58,+0,+0,+0
2017-01-01 04:00:00 EST,+26.8,+0.97,+0.58,+0,+0,+0
2017-01-01 05:00:00 EST,+19.4,+0.87,+0.73,+0,+0,+0
2017-01-01 06:00:00 EST,+18.5,+0.56,+0.82,+0,+0,+0
2017-01-01 07:00:00 EST,+21.4,+1.4,+0.73,+0,+0,+0
2017-01-01 08:00:00 EST,+20.7,+0.28,+0.74,+0,+0,+0
2017-01-01 09:00:00 EST,+19,+0.47,+0.76,+0,+0,+0
2017-01-01 10:00:00 EST,+21.6,+0.68,+0.78,+0,+0,+0
2017-01-01 11:00:00 EST,+20.3,+0.58,+0.75,+0,+0,+0
2017-01-01 12:00:00 EST,+22.1,+0.62,+0.76,+0,+0,+0
2017-01-01 13:00:00 EST,+19.2,+0.46,+0.77,+0,+0,+0
2017-01-01 14:00:00 EST,+18.7,+1.27,+0.84,+0,+0,+1
2017-01-01 15:00:00 EST,+22.5,+1.53,+0.79,+8,+3,+10
2017-01-01 16:00:00 EST,+27.9,+0.78,+0.76,+17,+6,+23
2017-01-01 17:00:00 EST,+29.1,+1.42,+0.7,+14,+5,+18
2017-01-01 18:00:00 EST,+32.5,+1.98,+0.66,+18,+6,+24
2017-01-01 19:00:00 EST,+31.8,+1.77,+0.62,+26,+9,+35
2017-01-01 20:00:00 EST,+32.7,+1.7,+0.62,+16,+5,+21
2017-01-01 21:00:00 EST,+32,+1.24,+0.64,+8,+3,+11
2017-01-01 22:00:00 EST,+32.7,+1.24,+0.64,+8,+3,+11
2017-01-01 23:00:00 EST,+31.8,+1.06,+0.65,+0,+0,+0
2017-01-02 00:00:00 EST,+32.2,+1.07,+0.66,+0,+0,+0
2017-01-02 01:00:00 EST,+32,+1.74,+0.65,+0,+0,+0
2017-01-02 02:00:00 EST,+31.3,+1.03,+0.67,+0,+0,+0
2017-01-02 03:00:00 EST,+32.5,+0.81,+0.66,+0,+0,+0
2017-01-02 04:00:00 EST,+32.5,+0.58,+0.67,+0,+0,+0
2017-01-02 05:00:00 EST,+32.4,+0.91,+0.7,+0,+0,+0
2017-01-02 06:00:00 EST,+31.3,+0.8,+0.75,+0,+0,+0
2017-01-02 07:00:00 EST,+31.5,+0.86,+0.74,+0,+0,+0
2017-01-02 08:00:00 EST,+30.7,+1.27,+0.74,+0,+0,+0
2017-01-02 09:00:00 EST,+30.4,+1.1,+0.73,+0,+0,+0
2017-01-02 10:00:00 EST,+29.8,+0.9,+0.74,+0,+0,+0
2017-01-02 11:00:00 EST,+30.4,+1.2,+0.7,+0,+0,+0
2017-01-02 12:00:00 EST,+31.5,+2.54,+0.68,+0,+0,+0
2017-01-02 13:00:00 EST,+31.5,+1.57,+0.65,+0,+0,+0
2017-01-02 14:00:00 EST,+30.7,+2.33,+0.64,+0,+0,+0
2017-01-02 15:00:00 EST,+30,+3.61,+0.67,+2,+1,+2
