Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Transformer.SUBXF, 3.25936E-79,     0.00,     0.00, -1.136E-161, -5.90718E-160, 0, 0, 3, 133 
Transformer.XFM1, 3.16004E-84,     0.00,     0.00, 8.25566E-172, 1.14274E-162, 0, 0, 3, 2.77 
Line.L1, 1.68102E-77,     0.00,     0.00, -1.08645E-156, -5.00964E-156, 0, 0, 3, 2.77 
Line.L2, 1.1619E-78,     0.00,     0.00, 3.5579E-157, 7.16262E-158, 0, 0, 3, 2.77 
Line.L3, 2.92499E-78,     0.00,     0.00, 9.13056E-157, 1.70463E-157, 0, 0, 3, 2.77 
Line.L4, 1.86887E-77,     0.00,     0.00, -2.38301E-156, -5.60348E-156, 0, 0, 3, 2.77 
Line.L5, 2.11728E-77,     0.00,     0.00, -3.86606E-156, -6.47647E-156, 0, 0, 3, 2.77 
Line.L6, 3.83244E-78,     0.00,     0.00, 1.43634E-156, 2.78652E-157, 0, 0, 3, 2.77 
Line.L7, 2.8433E-79,     0.00,     0.00, 6.7028E-158, 9.17182E-159, 0, 0, 3, 2.77 
Line.L8, 2.18703E-78,     0.00,     0.00, 6.48366E-157, 1.17086E-157, 0, 0, 3, 2.77 
Line.L9, 5.59895E-79,     0.00,     0.00, 1.59305E-157, 3.2693E-158, 0, 0, 3, 2.77 
Line.L10, 6.26332E-79,     0.00,     0.00, 1.96235E-157, 4.17646E-158, 0, 0, 3, 2.77 
Line.L11, 2.73423E-79,     0.00,     0.00, 7.6125E-158, 1.40759E-158, 0, 0, 3, 2.77 
Line.L12, 2.72487E-79,     0.00,     0.00, 7.54505E-158, 9.38837E-159, 0, 0, 3, 2.77 
Line.L13, 1.05364E-78,     0.00,     0.00, 2.99727E-157, 6.518E-158, 0, 0, 3, 2.77 
Line.L14, 2.5717E-78,     0.00,     0.00, 8.94351E-157, 1.53773E-157, 0, 0, 3, 2.77 
Line.L15, 3.35922E-79,     0.00,     0.00, 1.14536E-157, 2.15531E-158, 0, 0, 3, 2.77 
Line.L16, 6.13447E-79,     0.00,     0.00, 1.88618E-157, 3.39115E-158, 0, 0, 3, 2.77 
Line.L17, 2.88771E-78,     0.00,     0.00, 1.0097E-156, 1.7713E-157, 0, 0, 3, 2.77 
Line.L18, 6.76532E-79,     0.00,     0.00, 2.28942E-157, 4.91118E-158, 0, 0, 3, 2.77 
Line.L19, 3.02202E-79,     0.00,     0.00, 9.1946E-158, 5.69578E-159, 0, 0, 3, 2.77 
Line.L20,  3.323E-79,     0.00,     0.00, 1.11827E-157, 1.89879E-158, 0, 0, 3, 2.77 
Line.L21, 6.73538E-79,     0.00,     0.00, 2.26909E-157, 4.86644E-158, 0, 0, 3, 2.77 
Line.L22, 2.32047E-78,     0.00,     0.00, 7.16091E-157, 1.25194E-157, 0, 0, 3, 2.77 
Line.L23, 2.24403E-79,     0.00,     0.00, 2.37246E-158, 2.85811E-160, 0, 0, 3, 2.77 
Line.L24, 1.32308E-78,     0.00,     0.00, 3.76045E-157, 6.91844E-158, 0, 0, 3, 2.77 
Line.L25, 2.74269E-79,     0.00,     0.00, 7.61385E-158, 6.9399E-159, 0, 0, 3, 2.77 
Line.L26, 2.14411E-77,     0.00,     0.00, -4.04229E-156, -6.73001E-156, 0, 0, 3, 2.77 
Line.L27, 3.1602E-78,     0.00,     0.00, 1.19895E-156, 2.13123E-157, 0, 0, 3, 2.77 
Line.L28, 2.41168E-78,     0.00,     0.00, 8.65159E-157, 1.46929E-157, 0, 0, 3, 2.77 
Line.L29, 1.47282E-78,     0.00,     0.00, 4.29891E-157, 7.21657E-158, 0, 0, 3, 2.77 
Line.L30, 9.47381E-79,     0.00,     0.00, 3.21116E-157, 4.98153E-158, 0, 0, 3, 2.77 
Line.L31, 1.19524E-78,     0.00,     0.00, 3.82001E-157, 6.79915E-158, 0, 0, 3, 2.77 
Line.L32, 1.00648E-78,     0.00,     0.00, 3.38862E-157, 6.29509E-158, 0, 0, 3, 2.77 
Line.L33, 2.14225E-77,     0.00,     0.00, -4.10403E-156, -6.97973E-156, 0, 0, 3, 2.77 
Line.L34, 1.24902E-79,     0.00,     0.00, 1.48017E-158, -4.60749E-160, 0, 0, 3, 2.77 
Line.L35, 1.56178E-77,     0.00,     0.00, -9.04963E-158, -4.40271E-156, 0, 0, 3, 2.77 
Transformer.REG1A, 9.66446E-78,     0.00,     0.00, -6.75202E-157, -4.93133E-157, 0, 0, 1, 2.77 
Transformer.REG1C, 1.56178E-77,     0.00,     0.00, 6.00249E-157, -3.40441E-156, 0, 0, 1, 2.77 
Line.JUMPER, 4.64642E-84,     0.00,     0.00, 2.89944E-166, -3.9025E-163, 0, 0, 1, 2.77 
