Customer Name,Season,Business Type,Load Name
s701a,summer,manufacturing,s701a
s701b,summer,manufacturing,s701b
s701c,summer,manufacturing,s701c
s712c,summer,manufacturing,s712c
s713c,summer,manufacturing,s713c
s714a,summer,manufacturing,s714a
s714b,summer,manufacturing,s714b
s718a,summer,manufacturing,s718a
s720c,summer,manufacturing,s720c
s722b,summer,manufacturing,s722b
s722c,summer,manufacturing,s722c
s724b,summer,manufacturing,s724b
s725b,summer,manufacturing,s725b
s727c,summer,manufacturing,s727c
s728,summer,manufacturing,s728
s729a,summer,manufacturing,s729a
s730c,summer,manufacturing,s730c
s731b,summer,manufacturing,s731b
s732c,summer,manufacturing,s732c
s733a,summer,manufacturing,s733a
s734c,summer,manufacturing,s734c
s735c,summer,retail,s735c
s736b,summer,retail,s736b
s737a,summer,retail,s737a
s738a,summer,agriculture,s738a
s740c,summer,agriculture,s740c
s741c,summer,public,s741c
s742a,summer,services,s742a
s742b,summer,manufacturing,s742b
s744a,summer,manufacturing,s744a
