# file...... measured_house_power.csv
# date...... Sun Dec  9 12:00:51 2018
# user...... dpinney
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,heating_demand, cooling_demand, heating_setpoint, air_temperature, outdoor_temperature
2012-01-01 00:00:00 EST,+7.90186,+4.34327,+70,+68,+26.062
2012-01-01 00:01:00 EST,+7.90239,+4.34312,+70,+68.11,+26.0708
2012-01-01 00:02:00 EST,+7.90289,+4.34298,+70,+68.2071,+26.0794
2012-01-01 00:03:00 EST,+7.90338,+4.34285,+70,+68.2931,+26.0876
2012-01-01 00:04:00 EST,+7.90385,+4.34271,+70,+68.3696,+26.0956
2012-01-01 00:05:00 EST,+7.9043,+4.34259,+70,+68.4378,+26.1032
2012-01-01 00:06:00 EST,+7.90474,+4.34247,+70,+68.499,+26.1106
2012-01-01 00:07:00 EST,+7.90515,+4.34235,+70,+68.5542,+26.1176
2012-01-01 00:08:00 EST,+7.90555,+4.34224,+70,+68.604,+26.1244
2012-01-01 00:09:00 EST,+7.90593,+4.34213,+70,+68.6494,+26.1308
2012-01-01 00:10:00 EST,+7.9063,+4.34203,+70,+68.6909,+26.137
2012-01-01 00:11:00 EST,+7.90664,+4.34193,+70,+68.729,+26.1428
2012-01-01 00:12:00 EST,+7.90697,+4.34184,+70,+68.7643,+26.1484
2012-01-01 00:13:00 EST,+7.90728,+4.34176,+70,+68.797,+26.1536
2012-01-01 00:14:00 EST,+7.90758,+4.34167,+70,+68.8277,+26.1586
2012-01-01 00:15:00 EST,+7.90785,+4.3416,+70,+68.8564,+26.1632
2012-01-01 00:16:00 EST,+7.90811,+4.34153,+70,+68.8836,+26.1676
2012-01-01 00:17:00 EST,+7.90835,+4.34146,+70,+68.9094,+26.1716
2012-01-01 00:18:00 EST,+7.90857,+4.3414,+70,+68.934,+26.1754
2012-01-01 00:19:00 EST,+7.90877,+4.34134,+70,+68.9575,+26.1788
2012-01-01 00:20:00 EST,+7.90896,+4.34129,+70,+68.9802,+26.182
2012-01-01 00:21:00 EST,+7.90913,+4.34124,+70,+69.0021,+26.1848
