Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 230, 1, 0.00167734, -109.5, 1.2631E-8, 2, 0.00175364, -107.0, 1.3206E-8, 3, 0.00343018,   71.7, 2.5831E-8
"799", 4.8, 1,    1154.61,  -90.0,   0.41663, 2,    1154.62,  -90.0,   0.41664, 3,    1153.94,  -90.0,   0.41639
"709", 4.8, 1,    1154.67,  -90.0,   0.41666, 2,    1154.66,  -90.0,   0.41665, 3,    1153.94,  -90.0,   0.41639
"775", 0.48, 1,  0.0269111, -111.4, 0.000097107, 2,  0.0250253, -108.2, 0.000090302, 3,  0.0519149,   70.2, 0.00018733
"701", 4.8, 1,    1154.65,  -90.0,   0.41665, 2,    1154.63,  -90.0,   0.41664, 3,    1153.89,  -90.0,   0.41638
"702", 4.8, 1,    1154.66,  -90.0,   0.41665, 2,    1154.64,  -90.0,   0.41664, 3,    1153.91,  -90.0,   0.41638
"705", 4.8, 1,    1154.66,  -90.0,   0.41665, 2,    1154.64,  -90.0,   0.41665, 3,    1153.91,  -90.0,   0.41638
"713", 4.8, 1,    1154.66,  -90.0,   0.41665, 2,    1154.64,  -90.0,   0.41665, 3,    1153.91,  -90.0,   0.41638
"703", 4.8, 1,    1154.66,  -90.0,   0.41665, 2,    1154.65,  -90.0,   0.41665, 3,    1153.92,  -90.0,   0.41638
"727", 4.8, 1,    1154.66,  -90.0,   0.41665, 2,    1154.65,  -90.0,   0.41665, 3,    1153.92,  -90.0,   0.41638
"730", 4.8, 1,    1154.67,  -90.0,   0.41666, 2,    1154.66,  -90.0,   0.41665, 3,    1153.93,  -90.0,   0.41639
"704", 4.8, 1,    1154.67,  -90.0,   0.41665, 2,    1154.65,  -90.0,   0.41665, 3,    1153.92,  -90.0,   0.41639
"714", 4.8, 1,    1154.67,  -90.0,   0.41665, 2,    1154.65,  -90.0,   0.41665, 3,    1153.92,  -90.0,   0.41639
"720", 4.8, 1,    1154.67,  -90.0,   0.41666, 2,    1154.66,  -90.0,   0.41665, 3,    1153.93,  -90.0,   0.41639
"742", 4.8, 1,    1154.66,  -90.0,   0.41665, 2,    1154.64,  -90.0,   0.41665, 3,    1153.91,  -90.0,   0.41638
"712", 4.8, 1,    1154.66,  -90.0,   0.41665, 2,    1154.64,  -90.0,   0.41665, 3,    1153.91,  -90.0,   0.41638
"706", 4.8, 1,    1154.67,  -90.0,   0.41666, 2,    1154.66,  -90.0,   0.41665, 3,    1153.93,  -90.0,   0.41639
"725", 4.8, 1,    1154.67,  -90.0,   0.41666, 2,    1154.66,  -90.0,   0.41665, 3,    1153.93,  -90.0,   0.41639
"707", 4.8, 1,    1154.68,  -90.0,   0.41666, 2,    1154.66,  -90.0,   0.41665, 3,    1153.94,  -90.0,   0.41639
"724", 4.8, 1,    1154.68,  -90.0,   0.41666, 2,    1154.66,  -90.0,   0.41665, 3,    1153.94,  -90.0,   0.41639
"722", 4.8, 1,    1154.68,  -90.0,   0.41666, 2,    1154.66,  -90.0,   0.41665, 3,    1153.94,  -90.0,   0.41639
"708", 4.8, 1,    1154.68,  -90.0,   0.41666, 2,    1154.67,  -90.0,   0.41665, 3,    1153.94,  -90.0,   0.41639
"733", 4.8, 1,    1154.68,  -90.0,   0.41666, 2,    1154.67,  -90.0,   0.41666, 3,    1153.95,  -90.0,   0.41639
"732", 4.8, 1,    1154.68,  -90.0,   0.41666, 2,    1154.67,  -90.0,   0.41665, 3,    1153.94,  -90.0,   0.41639
"731", 4.8, 1,    1154.68,  -90.0,   0.41666, 2,    1154.66,  -90.0,   0.41665, 3,    1153.94,  -90.0,   0.41639
"710", 4.8, 1,    1154.69,  -90.0,   0.41666, 2,    1154.68,  -90.0,   0.41666, 3,    1153.96,  -90.0,    0.4164
"735", 4.8, 1,    1154.69,  -90.0,   0.41666, 2,    1154.68,  -90.0,   0.41666, 3,    1153.96,  -90.0,    0.4164
"736", 4.8, 1,    1154.69,  -90.0,   0.41666, 2,    1154.68,  -90.0,   0.41666, 3,    1153.96,  -90.0,    0.4164
"711", 4.8, 1,    1154.69,  -90.0,   0.41666, 2,    1154.68,  -90.0,   0.41666, 3,    1153.96,  -90.0,    0.4164
"741", 4.8, 1,    1154.69,  -90.0,   0.41666, 2,    1154.68,  -90.0,   0.41666, 3,    1153.96,  -90.0,    0.4164
"740", 4.8, 1,    1154.69,  -90.0,   0.41666, 2,    1154.68,  -90.0,   0.41666, 3,    1153.96,  -90.0,    0.4164
"718", 4.8, 1,    1154.67,  -90.0,   0.41665, 2,    1154.65,  -90.0,   0.41665, 3,    1153.92,  -90.0,   0.41639
"744", 4.8, 1,    1154.66,  -90.0,   0.41665, 2,    1154.65,  -90.0,   0.41665, 3,    1153.92,  -90.0,   0.41638
"734", 4.8, 1,    1154.69,  -90.0,   0.41666, 2,    1154.68,  -90.0,   0.41666, 3,    1153.95,  -90.0,    0.4164
"737", 4.8, 1,    1154.69,  -90.0,   0.41666, 2,    1154.68,  -90.0,   0.41666, 3,    1153.96,  -90.0,    0.4164
"738", 4.8, 1,    1154.69,  -90.0,   0.41666, 2,    1154.68,  -90.0,   0.41666, 3,    1153.96,  -90.0,    0.4164
"728", 4.8, 1,    1154.66,  -90.0,   0.41665, 2,    1154.65,  -90.0,   0.41665, 3,    1153.92,  -90.0,   0.41638
"729", 4.8, 1,    1154.66,  -90.0,   0.41665, 2,    1154.65,  -90.0,   0.41665, 3,    1153.92,  -90.0,   0.41638
"799R", 4.8, 1,    1154.64,  -90.0,   0.41665, 2,    1154.62,  -90.0,   0.41664, 3,    1153.87,  -90.0,   0.41637
