Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Transformer.SUBXF,  0.0129685,     0.19,     0.14, -1.61888E-8, -6.4755E-8, 0, 0, 3, 133 
Transformer.XFM1, 8.35449E-6,     0.00,     0.00, 8.38024E-15, 0.0000289213, 0, 0, 3, 2.77 
Line.L1,   0.303872,     0.08,     0.05, 0.0000984018,  -0.931158, 0, 0, 3, 2.77 
Line.L2,  0.0177439,     0.00,     0.00, 4.63183E-6, -0.0437911, 0, 0, 3, 2.77 
Line.L3,   0.085044,     0.02,     0.01, 0.0000189757,  -0.251454, 0, 0, 3, 2.77 
Line.L4,   0.174668,     0.04,     0.03, 0.0000473434,  -0.543004, 0, 0, 3, 2.77 
Line.L5,  0.0178514,     0.00,     0.00, 3.47416E-6, -0.0487105, 0, 0, 3, 2.77 
Line.L6,   0.120197,     0.03,     0.02, 0.0000327988,  -0.366535, 0, 0, 3, 2.77 
Line.L7, 0.00846564,     0.00,     0.00, 5.65061E-7,  -0.027371, 0, 0, 3, 2.77 
Line.L8,  0.0597414,     0.01,     0.01, 0.0000112013,  -0.174219, 0, 0, 3, 2.77 
Line.L9, 0.00680178,     0.00,     0.00, 2.21232E-6, -0.0145967, 0, 0, 3, 2.77 
Line.L10, 0.00592707,     0.00,     0.00, 2.34112E-6, -0.0109472, 0, 0, 3, 2.77 
Line.L11, 0.00493166,     0.00,     0.00, 1.07944E-6, -0.0127729, 0, 0, 3, 2.77 
Line.L12,  0.0111752,     0.00,     0.00, 1.10071E-6, -0.0346704, 0, 0, 3, 2.77 
Line.L13, 0.00720958,     0.00,     0.00, 4.12624E-6, -0.00547231, 0, 0, 3, 2.77 
Line.L14,   0.081821,     0.02,     0.01, 0.0000143503,  -0.254504, 0, 0, 3, 2.77 
Line.L15, 0.00549454,     0.00,     0.00, 1.13046E-6, -0.0145979, 0, 0, 3, 2.77 
Line.L16,  0.0122165,     0.00,     0.00, 2.20013E-6, -0.0340003, 0, 0, 3, 2.77 
Line.L17,  0.0924953,     0.02,     0.02, 0.0000181364,  -0.287235, 0, 0, 3, 2.77 
Line.L18, 0.00539274,     0.00,     0.00, 2.25578E-6, -0.00912319, 0, 0, 3, 2.77 
Line.L19,   0.018006,     0.00,     0.00, 1.22957E-6, -0.0583947, 0, 0, 3, 2.77 
Line.L20,  0.0077817,     0.00,     0.00, 1.11641E-6, -0.0226679, 0, 0, 3, 2.77 
Line.L21, 0.00538847,     0.00,     0.00, 2.24854E-6, -0.00912324, 0, 0, 3, 2.77 
Line.L22,  0.0766196,     0.02,     0.01, 0.0000143808,  -0.231056, 0, 0, 3, 2.77 
Line.L23, 0.00695838,     0.00,     0.00, 1.34949E-8, -0.0237218, 0, 0, 3, 2.77 
Line.L24,  0.0295793,     0.01,     0.00, 5.76261E-6, -0.0821125, 0, 0, 3, 2.77 
Line.L25,  0.0146632,     0.00,     0.00, 1.13655E-6,  -0.046774, 0, 0, 3, 2.77 
Line.L26,  0.0133862,     0.00,     0.00, 2.26084E-6, -0.0377627, 0, 0, 3, 2.77 
Line.L27,   0.107915,     0.03,     0.02, 0.0000226278,  -0.332539, 0, 0, 3, 2.77 
Line.L28,   0.076612,     0.02,     0.01, 0.0000122814,  -0.236371, 0, 0, 3, 2.77 
Line.L29,  0.0363172,     0.01,     0.01, 4.26427E-6,  -0.113397, 0, 0, 3, 2.77 
Line.L30,  0.0299144,     0.01,     0.00, 3.97516E-6, -0.0912407, 0, 0, 3, 2.77 
Line.L31,  0.0259104,     0.01,     0.00,  3.6372E-6, -0.0771278, 0, 0, 3, 2.77 
Line.L32,  0.0194395,     0.00,     0.00,  3.4472E-6, -0.0544595, 0, 0, 3, 2.77 
Line.L33, 0.00540547,     0.00,     0.00, 2.22958E-6, -0.0091226, 0, 0, 3, 2.77 
Line.L34, 0.00374021,     0.00,     0.00, 2.86084E-9, -0.0127732, 0, 0, 3, 2.77 
Line.L35,   0.383163,     0.10,     0.06, 0.000150211,   -1.15496, 0, 0, 3, 2.77 
Transformer.REG1A,   0.303907,     0.07,     0.05, -2.32815E-6, 0.000119527, 0, 0, 1, 2.77 
Transformer.REG1C,   0.621367,     0.14,     0.10, -0.000104465, -0.000315334, 0, 0, 1, 2.77 
Line.JUMPER, 0.000325685,     0.00,     0.00, -1.93367E-8, -0.000376043, 0, 0, 1, 2.77 
