Station Id,Station Name,County,State,Latitude,Longitude,Elevation,Time Zone
PADK,ADAK NAS/MITCHELL,Aleutians West,AK,-176.646,51.878,4.0,America/Adak
PAKH,AKHIOK,Lake & Peninsula,AK,-154.18,56.94,13.0,America/Anchorage
PAUT,Akun,Aleutians East,AK,-165.6041,54.1446,20.6849,America/Nome
PALP,Alpine,North Slope,AK,-150.9447,70.3443,7.99874,America/Anchorage
PAFM,AMBLER,Northwest Arctic,AK,-157.8575,67.1063,88.0,America/Anchorage
PAKP,ANAKTUVUK PASS,Yukon-koyukuk,AK,-151.7433,68.1336,643.0,America/Anchorage
PANC,ANCHORAGE INTL ARPT (ASOS),Kenai Peninsula,AK,-150.0261,61.1697,40.0,America/Anchorage
PAGN,ANGOON,Skagway-Yakutat-Ango,AK,-134.5851,57.5036,6.9889,America/Juneau
PANI,ANIAK (AWOS),Bethel,AK,-159.543,61.5816,26.0,America/Anchorage
PANT,ANNETTE ISLAND (ASOS),Prince of Wales,AK,-131.5722,55.0424,34.0,America/Metlakatla
PANV,ANVIK AIRPORT,Yukon-koyukuk,AK,-160.1901,62.6473,99.0,America/Anchorage
PARC,ARCTIC VILLAGE,Yukon-koyukuk,AK,-145.5794,68.1147,636.0,America/Anchorage
PAAK,ATKA AIRPORT,Aleutians West,AK,-174.2062,52.2206,17.0,America/Adak
PATQ,ATQASUK,North Slope,AK,-157.4357,70.4673,29.0,America/Anchorage
PABR,BARROW/POST-ROGERS (ASOS),North Slope,AK,-156.7922,71.2826,4.0,America/Anchorage
PABA,BARTER ISLAND(AWOS),North Slope,AK,-143.5819,70.134,2.0,America/Anchorage
PABE,BETHEL AIRPORT (ASOS),Bethel,AK,-161.8264,60.7858,46.0,America/Anchorage
PABT,BETTLES FIELD (ASOS),Yukon-koyukuk,AK,-151.5089,66.9161,196.0,America/Anchorage
PALV,BIG RIVER LAKE,Kenai Peninsula,AK,-152.302,60.816,12.0,America/Anchorage
PABV,BIRCHWOOD,Kenai Peninsula,AK,-149.5072,61.4164,29.0,America/Anchorage
PFKT,Brevig Mission,Nome,AK,-166.4657,65.3313,1.0,America/Nome
PABL,BUCKLAND,Nome,AK,-161.1491,65.9816,13.1251,America/Anchorage
PATW,CANTWELL,Matanuska-Susitna,AK,-148.9556,63.3912,668.0,America/Anchorage
PALU,CAPE LISBURNE(AWOS),North Slope,AK,-166.1333,68.8833,3.0,America/Nome
PAEH,CAPE NEWENHAM(AWOS),Bethel,AK,-162.0628,58.6464,165.0,America/Nome
PACZ,CAPE ROMANZOFF AWOS,Bethel,AK,-166.0387,61.7803,146.0,America/Nome
