thermal capacitance (kWh/°C),thermal resistance (°C/kW),rated power (kW),COP,temperature deadband (°C),temperature set point (°C)
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
2,2,5.6,2.5,0.625,22.5
