thermal capacitance (kWh/°C),thermal resistance (°C/kW),rated power (kW),COP,temperature deadband (°C),temperature set point (°C)
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
2,2,5.6,3.5,0.625,19.5
