Hour,hourly_temperature_C
1,4.11
2,4.00
3,3.89
4,3.83
5,3.78
6,3.72
7,3.72
8,3.67
9,3.72
10,4.00
11,4.50
12,5.17
13,5.83
14,6.22
15,6.39
16,6.28
17,5.94
18,5.39
19,5.11
20,4.94
21,4.83
22,4.67
23,4.56
24,4.39
25,4.22
26,4.11
27,4.06
28,3.94
29,3.89
30,3.83
31,3.89
32,3.78
33,3.83
34,4.17
35,4.67
36,5.28
37,5.94
38,6.33
39,6.56
40,6.44
41,6.06
42,5.50
43,5.22
44,5.06
45,4.94
46,4.78
47,4.67
48,4.44
49,4.33
50,4.22
51,4.17
52,4.06
53,4.00
54,3.94
55,3.94
56,3.89
57,3.94
58,4.28
59,4.78
60,5.44
61,6.06
62,6.50
63,6.67
64,6.56
65,6.22
66,5.61
67,5.33
68,5.17
69,5.11
70,4.89
71,4.78
72,4.61
73,4.44
74,4.33
75,4.28
76,4.17
77,4.06
78,4.00
79,4.06
80,4.00
81,4.06
82,4.33
83,4.89
84,5.50
85,6.11
86,6.50
87,6.78
88,6.67
89,6.33
90,5.72
91,5.44
92,5.28
93,5.17
94,5.00
95,4.89
96,4.72
97,4.56
98,4.44
99,4.33
100,4.22
101,4.17
102,4.06
103,4.11
104,4.06
105,4.11
106,4.44
107,5.00
108,5.61
109,6.28
110,6.61
111,6.89
112,6.78
113,6.44
114,5.89
115,5.56
116,5.44
117,5.33
118,5.17
119,5.06
120,4.89
121,4.72
122,4.61
123,4.50
124,4.39
125,4.28
126,4.17
127,4.22
128,4.17
129,4.22
130,4.56
131,5.11
132,5.72
133,6.39
134,6.78
135,7.00
136,6.89
137,6.56
138,5.94
139,5.67
140,5.50
141,5.39
142,5.22
143,5.11
144,4.94
145,4.78
146,4.67
147,4.56
148,4.44
149,4.33
150,4.22
151,4.28
152,4.28
153,4.28
154,4.61
155,5.17
156,5.78
157,6.44
158,6.83
159,7.06
160,6.94
161,6.61
162,6.00
163,5.67
164,5.50
165,5.44
166,5.22
167,5.11
168,4.94
169,4.78
170,4.67
171,4.56
172,4.44
173,4.33
174,4.22
175,4.28
176,4.22
177,4.22
178,4.56
179,5.11
180,5.83
181,6.44
182,6.83
183,7.06
184,7.00
185,6.61
186,6.00
187,5.67
188,5.56
189,5.44
190,5.22
191,5.11
192,4.94
193,4.78
194,4.61
195,4.50
196,4.39
197,4.28
198,4.17
199,4.17
200,4.17
201,4.17
202,4.50
203,5.06
204,5.72
205,6.39
206,6.78
207,7.06
208,7.00
209,6.67
210,6.00
211,5.67
212,5.56
213,5.44
214,5.22
215,5.11
216,4.94
217,4.78
218,4.61
219,4.50
220,4.33
221,4.22
222,4.11
223,4.17
224,4.17
225,4.17
226,4.50
227,5.06
228,5.72
229,6.39
230,6.78
231,7.06
232,7.00
233,6.67
234,6.00
235,5.67
236,5.56
237,5.44
238,5.28
239,5.11
240,5.00
241,4.78
242,4.61
243,4.50
244,4.39
245,4.28
246,4.17
247,4.22
248,4.17
249,4.17
250,4.50
251,5.11
252,5.78
253,6.44
254,6.89
255,7.11
256,7.11
257,6.72
258,6.06
259,5.72
260,5.61
261,5.50
262,5.33
263,5.17
264,5.06
265,4.83
266,4.67
267,4.56
268,4.39
269,4.28
270,4.22
271,4.22
272,4.22
273,4.22
274,4.50
275,5.11
276,5.83
277,6.44
278,6.89
279,7.17
280,7.17
281,6.83
282,6.11
283,5.78
284,5.67
285,5.56
286,5.33
287,5.17
288,5.06
289,4.83
290,4.67
291,4.56
292,4.44
293,4.33
294,4.22
295,4.28
296,4.28
297,4.28
298,4.61
299,5.22
300,5.94
301,6.56
302,7.00
303,7.28
304,7.28
305,6.94
306,6.28
307,5.89
308,5.83
309,5.67
310,5.44
311,5.28
312,5.17
313,4.94
314,4.78
315,4.67
316,4.56
317,4.39
318,4.33
319,4.33
320,4.33
321,4.33
322,4.67
323,5.28
324,6.00
325,6.61
326,7.11
327,7.33
328,7.33
329,7.00
330,6.33
331,5.94
332,5.83
333,5.61
334,5.44
335,5.28
336,5.17
337,4.94
338,4.78
339,4.67
340,4.56
341,4.39
342,4.28
343,4.33
344,4.33
345,4.33
346,4.67
347,5.22
348,5.94
349,6.56
350,7.06
351,7.33
352,7.33
353,7.00
354,6.28
355,5.94
356,5.83
357,5.67
358,5.44
359,5.33
360,5.22
361,5.00
362,4.83
363,4.72
364,4.56
365,4.39
366,4.33
367,4.33
368,4.33
369,4.33
370,4.67
371,5.28
372,6.00
373,6.61
374,7.11
375,7.39
376,7.39
377,7.06
378,6.33
379,6.00
380,5.83
381,5.67
382,5.44
383,5.33
384,5.17
385,4.94
386,4.78
387,4.67
388,4.56
389,4.39
390,4.33
391,4.33
392,4.33
393,4.28
394,4.67
395,5.28
396,6.00
397,6.61
398,7.11
399,7.39
400,7.39
401,7.06
402,6.39
403,6.00
404,5.83
405,5.67
406,5.44
407,5.33
408,5.17
409,4.94
410,4.78
411,4.67
412,4.56
413,4.33
414,4.28
415,4.28
416,4.28
417,4.28
418,4.61
419,5.28
420,6.00
421,6.61
422,7.11
423,7.39
424,7.39
425,7.06
426,6.39
427,6.00
428,5.83
429,5.67
430,5.44
431,5.28
432,5.17
433,4.94
434,4.72
435,4.61
436,4.50
437,4.33
438,4.22
439,4.22
440,4.22
441,4.22
442,4.56
443,5.22
444,5.94
445,6.61
446,7.11
447,7.33
448,7.33
449,7.06
450,6.39
451,5.94
452,5.83
453,5.61
454,5.39
455,5.28
456,5.11
457,4.94
458,4.72
459,4.56
460,4.44
461,4.28
462,4.22
463,4.22
464,4.22
465,4.22
466,4.56
467,5.17
468,5.94
469,6.61
470,7.11
471,7.39
472,7.39
473,7.06
474,6.39
475,5.94
476,5.78
477,5.61
478,5.39
479,5.22
480,5.06
481,4.89
482,4.67
483,4.56
484,4.44
485,4.28
486,4.22
487,4.22
488,4.22
489,4.22
490,4.61
491,5.22
492,5.94
493,6.61
494,7.11
495,7.39
496,7.39
497,7.11
498,6.44
