Timestamp,Meter_1.csv-V_A,Meter_1.csv-V_B,Meter_1.csv-V_C,Meter_2.csv-V_A,Meter_2.csv-V_B,Meter_2.csv-V_C,Meter_3.csv-V_A,Meter_3.csv-V_B,Meter_3.csv-V_C,Meter_4.csv-V_A,Meter_4.csv-V_B,Meter_4.csv-V_C,Meter_5.csv-V_A,Meter_5.csv-V_B,Meter_5.csv-V_C,Meter_6.csv-V_A,Meter_6.csv-V_B,Meter_6.csv-V_C,Meter_7.csv-V_A,Meter_7.csv-V_B,Meter_7.csv-V_C,Meter_8.csv-V_A,Meter_8.csv-V_B,Meter_8.csv-V_C,Meter_9.csv-V_A,Meter_9.csv-V_B,Meter_9.csv-V_C,Meter_10.csv-V_A,Meter_10.csv-V_B,Meter_10.csv-V_C,Meter_11.csv-V_A,Meter_11.csv-V_B,Meter_11.csv-V_C,Meter_12.csv-V_A,Meter_12.csv-V_B,Meter_12.csv-V_C,Meter_13.csv-V_A,Meter_13.csv-V_B,Meter_13.csv-V_C,Meter_14.csv-V_A,Meter_14.csv-V_B,Meter_14.csv-V_C,Meter_15.csv-V_A,Meter_15.csv-V_B,Meter_15.csv-V_C,Meter_16.csv-V_A,Meter_16.csv-V_B,Meter_16.csv-V_C,Meter_17.csv-V_A,Meter_17.csv-V_B,Meter_17.csv-V_C,Meter_18.csv-V_A,Meter_18.csv-V_B,Meter_18.csv-V_C,Meter_19.csv-V_A,Meter_19.csv-V_B,Meter_19.csv-V_C,Meter_20.csv-V_A,Meter_20.csv-V_B,Meter_20.csv-V_C,Meter_21.csv-V_A,Meter_21.csv-V_B,Meter_21.csv-V_C,Meter_22.csv-V_A,Meter_22.csv-V_B,Meter_22.csv-V_C
2014-01-01 00:00:00 EST,5.3764,5.4463,5.4391,0,5.4463,0,0,5.4462,0,0,5.4463,0,0,5.4462,0,5.3763,0,0,5.3764,5.4463,5.4391,5.3764,0,0,5.3763,0,0,5.3763,0,0,0,0,5.4391,139.676,141.493,141.3032,5.3764,5.4464,5.4391,5.3764,5.4463,5.4391,5.3764,5.4463,5.4391,5.3764,0,5.439,0,0,5.3764,5.3763,0,0,5.3764,5.4463,5.4391,5.3764,5.4463,5.4391,0,0,5.439,0,0,5.439
2014-01-01 01:00:00 EST,5.3744,5.443,5.433,0,5.443,0,0,5.4429,0,0,5.443,0,0,5.4429,0,5.3743,0,0,5.3744,5.443,5.433,5.3744,0,0,5.3743,0,0,5.3743,0,0,0,0,5.4329,139.6241,141.407,141.1437,5.3744,5.4431,5.433,5.3744,5.443,5.433,5.3744,5.443,5.433,5.3745,0,5.4329,0,0,5.3744,5.3743,0,0,5.3744,5.443,5.433,5.3744,5.443,5.4329,0,0,5.4329,0,0,5.4329
2014-01-01 02:00:00 EST,5.344,5.4126,5.4024,0,5.4125,0,0,5.4125,0,0,5.4126,0,0,5.4125,0,5.3439,0,0,5.344,5.4125,5.4024,5.344,0,0,5.3439,0,0,5.3439,0,0,0,0,5.4024,138.8354,140.616,140.3505,5.3441,5.4126,5.4024,5.344,5.4125,5.4024,5.344,5.4125,5.4024,5.3441,0,5.4023,0,0,5.344,5.344,0,0,5.344,5.4125,5.4024,5.344,5.4126,5.4024,0,0,5.4024,0,0,5.4024
2014-01-01 03:00:00 EST,5.3128,5.3794,5.3689,0,5.3793,0,0,5.3793,0,0,5.3794,0,0,5.3793,0,5.3126,0,0,5.3127,5.3793,5.3689,5.3127,0,0,5.3126,0,0,5.3126,0,0,0,0,5.3688,138.0224,139.754,139.4796,5.3128,5.3794,5.3689,5.3127,5.3793,5.3689,5.3127,5.3793,5.3689,5.3128,0,5.3688,0,0,5.3127,5.3127,0,0,5.3127,5.3793,5.3689,5.3128,5.3794,5.3688,0,0,5.3688,0,0,5.3688
2014-01-01 04:00:00 EST,5.287,5.3531,5.3433,0,5.353,0,0,5.353,0,0,5.3531,0,0,5.353,0,5.2868,0,0,5.287,5.3531,5.3433,5.2869,0,0,5.2869,0,0,5.2868,0,0,0,0,5.3432,137.3526,139.071,138.8136,5.287,5.3531,5.3433,5.2869,5.353,5.3433,5.2869,5.353,5.3433,5.287,0,5.3432,0,0,5.2869,5.2869,0,0,5.2869,5.353,5.3433,5.287,5.3531,5.3432,0,0,5.3432,0,0,5.3432
2014-01-01 05:00:00 EST,5.2431,5.3077,5.3013,0,5.3077,0,0,5.3076,0,0,5.3077,0,0,5.3076,0,5.243,0,0,5.2431,5.3077,5.3013,5.2431,0,0,5.243,0,0,5.243,0,0,0,0,5.3013,136.213,137.892,137.7245,5.2431,5.3078,5.3013,5.2431,5.3077,5.3013,5.2431,5.3077,5.3013,5.2431,0,5.3012,0,0,5.243,5.243,0,0,5.2431,5.3077,5.3013,5.2431,5.3077,5.3013,0,0,5.3013,0,0,5.3013
2014-01-01 06:00:00 EST,5.2115,5.2762,5.2679,0,5.2761,0,0,5.2761,0,0,5.2762,0,0,5.2761,0,5.2114,0,0,5.2115,5.2761,5.2679,5.2115,0,0,5.2114,0,0,5.2114,0,0,0,0,5.2679,135.3921,137.073,136.8562,5.2115,5.2762,5.2679,5.2115,5.2761,5.2679,5.2115,5.2761,5.2679,5.2116,0,5.2678,0,0,5.2115,5.2114,0,0,5.2115,5.2761,5.2679,5.2115,5.2762,5.2679,0,0,5.2678,0,0,5.2678
2014-01-01 07:00:00 EST,5.1665,5.2314,5.2251,0,5.2314,0,0,5.2313,0,0,5.2314,0,0,5.2313,0,5.1663,0,0,5.1665,5.2314,5.2251,5.1664,0,0,5.1664,0,0,5.1664,0,0,0,0,5.225,134.2223,135.91,135.7431,5.1665,5.2314,5.2251,5.1664,5.2314,5.2251,5.1664,5.2314,5.2251,5.1665,0,5.225,0,0,5.1664,5.1664,0,0,5.1664,5.2314,5.2251,5.1665,5.2314,5.225,0,0,5.225,0,0,5.225
2014-01-01 08:00:00 EST,5.1413,5.207,5.2003,0,5.207,0,0,5.207,0,0,5.207,0,0,5.207,0,5.1412,0,0,5.1413,5.207,5.2003,5.1413,0,0,5.1412,0,0,5.1412,0,0,0,0,5.2003,133.5678,135.277,135.1,5.1413,5.2071,5.2003,5.1413,5.207,5.2003,5.1413,5.207,5.2003,5.1413,0,5.2002,0,0,5.1412,5.1412,0,0,5.1413,5.207,5.2003,5.1413,5.207,5.2003,0,0,5.2003,0,0,5.2003
2014-01-01 09:00:00 EST,5.1131,5.1805,5.1706,0,5.1805,0,0,5.1804,0,0,5.1805,0,0,5.1804,0,5.1129,0,0,5.1131,5.1805,5.1706,5.1131,0,0,5.113,0,0,5.113,0,0,0,0,5.1706,132.8355,134.588,134.3285,5.1131,5.1806,5.1706,5.1131,5.1805,5.1706,5.1131,5.1805,5.1706,5.1131,0,5.1705,0,0,5.113,5.113,0,0,5.1131,5.1805,5.1706,5.1131,5.1805,5.1706,0,0,5.1706,0,0,5.1706
