Date/Time,Hour,Load (kW),Reg-dn Price ($/MW),Reg-up Price ($/MW),VB Power upper (kW),VB Power lower (kW),VB Energy upper (kWh),VB Energy lower (kWh)
1/1/17 0:00,1,2296,25.15645413,21.88319024,0,0,0,0
1/1/17 1:00,2,2215,3.909569975,26.35868515,0,0,0,0
1/1/17 2:00,3,2183,8.2638953,8.187256468,0,0,0,0
1/1/17 3:00,4,2174,5.687532513,32.642279,0,0,0,0
1/1/17 4:00,5,2219,14.36722282,30.04762995,0,0,0,0
1/1/17 5:00,6,2292,23.10098389,19.02201731,0,0,0,0
1/1/17 6:00,7,2391,1.58725827,30.9957725,0,0,0,0
1/1/17 7:00,8,2467,12.00925838,4.599203633,0,0,0,0
1/1/17 8:00,9,2558,9.607721818,31.50590275,0,0,0,0
1/1/17 9:00,10,2625,1.472328,20.09377715,0,0,0,0
1/1/17 10:00,11,2639,4.608654628,10.92702602,0,0,0,0
1/1/17 11:00,12,2626,6.6536933,8.88861636,0,0,0,0
1/1/17 12:00,13,2602,15.46671426,17.04697362,0,0,0,0
1/1/17 13:00,14,2534,7.501108125,1.212140417,0,0,0,0
1/1/17 14:00,15,2481,1.291296884,17.97575209,0,0,0,0
1/1/17 15:00,16,2447,7.107071955,13.06235052,0,0,0,0
1/1/17 16:00,17,2515,0,1.184365202,0,0,0,0
1/1/17 17:00,18,2736,6.61308532,16.26055991,0,0,0,0
1/1/17 18:00,19,2760,4.324447443,14.95101819,0,0,0,0
1/1/17 19:00,20,2752,24.33279859,15.78033674,0,0,0,0
1/1/17 20:00,21,2680,9.884387448,11.09005203,0,0,0,0
1/1/17 21:00,22,2568,11.11415087,45.3264865,0,0,0,0
1/1/17 22:00,23,2413,11.48059543,7.487007605,0,0,0,0
1/1/17 23:00,24,2244,7.979805318,1.669593247,0,0,0,0
1/2/17 0:00,25,2089,14.16307625,17.62204304,0,0,0,0
1/2/17 1:00,26,2044,5.354630833,28.07926788,0,0,0,0
1/2/17 2:00,27,2040,18.46639027,14.6720314,0,0,0,0
1/2/17 3:00,28,2080,25.39017655,37.33234333,0,0,0,0
1/2/17 4:00,29,2129,7.756264123,22.23852202,0,0,0,0
1/2/17 5:00,30,2292,32.1082436,33.7349303,0,0,0,0
1/2/17 6:00,31,2521,0,10.04272352,0,0,0,0
1/2/17 7:00,32,2748,12.37747598,33.89045548,0,0,0,0
1/2/17 8:00,33,2811,11.33273814,32.03268763,0,0,0,0
1/2/17 9:00,34,2830,11.21437468,6.509028738,0,0,0,0
1/2/17 10:00,35,2779,17.71088541,13.76417393,0,0,0,0
1/2/17 11:00,36,2733,6.8263884,19.64728046,0,0,0,0
1/2/17 12:00,37,2687,13.60551626,53.25495493,0,0,0,0
1/2/17 13:00,38,2671,17.17797759,32.4571958,0,0,0,0
1/2/17 14:00,39,2649,0,13.64988693,0,0,0,0
1/2/17 15:00,40,2618,3.703510923,5.632078725,0,0,0,0
1/2/17 16:00,41,2684,18.02593225,13.67379904,0,0,0,0
1/2/17 17:00,42,2840,13.73453368,25.83957833,0,0,0,0
1/2/17 18:00,43,2906,18.80537189,30.23433885,0,0,0,0
1/2/17 19:00,44,2847,28.62625913,30.00994425,0,0,0,0
1/2/17 20:00,45,2755,14.11915702,33.07936788,0,0,0,0
1/2/17 21:00,46,2615,30.59079603,27.43954065,0,0,0,0
1/2/17 22:00,47,2407,6.34279774,31.22193498,0,0,0,0
1/2/17 23:00,48,2224,15.71689045,36.8678697,0,0,0,0
1/3/17 0:00,49,2086,14.73752964,19.51098956,0,0,0,0
1/3/17 1:00,50,2027,4.89267362,43.55988155,0,0,0,0
1/3/17 2:00,51,1982,23.08850224,30.3117747,0,0,0,0
1/3/17 3:00,52,1976,0,37.3039521,0,0,0,0
1/3/17 4:00,53,2030,10.41942634,13.48914648,0,0,0,0
1/3/17 5:00,54,2167,6.961166755,15.52934653,0,0,0,0
1/3/17 6:00,55,2370,20.90110037,30.07577343,0,0,0,0
1/3/17 7:00,56,2590,10.03528226,7.385223573,0,0,0,0
1/3/17 8:00,57,2635,7.452197825,26.3655035,0,0,0,0
1/3/17 9:00,58,2579,14.73837195,16.89928929,0,0,0,0
1/3/17 10:00,59,2562,27.3376272,20.27498868,0,0,0,0
1/3/17 11:00,60,2542,1.567433264,30.36321463,0,0,0,0
1/3/17 12:00,61,2517,14.43381109,13.69850309,0,0,0,0
1/3/17 13:00,62,2490,7.161650673,14.44913657,0,0,0,0
1/3/17 14:00,63,2489,5.113780893,14.78266888,0,0,0,0
1/3/17 15:00,64,2496,10.82661033,18.04900044,0,0,0,0
1/3/17 16:00,65,2547,10.86249274,2.60377846,0,0,0,0
1/3/17 17:00,66,2702,0,26.0018153,0,0,0,0
1/3/17 18:00,67,2812,12.31934895,13.11758794,0,0,0,0
1/3/17 19:00,68,2785,11.72073179,37.4419732,0,0,0,0
1/3/17 20:00,69,2678,13.31097338,23.1639082,0,0,0,0
1/3/17 21:00,70,2544,11.70639031,11.46769516,0,0,0,0
1/3/17 22:00,71,2369,3.592272118,22.34311107,0,0,0,0
1/3/17 23:00,72,2162,6.848137473,23.76214083,0,0,0,0
1/4/17 0:00,73,2027,16.9922777,25.11692543,0,0,0,0
1/4/17 1:00,74,1979,20.24189259,12.26510216,0,0,0,0
1/4/17 2:00,75,1936,4.86908917,34.49469495,0,0,0,0
1/4/17 3:00,76,1951,15.93380008,29.65436955,0,0,0,0
1/4/17 4:00,77,1994,11.24881586,12.9445627,0,0,0,0
1/4/17 5:00,78,2104,6.818608193,42.89196513,0,0,0,0
1/4/17 6:00,79,2321,3.783180873,16.91416189,0,0,0,0
1/4/17 7:00,80,2527,0.76911041,2.584990513,0,0,0,0
1/4/17 8:00,81,2678,7.81340075,20.97019534,0,0,0,0
1/4/17 9:00,82,2673,29.35172915,22.19376106,0,0,0,0
1/4/17 10:00,83,2649,4.557546778,18.23681443,0,0,0,0
1/4/17 11:00,84,2519,2.120725298,11.72944984,0,0,0,0
1/4/17 12:00,85,2515,12.86051598,20.80957504,0,0,0,0
1/4/17 13:00,86,2490,13.8962514,38.72055623,0,0,0,0
1/4/17 14:00,87,2425,19.98811579,20.122149,0,0,0,0
1/4/17 15:00,88,2390,1.894796602,11.64733081,0,0,0,0
1/4/17 16:00,89,2455,1.614290681,47.12103778,0,0,0,0
1/4/17 17:00,90,2659,9.285262858,19.75627125,0,0,0,0
1/4/17 18:00,91,2700,12.06802765,19.12152686,0,0,0,0
1/4/17 19:00,92,2635,1.65134309,10.75740606,0,0,0,0
1/4/17 20:00,93,2540,7.720761263,22.20561577,0,0,0,0
1/4/17 21:00,94,2450,16.06236463,25.92140655,0,0,0,0
1/4/17 22:00,95,2301,20.09527928,22.94136797,0,0,0,0
1/4/17 23:00,96,2174,17.63056687,8.258684588,0,0,0,0
1/5/17 0:00,97,2064,21.76619808,25.6210793,0,0,0,0
1/5/17 1:00,98,2002,0,30.41375308,0,0,0,0
1/5/17 2:00,99,1978,8.51090918,32.36253083,0,0,0,0
1/5/17 3:00,100,1931,0.689259344,14.78642557,0,0,0,0
1/5/17 4:00,101,1952,0.656091277,24.89691094,0,0,0,0
1/5/17 5:00,102,2044,6.989777788,3.30022988,0,0,0,0
1/5/17 6:00,103,2173,18.30665,50.55480845,0,0,0,0
1/5/17 7:00,104,2336,15.62638726,15.06735035,0,0,0,0
1/5/17 8:00,105,2482,15.76996715,16.15874662,0,0,0,0
1/5/17 9:00,106,2597,8.3261006,14.84978096,0,0,0,0
1/5/17 10:00,107,2639,8.56627829,26.69404668,0,0,0,0
1/5/17 11:00,108,2648,15.04070118,8.900113863,0,0,0,0
1/5/17 12:00,109,2600,14.88551565,13.14225558,0,0,0,0
1/5/17 13:00,110,2566,9.128111208,43.16272155,0,0,0,0
1/5/17 14:00,111,2503,5.384011873,25.2500581,0,0,0,0
1/5/17 15:00,112,2477,10.2590051,27.56796698,0,0,0,0
1/5/17 16:00,113,2538,0.577637366,40.22707983,0,0,0,0
1/5/17 17:00,114,2709,5.863330425,27.71510925,0,0,0,0
1/5/17 18:00,115,2759,8.919690858,27.73677475,0,0,0,0
1/5/17 19:00,116,2708,17.79656966,7.02901871,0,0,0,0
1/5/17 20:00,117,2624,0,6.01703116,0,0,0,0
1/5/17 21:00,118,2551,23.05302273,24.1500454,0,0,0,0
1/5/17 22:00,119,2429,30.7513709,27.92892578,0,0,0,0
1/5/17 23:00,120,2226,11.51301566,6.21288334,0,0,0,0
1/6/17 0:00,121,2106,24.1463455,19.11119164,0,0,0,0
1/6/17 1:00,122,2058,0.051915825,37.2645272,0,0,0,0
1/6/17 2:00,123,2054,9.43586628,20.16839284,0,0,0,0
1/6/17 3:00,124,2081,0,44.80064228,0,0,0,0
1/6/17 4:00,125,2121,16.59827008,11.8483732,0,0,0,0
1/6/17 5:00,126,2195,12.51810867,11.1310374,0,0,0,0
1/6/17 6:00,127,2301,14.99939558,11.92479506,0,0,0,0
1/6/17 7:00,128,2446,14.87405743,19.41315328,0,0,0,0
1/6/17 8:00,129,2598,4.350368178,23.74793462,0,0,0,0
1/6/17 9:00,130,2681,16.9447036,16.1403265,0,0,0,0
1/6/17 10:00,131,2688,1.844027991,13.49290122,0,0,0,0
1/6/17 11:00,132,2649,0,35.8670675,0,0,0,0
