# file...... tripline.csv
# date...... Thu Feb 28 11:09:25 2013
# user...... dwp0
# host...... (null)
# target.... triplex_line 139
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,power_in,power_out,current_in_A,current_in_B,current_in_C,current_out_A,current_out_B,current_out_C
2000-01-01 03:00:00 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2000-01-01 03:01:00 EST,+2916.8+0.0571282d,+2900-2.13065e-007d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 03:29:13 EST,+2916.8+0.0571284d,+2900+2.18416e-009d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 03:36:14 EST,+2916.8+0.0571424d,+2900+2.23042e-006d,+17.5756-10.7637j,-18.8415+11.5496j,+1.10109-0.0118192j,+17.5756-10.7637j,-18.8415+11.5496j,+1.10109-0.0118192j
2000-01-01 04:59:00 EST,+2916.8+0.0571262d,+2900-2.15755e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 05:05:00 EST,+2916.8+0.0571284d,+2900+2.40552e-008d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 05:06:00 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 05:10:00 EST,+2916.8+0.0571323d,+2900+3.98233e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 05:12:00 EST,+2916.8+0.0571283d,+2900-6.45167e-008d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 05:21:00 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 05:24:10 EST,+2916.62+0.05655d,+2900+5.33877e-006d,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112282j,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112282j
2000-01-01 05:30:25 EST,+2916.8+0.0571255d,+2900-2.87543e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 05:30:26 EST,+2916.8+0.0571424d,+2900+2.23051e-006d,+17.5756-10.7637j,-18.8415+11.5496j,+1.10109-0.0118192j,+17.5756-10.7637j,-18.8415+11.5496j,+1.10109-0.0118192j
2000-01-01 05:37:29 EST,+2916.8+0.0571262d,+2900-2.15762e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 06:05:05 EST,+2916.59+0.0564291d,+2900+6.3772e-006d,+17.4804-10.6694j,-18.7393+11.4483j,+1.09398-0.0100204j,+17.4804-10.6694j,-18.7393+11.4483j,+1.09398-0.0100204j
2000-01-01 06:12:06 EST,+2916.8+0.0571216d,+2900-6.81497e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125918j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125918j
2000-01-01 06:40:50 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 06:40:51 EST,+2916.8+0.0571242d,+2900-4.15912e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 06:50:36 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 06:50:37 EST,+2916.8+0.0571284d,+2900+2.7934e-008d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
