# VoltFault.csv run at 2000-01-01 05:06:00 EST on 72 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
load838b,0.000000,0.000000,-2482.020220,-1413.831745,1.332841,2628.991523
node799,2400.000000,-1385.640646,-2400.000000,-1385.640646,0.000000,2771.281292
node781,2504.985860,-1446.246838,-2459.984584,-1420.278852,-0.017679,2771.244798
node702,2458.665027,-1443.526053,-2458.269538,-1403.815120,16.609101,2701.542668
node702b,2458.665084,-1443.524985,-2458.265761,-1403.816704,16.604222,2701.540772
node703,2436.650374,-1442.790497,-2461.770792,-1401.550554,18.632588,2684.582408
node703b,2436.650652,-1442.787543,-2461.769919,-1401.551338,18.630233,2684.581640
node704,2458.455825,-1442.852409,-2450.129768,-1397.578037,20.116300,2692.864491
node704b,2458.455825,-1442.852409,-2450.126328,-1397.579558,20.113745,2692.863414
node705,2458.893806,-1444.556283,-2456.470313,-1404.553714,16.469014,2695.963768
node706,2462.216856,-1442.262067,-2439.699150,-1390.857619,24.862342,2687.694338
node707,2463.637276,-1439.887302,-2432.123273,-1381.668587,26.863994,2688.758701
node708,2406.897515,-1446.056073,-2469.131921,-1408.640338,11.730906,2654.405435
node708b,2406.897096,-1446.049088,-2469.131615,-1408.640611,11.724944,2654.403331
node709,2415.611835,-1445.165778,-2466.409987,-1406.435367,13.952787,2662.636838
node710,2386.387110,-1448.686162,-2474.157288,-1414.755691,6.162311,2628.279268
node711,0.000000,0.000000,-2481.975295,-1414.802840,1.603961,2625.457293
load801,2476.296553,-1443.094956,-2457.760416,-1408.245734,11.691905,2724.193006
load801a,2476.296553,-1443.094956,-2457.760416,-1408.245734,11.691905,2724.193006
load812,2458.860725,-1445.406300,-2456.434374,-1405.485656,16.146927,2692.436689
load812a,2458.860725,-1445.406300,-2456.434374,-1405.485656,16.146927,2692.436689
load813,2458.494072,-1443.922555,-2454.965385,-1402.009349,18.106765,2695.946447
load813a,2458.494072,-1443.922555,-2454.965385,-1402.009349,18.106765,2695.946447
load814,2458.023220,-1442.576040,-2450.159510,-1397.398861,20.024817,2692.954166
load814a,2458.023220,-1442.576040,-2450.159510,-1397.398861,20.024817,2692.954166
load818,2455.938576,-1441.101245,-2450.754040,-1397.084716,19.506337,2693.281794
load818a,2455.938576,-1441.101245,-2450.754040,-1397.084716,19.506337,2693.281794
load820,2461.313883,-1442.713484,-2442.105862,-1392.193788,23.959368,2687.242922
load820a,2461.313883,-1442.713484,-2442.105862,-1392.193788,23.959368,2687.242922
load822,2463.874917,-1439.557651,-2431.088396,-1380.405856,27.177448,2688.917430
load822a,2463.874917,-1439.557651,-2431.088396,-1380.405856,27.177448,2688.917430
load824,2464.051536,-1439.640418,-2430.431007,-1380.971150,27.278254,2689.005584
load824a,2464.051536,-1439.640418,-2430.431007,-1380.971150,27.278254,2689.005584
load825,2462.664700,-1441.994247,-2437.869185,-1390.100179,25.310186,2687.962159
load825a,2462.664700,-1441.994247,-2437.869185,-1390.100179,25.310186,2687.962159
load827,2433.290827,-1441.279074,-2461.236398,-1401.413533,17.690677,2681.742163
load827a,2433.290827,-1441.279074,-2461.236398,-1401.413533,17.690677,2681.742163
load828,2429.825485,-1439.571102,-2460.226406,-1400.425862,17.075612,2680.072284
load828a,2429.825485,-1439.571102,-2460.226406,-1400.425862,17.075612,2680.072284
load829,2429.503943,-1440.123497,-2461.510732,-1400.759457,16.931370,2681.182551
load829a,2429.503943,-1440.123497,-2461.510732,-1400.759457,16.931370,2681.182551
load830,2420.853139,-1444.725290,-2465.256874,-1405.377513,15.143049,2667.674998
load830b,2420.853139,-1444.725290,-2465.256874,-1405.377513,15.143049,2667.674998
load831,2416.228531,-1444.838896,-2464.768487,-1405.472194,14.569483,2662.963720
load831a,2416.228531,-1444.838896,-2464.768487,-1405.472194,14.569483,2662.963720
