# file...... tripout.csv
# date...... Thu Feb 28 11:09:25 2013
# user...... dwp0
# host...... (null)
# target.... triplex_node 136
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,voltage_1,voltage_2,voltage_12
2000-01-01 03:00:00 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 03:29:13 EST,+68.2966-31.438d,+68.2919-31.4405d,+136.589-31.4393d
2000-01-01 03:36:14 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 05:05:00 EST,+0+0j,+0+0j,+0+0j
2000-01-01 05:10:00 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 05:21:00 EST,+0+0j,+0+0j,+0+0j
2000-01-01 05:24:10 EST,+68.6531-31.4145d,+68.6484-31.417d,+137.302-31.4158d
2000-01-01 05:30:25 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 05:30:26 EST,+68.2966-31.438d,+68.2919-31.4405d,+136.589-31.4393d
2000-01-01 05:37:29 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 06:05:05 EST,+68.7269-31.3527d,+68.7221-31.3553d,+137.449-31.354d
2000-01-01 06:12:06 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 06:40:50 EST,+0+0j,+0+0j,+0+0j
2000-01-01 06:40:51 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 06:50:36 EST,+0+0j,+0+0j,+0+0j
2000-01-01 06:50:37 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 06:52:26 EST,+0+0j,+0+0j,+0+0j
2000-01-01 06:52:47 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 07:18:31 EST,+0+0j,+0+0j,+0+0j
2000-01-01 07:18:32 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
