Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    8.48336,   142.16,    6.35575,    26.64,    8.11816,   -82.79,          0,     0.00, 2.91038E-11,    90.00,    8.48336,   -37.84,    6.35575,  -153.36,    8.11816,    97.21,          0,     0.00, 2.91038E-11,   -90.00
Transformer.SUBXF,    8.48336,   -37.84,    6.35575,  -153.36,    8.11816,    97.21,          0,     0.00, 7.94411E-15,    63.43,    406.494,   142.16,    304.546,    26.64,    388.995,   -82.79,          0,     0.00, 0.0000254478,   142.17
Transformer.XFM1, 0.0000380891,   -94.67, 0.0000400492,   145.92, 0.0000394495,    23.17,          0,     0.00, 5.35208E-9,   177.84, 1.01685E-11,    79.70, 5.14488E-12,  -135.00, 1.02898E-11,   -45.00,          0,     0.00, 5.53224E-12,    -9.46
Line.L1,    268.168,   -34.77,    221.633,  -152.90,    254.953,    95.17,          0,     0.00, 0.00018242,   -24.01,    268.199,   145.21,    221.665,    27.09,    254.974,   -84.84,          0,     0.00, 0.000142925,   161.02
Line.L2,    21.1527,   -56.75,     20.772,  -125.01,    34.7038,    89.47,          0,     0.00, 0.0000166225,   -38.33,    21.1623,   123.23,    20.7722,    54.95,    34.7089,   -90.55,          0,     0.00, 9.58123E-6,   141.17
Line.L3,    59.5943,   -40.88,     72.241,  -137.41,    88.2671,    84.72,          0,     0.00, 0.0000590583,   -56.13,    59.6024,   139.11,    72.2443,    42.58,    88.2738,   -95.29,          0,     0.00, 0.0000519568,   121.30
Line.L4,    189.859,   -30.49,    136.812,  -165.17,    135.039,   103.43,          0,     0.00, 0.0000901279,     8.21,    189.896,   149.49,     136.87,    14.81,    135.054,   -76.61,          0,     0.00, 0.0000615932,  -144.41
Line.L5,    43.0481,   -24.79,    35.8867,  -166.71,    26.6279,    98.98,          0,     0.00, 0.0000143273,   -20.25,    43.0506,   155.20,    35.8918,    13.28,    26.6298,   -81.04,          0,     0.00, 0.0000108987,   160.29
Line.L6,    147.124,   -32.18,    101.001,  -164.66,    108.524,   104.47,          0,     0.00, 0.0000548453,    48.08,    147.135,   147.81,    101.016,    15.33,    108.528,   -75.54,          0,     0.00, 0.0000517349,  -122.72
Line.L7,    23.0963,     1.31,    26.0104,  -169.66,    4.83786,    58.92,          0,     0.00,  7.1506E-6,   -44.71,     23.096,  -178.70,    26.0122,    10.34,     4.8399,  -121.10,          0,     0.00, 6.15548E-6,   135.36
Line.L8,    25.0288,   -60.79,    52.1232,  -122.00,    67.8205,    76.87,          0,     0.00, 0.0000365478,   -65.53,    25.0539,   119.17,     52.122,    57.96,    67.8391,  -103.15,          0,     0.00, 0.0000258876,   108.56
