Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Transformer.SUBXF,    7.36533,   106.70,    78.24,    2294.11,    1366.62, 0, 0, 3, 133 
Transformer.XFM1, 0.0000368931,     0.00,     0.00, -6.62217E-13, 0.000271384, 0, 0, 3, 2.77 
Line.L1,    253.559,    63.39,    42.26,    1616.49,    789.077, 0, 0, 3, 2.77 
Line.L2,    32.6161,     8.15,     5.44,    155.895,    73.2975, 0, 0, 3, 2.77 
Line.L3,    86.8904,    21.72,    14.48,    483.207,    232.556, 0, 0, 3, 2.77 
Line.L4,     179.55,    44.89,    29.92,    967.493,    473.419, 0, 0, 3, 2.77 
Line.L5,    41.4252,    10.36,     6.90,    225.613,    112.522, 0, 0, 3, 2.77 
Line.L6,    138.421,    34.61,    23.07,    736.595,    356.035, 0, 0, 3, 2.77 
Line.L7,    24.5646,     6.14,     4.09,    104.802,    49.2804, 0, 0, 3, 2.77 
Line.L8,    67.1746,    16.79,    11.20,     301.68,    147.239, 0, 0, 3, 2.77 
Line.L9,    19.1841,     4.80,     3.20,     80.739,    38.1068, 0, 0, 3, 2.77 
Line.L10,    19.2717,     4.82,     3.21,    74.9344,    35.2043, 0, 0, 3, 2.77 
Line.L11,    10.0236,     2.51,     1.67,    39.9152,    19.8938, 0, 0, 3, 2.77 
Line.L12,    9.01974,     2.25,     1.50,    35.7335,    17.6963, 0, 0, 3, 2.77 
Line.L13,    35.7675,     8.94,     5.96,    149.841,     74.444, 0, 0, 3, 2.77 
Line.L14,    116.136,    29.03,    19.36,    554.951,    269.359, 0, 0, 3, 2.77 
Line.L15,    9.47714,     2.37,     1.58,    35.8875,     17.873, 0, 0, 3, 2.77 
Line.L16,    18.1529,     4.54,     3.03,    73.1778,    34.2816, 0, 0, 3, 2.77 
Line.L17,    123.725,    30.93,    20.62,    592.205,    287.942, 0, 0, 3, 2.77 
Line.L18,    18.8061,     4.70,     3.13,    71.5325,    33.6151, 0, 0, 3, 2.77 
Line.L19,    9.02454,     2.26,     1.50,    35.7945,    17.6156, 0, 0, 3, 2.77 
Line.L20,    9.37494,     2.34,     1.56,    35.1497,    17.4721, 0, 0, 3, 2.77 
Line.L21,    18.7488,     4.69,     3.12,    71.1202,    33.4214, 0, 0, 3, 2.77 
Line.L22,     71.937,    17.98,    11.99,    407.425,    196.902, 0, 0, 3, 2.77 
Line.L23,    17.6659,     4.42,     2.94,    69.3418,    32.5025, 0, 0, 3, 2.77 
Line.L24,     44.701,    11.18,     7.45,    186.624,     92.266, 0, 0, 3, 2.77 
Line.L25,    10.0245,     2.51,     1.67,    39.9336,    19.7426, 0, 0, 3, 2.77 
Line.L26,     35.374,     8.84,     5.90,    188.809,    94.2192, 0, 0, 3, 2.77 
Line.L27,    123.714,    30.93,    20.62,    666.361,    322.734, 0, 0, 3, 2.77 
Line.L28,    99.3483,    24.84,    16.56,    479.799,    233.949, 0, 0, 3, 2.77 
Line.L29,    77.0328,    19.26,    12.84,    335.256,     164.26, 0, 0, 3, 2.77 
Line.L30,    24.5532,     6.14,     4.09,     107.49,    51.1773, 0, 0, 3, 2.77 
Line.L31,    48.1509,    12.04,     8.03,    214.289,    103.874, 0, 0, 3, 2.77 
Line.L32,    28.1233,     7.03,     4.69,     106.37,    50.8513, 0, 0, 3, 2.77 
Line.L33,    17.2521,     4.31,     2.88,    114.036,    56.9655, 0, 0, 3, 2.77 
Line.L34,    9.67522,     2.42,     1.61,    37.3201,    18.5966, 0, 0, 3, 2.77 
Line.L35,    352.922,    88.23,    58.82,    2224.49,    1104.92, 0, 0, 3, 2.77 
Transformer.REG1A,    352.922,    77.00,    56.47,    686.875,    1425.82, 0, 0, 1, 2.77 
Transformer.REG1C,    344.364,    75.13,    55.10,    1548.82,   -292.887, 0, 0, 1, 2.77 
Line.JUMPER, 0.000111774,     0.00,     0.00, 4.64645E-6, -0.000292676, 0, 0, 1, 2.77 
