# vdumptext.csv run at 2011-01-01 07:00:00 PST on 4160 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
FRIENDSHIP,7200.000000,0.000000,7200.000000,4.188790,7200.000000,2.094395
S1806-33-073,121.077622,4.192907,121.077622,4.192907,0.000000,0.000000
S1806-32-065,121.077413,4.192902,121.077413,4.192902,0.000000,0.000000
S1806-33-042,121.077413,4.192902,121.077413,4.192902,0.000000,0.000000
S1806-33-047,117.452238,2.094992,117.452238,2.094992,0.000000,0.000000
S1806-33-059,117.452238,2.094992,117.452238,2.094992,0.000000,0.000000
S1806-33-050,117.470557,2.095275,117.470557,2.095275,0.000000,0.000000
S1806-33-032,117.472836,2.095276,117.472836,2.095276,0.000000,0.000000
S1806-33-044,117.482766,2.095398,117.482766,2.095398,0.000000,0.000000
S1806-33-069,117.471441,2.095165,117.471441,2.095165,0.000000,0.000000
S1806-33-068,117.488517,2.095409,117.488517,2.095409,0.000000,0.000000
S1806-33-077,117.495323,2.095359,117.495323,2.095359,0.000000,0.000000
S1806-33-016,117.504755,2.095395,117.504755,2.095395,0.000000,0.000000
S1806-33-023,117.504755,2.095395,117.504755,2.095395,0.000000,0.000000
S1806-33-026,117.504755,2.095395,117.504755,2.095395,0.000000,0.000000
S1806-33-013,117.515278,2.095434,117.515278,2.095434,0.000000,0.000000
S1806-33-031,117.515278,2.095434,117.515278,2.095434,0.000000,0.000000
S1806-33-037,117.515278,2.095434,117.515278,2.095434,0.000000,0.000000
S1806-33-038,117.515278,2.095434,117.515278,2.095434,0.000000,0.000000
S1806-33-041,117.526971,2.095488,117.526971,2.095488,0.000000,0.000000
S1806-33-029,117.530765,2.095372,117.530765,2.095372,0.000000,0.000000
S1806-33-046,117.530765,2.095372,117.530765,2.095372,0.000000,0.000000
S1806-33-056,117.548928,2.095491,117.548928,2.095491,0.000000,0.000000
S1806-33-022,117.563063,2.095531,117.563063,2.095531,0.000000,0.000000
S1806-33-045,117.563063,2.095531,117.563063,2.095531,0.000000,0.000000
