Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    7.36533,   142.67,    5.66982,    28.09,    7.18672,   -83.17,          0,     0.00, 1.45519E-10,   -53.13,    7.36533,   -37.33,    5.66982,  -151.91,    7.18672,    96.83,          0,     0.00, 1.45519E-10,   126.87
Transformer.SUBXF,    7.36533,   -37.33,    5.66982,  -151.91,    7.18672,    96.83,          0,     0.00, 7.94411E-15,  -153.43,    352.922,   142.67,    271.679,    28.09,    344.364,   -83.17,          0,     0.00, 1.18295E-6,     9.70
Transformer.XFM1, 0.0000351055,   -94.46, 0.0000368931,   146.42, 0.0000365071,    23.56,          0,     0.00, 3.98819E-9,  -168.22, 4.06738E-12,   -63.43, 6.55846E-12,   -33.69, 7.49989E-12,   165.96,          0,     0.00, 5.45697E-12,   -90.00
Line.L1,    253.559,   -34.20,    213.423,  -152.47,    242.042,    94.85,          0,     0.00, 0.000124326,   -18.47,    253.587,   145.79,    213.452,    27.52,    242.062,   -85.16,          0,     0.00, 0.0000931842,   170.10
Line.L2,    20.1199,   -56.64,    19.1838,  -124.49,    32.6161,    90.35,          0,     0.00, 0.000013499,   -38.34,    20.1289,   123.34,     19.184,    55.47,    32.6207,   -89.67,          0,     0.00, 7.76877E-6,   141.08
Line.L3,    56.4041,   -40.97,    71.3061,  -136.08,    86.8904,    84.20,          0,     0.00, 0.0000430638,   -64.33,    56.4116,   139.02,    71.3089,    43.91,    86.8969,   -95.80,          0,     0.00, 0.0000377173,   111.63
Line.L4,     179.55,   -29.63,    131.377,  -165.29,    125.532,   103.35,          0,     0.00, 0.0000698921,    26.49,    179.583,   150.34,    131.432,    14.68,    125.547,   -76.68,          0,     0.00, 0.000057626,  -122.19
Line.L5,    41.4252,   -24.00,    35.3693,  -165.79,    25.7774,    97.93,          0,     0.00, 0.0000111188,   -15.89,    41.4274,   155.99,     35.374,    14.20,    25.7792,   -82.08,          0,     0.00, 8.42099E-6,   164.88
Line.L6,    138.421,   -31.35,    96.0641,  -165.15,    99.9122,   104.70,          0,     0.00, 0.0000555404,    68.89,     138.43,   148.64,    96.0785,    14.85,    99.9155,   -75.31,          0,     0.00, 0.000054837,  -103.89
Line.L7,    21.5641,     1.59,    24.5646,  -168.52,    4.97483,    59.60,          0,     0.00, 5.29343E-6,   -47.96,    21.5639,  -178.41,    24.5662,    11.48,    4.97671,  -120.41,          0,     0.00, 4.54873E-6,   132.09
Line.L8,    23.8194,   -60.69,     52.261,  -121.51,    67.1746,    76.52,          0,     0.00, 0.0000267905,   -78.67,    23.8426,   119.27,    52.2599,    58.46,     67.192,  -103.50,          0,     0.00, 0.0000194138,    92.76
Line.L9,    1.68901,     0.51,    19.1841,  -124.55,    18.2663,    59.79,          0,     0.00,  4.4054E-6,   -39.26,    1.68829,  -179.79,    19.1843,    55.42,    18.2738,  -120.23,          0,     0.00, 6.9153E-12,    46.33
Line.L10,    19.2655,   -60.88, 0.00704978,   -33.64,    19.2717,   119.13,          0,     0.00, 3.36354E-6,   -38.48,    19.2711,   119.11, 5.5509E-12,   -55.01,    19.2711,   -60.89,          0,     0.00, 8.21382E-12,   -85.24
Line.L11, 0.00784407,    85.78,    10.0236,  -121.62,    10.0167,    58.36,          0,     0.00, 1.96566E-6,   -75.56, 3.86535E-12,   180.00,    10.0233,    58.33,    10.0233,  -121.67,          0,     0.00, 1.40623E-11,   104.04
Line.L12,   0.021279,    85.81,    9.01974,  -121.48,    9.00083,    58.46,          0,     0.00, 5.44568E-6,  -104.92, 1.47793E-12,   -67.38,    9.01885,    58.38,    9.01885,  -121.62,          0,     0.00, 9.25344E-13,   -79.38
Line.L13,    4.73351,   -60.88,    33.2147,  -121.62,    35.7675,    65.01,          0,     0.00,  8.5512E-7,  -103.80,    4.73631,   119.09,    33.2145,    58.37,    35.7701,  -115.00,          0,     0.00, 2.54821E-11,    87.95
Line.L14,    116.136,   -24.66,    84.2095,  -173.91,    61.3892,   110.81,          0,     0.00, 0.0000502597,    85.92,     116.14,   155.33,    84.2184,     6.08,    61.3897,   -69.20,          0,     0.00, 0.0000484521,   -92.32
Line.L15,    9.46903,   -62.72, 0.00929557,   -33.53,    9.47714,   117.31,          0,     0.00, 1.85414E-6,    34.87,    9.47654,   117.25, 5.82361E-12,   141.34,    9.47654,   -62.75,          0,     0.00, 5.49944E-12,   150.26
Line.L16,  0.0206357,    85.54,    18.1529,  -120.31,    18.1343,    59.67,          0,     0.00, 4.32849E-6,    12.93, 2.87607E-12,  -108.43,    18.1516,    59.63,    18.1516,  -120.37,          0,     0.00, 6.92651E-12,  -156.80
Line.L17,    123.725,   -27.36,    84.1935,  -173.90,    70.8132,   111.69,          0,     0.00, 0.0000526103,    82.06,    123.729,   152.64,    84.2024,     6.09,    70.8136,   -68.32,          0,     0.00, 0.0000514455,   -95.68
Line.L18,     18.801,   -61.50, 0.00578328,   -33.45,    18.8061,   118.51,          0,     0.00, 1.61695E-6,    83.54,    18.8056,   118.49, 2.66134E-12,  -160.02,    18.8056,   -61.51,          0,     0.00, 8.54393E-12,   154.80
Line.L19,   0.035051,    85.52,    9.02454,  -121.51,    8.99334,    58.38,          0,     0.00, 0.0000102744,    87.69, 9.09495E-13,   180.00,    9.02336,    58.25,    9.02336,  -121.75,          0,     0.00, 7.73154E-13,    36.03
Line.L20,    9.36248,   -63.00,  0.0143329,   -33.35,    9.37494,   117.04,          0,     0.00, 5.98397E-6,    94.00,    9.37402,   116.96, 1.87497E-12,   104.04,    9.37402,   -63.04,          0,     0.00, 5.10959E-12,   147.72
