,Orien
System 1,South;West
System 2,South;East
System 3,South;East
System 4,South;East
System 5,South
System 6,South;East
System 7,South
System 8,South;West
System 9,South;West
System 10,South;West
System 11,South
System 12,South
System 13,South;West
System 14,South
System 15,South
System 16,South;East
System 17,South;East
System 18,South;West
System 19,South;East
System 20,South;West
System 21,South;East
System 22,South;East
System 23,South
System 24,South;East
System 25,South;East
System 26,South;East
System 27,South
System 28,South;East
System 29,South;West
System 30,South
System 31,South
System 32,South;East
System 33,South
System 34,South;East
System 35,South;West
System 36,South
System 37,South
System 38,South
System 39,South;East
System 40,South;East
System 41,South
System 42,South;West
System 43,South;East
System 44,South;East
System 45,South;West
System 46,South
System 47,South
System 48,South;East
System 49,South
System 50,South;West
System 51,South;East
System 52,South
System 53,South;West
System 54,South;West
System 55,South;East
System 56,South
System 57,South
System 58,South;West
System 59,South;West
System 60,South
System 61,South;East
System 62,South
System 63,South;West
System 64,South;East
System 65,South
System 66,South;East
System 67,South
System 68,South;East
System 69,South;West
System 70,South;West
System 71,South
System 72,South
System 73,South
