xBase,yBase
-84.946092,30.134247
Bus Name,xVal,yVal,xDif,yDif,xAdj,yAdj
sourcebus,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
e192860,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
l2801909,1694004.9024,12277496.001,50.872299999929965,-81.75599999912083,-84.9459393831,30.134001732
m1209805,1693695.4086,12276525.388,-258.6215000001248,-1052.3689999990165,-84.94686786449999,30.131089893000002
l2823592,1693402.2497,12276340.999,-551.7804000000469,-1236.7579999994487,-84.9477473412,30.130536726
l2823592_cap,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
r20185,1693275.0361,12276265.374,-678.9940000001807,-1312.3829999994487,-84.948128982,30.130309851
d5513564-1_int,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
e192201,1693215.4311,12276229.018,-738.599000000162,-1348.7390000000596,-84.948307797,30.130200783
m1209800,1693062.4988,12276129.092,-891.5313000001479,-1448.664999999106,-84.94876659389999,30.129901005
l2839332,1693083.8881,12276307.555,-870.1419999999925,-1270.2019999995828,-84.948702426,30.130436394
m1209791,1692658.3096,12275897.84,-1295.720500000054,-1679.9169999994338,-84.9499791615,30.129207249
l2936270,1692720.8187,12275752.399,-1233.2114000001457,-1825.3579999990761,-84.9497916342,30.128770926
l3086078,1692795.4601,12275568.128,-1158.5700000000652,-2009.628999998793,-84.94956771,30.128218113000003
m1209782,1692906.1504,12275200.41,-1047.879700000165,-2377.3469999991357,-84.9492356391,30.127114959
l3217056,1693138.8687,12275135.05,-815.1614000000991,-2442.7069999985397,-84.94853748419999,30.126918879
l3217057,1692912.5319,12275073.43,-1041.498200000031,-2504.3269999995828,-84.9492164946,30.126734019
m1209788,1692322.028,12275732.599,-1632.002100000158,-1845.1579999998212,-84.9509880063,30.128711526
l2823611,1691626.0889,12275427.89,-2327.941200000001,-2149.8669999986887,-84.95307582359999,30.127797399000002
l3030204,1691395.861,12275279.479,-2558.1691000000574,-2298.2779999990016,-84.95376650729999,30.127352166
m3032980,1690965.8219,12274981.237,-2988.2081999999937,-2596.519999999553,-84.95505662459999,30.12645744
m1166366,1689137.261,12275255.55,-4816.7691000001505,-2322.2069999985397,-84.96054230729999,30.127280379000002
m1166370,1689139.4688,12275313.902,-4814.561300000176,-2263.8549999985844,-84.96053568389999,30.127455435
l3030205,1688940.4933,12274847.064,-5013.536800000118,-2730.69299999997,-84.9611326104,30.126054920999998
l3067506,1689145.4981,12276120.671,-4808.532000000123,-1457.0859999991953,-84.96051759599999,30.129875742
m1166386,1689001.5319,12276021.371,-4952.498200000031,-1556.3859999999404,-84.96094949459999,30.129577842
l2898515,1688920.1894,12276646.671,-5033.840700000059,-931.0859999991953,-84.96119352209999,30.131453742
m1166387,1688911.1987,12276842.021,-5042.831400000025,-735.7359999995679,-84.96122049419999,30.132039792
l3198347,1688541.3995,12276943.131,-5412.630600000033,-634.6260000001639,-84.9623298918,30.132343121999998
l3048946,1688896.3794,12277121.921,-5057.650700000115,-455.83599999919534,-84.9612649521,30.132879492
l3048966,1688845.462,12275885.319,-5108.568100000033,-1692.4379999991506,-84.96141770429999,30.129169686
m1166368,1689003.7396,12275275.92,-4950.290500000119,-2301.8369999993593,-84.9609428715,30.127341489
l3086098,1689003.5184,12275113.829,-4950.511700000148,-2463.927999999374,-84.9609435351,30.126855216
l2973833,1688662.1414,12275322.631,-5291.88870000001,-2255.126000000164,-84.9619676661,30.127481621999998
m1166373,1688526.658,12275332.338,-5427.372100000037,-2245.4189999997616,-84.9623741163,30.127510743
l2786266,1688275.9582,12275362.952,-5678.071900000097,-2214.804999999702,-84.96312621569999,30.127602584999998
m1166375,1688163.4698,12275377.308,-5790.560300000012,-2200.448999999091,-84.96346368089999,30.127645653000002
l2917333,1688155.159,12275684.09,-5798.871100000106,-1893.6669999994338,-84.96348861329999,30.128565999
l2842383,1687854.0784,12275449.471,-6099.951700000092,-2128.2859999984503,-84.96439185509999,30.127862142
d6023352-1_int,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
e184626,1687680.3302,12275449.111,-6273.699900000123,-2128.645999999717,-84.9649130997,30.127861062
l2842384,1687518.7307,12275440.559,-6435.2994000001345,-2137.197999998927,-84.9653978982,30.127835406000003
m1149236,1687296.8995,12275425.358,-6657.130600000033,-2152.3990000002086,-84.96606339179999,30.127789803
l2805034,1687346.6496,12275199.648,-6607.380500000203,-2378.10899999924,-84.9659141415,30.127112673
m1149235,1687160.6707,12275419.64,-6793.35940000019,-2158.1169999986887,-84.9664720782,30.127772649
d5563942-4_int,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
q16483,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
q16483_cap,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
r42247,1687041.4361,12275413.373,-6912.594000000041,-2164.3839999996126,-84.96682978199999,30.127753848
l3048965,1686592.6087,12275382.031,-7361.421400000108,-2195.7259999997914,-84.9681762642,30.127659822
m1142843,1686425.4018,12275361.69,-7528.628299999982,-2216.0669999998063,-84.96867788489999,30.127598798999998
l3081380,1686081.9809,12275244.626,-7872.049200000009,-2333.130999999121,-84.96970814759999,30.127247607
d5799561-2_int,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
e193509,1685787.1672,12275178.07,-8166.862900000066,-2399.6869999989867,-84.97059258869999,30.127047939
m1142839,1685589.1707,12275125.912,-8364.85940000019,-2451.844999998808,-84.97118657819999,30.126891465000003
l3067507,1685567.2816,12275262.129,-8386.748499999987,-2315.627999998629,-84.9712522455,30.127300116000004
m1142832,1685356.9807,12275067.29,-8597.049400000134,-2510.467000000179,-84.97188314819999,30.126715598999997
l3160865,1685145.1929,12275007.456,-8808.837200000184,-2570.3009999990463,-84.9725185116,30.126536097000002
m1142828,1684897.5733,12274659.034,-9056.456800000044,-2918.7229999992996,-84.9732613704,30.125490831
l2674047,1684897.5201,12274658.968,-9056.51000000001,-2918.788999998942,-84.97326152999999,30.125490633000002
l2692655,1684774.1691,12274502.054,-9179.861000000034,-3075.7029999997467,-84.973631583,30.125019891
m1142821,1684664.3061,12274365.064,-9289.724000000162,-3212.69299999997,-84.97396117199999,30.124608921
l2711226,1684660.7836,12274361.025,-9293.246500000125,-3216.731999998912,-84.97397173949999,30.124596804000003
m1142819,1684492.2291,12274167.739,-9461.800999999978,-3410.017999999225,-84.974477403,30.124016946
m1142826,1684194.1181,12274537.509,-9759.912000000011,-3040.247999999672,-84.975371736,30.125126255999998
l3160864,1684442.9706,12274704.745,-9511.059500000207,-2873.0120000001043,-84.97462517849999,30.125627964
m1125940,1683265.4484,12274684.998,-10688.58169999998,-2892.7589999996126,-84.97815774509999,30.125568723
l3048963,1683196.4103,12274599.261,-10757.619799999986,-2978.4959999993443,-84.97836485939999,30.125311512
l3254915,1682928.6507,12275160.138,-11025.379399999976,-2417.6189999990165,-84.9791681382,30.126994143
m1142818,1684327.3118,12273985.188,-9626.718300000066,-3592.569000000134,-84.97497215489999,30.123469293
l2936271,1684406.7292,12273686.139,-9547.300900000148,-3891.6179999988526,-84.9747339027,30.122572146000003
m1142815,1684789.1809,12273453.589,-9164.849200000055,-4124.167999999598,-84.9735865476,30.121874496
l2879794,1684632.1484,12273382.638,-9321.881700000027,-4195.1189999990165,-84.97405764509999,30.121661643000003
m1142811,1684559.7516,12273298.83,-9394.278500000015,-4278.92699999921,-84.9742748355,30.121410219
l2917330,1684389.0508,12273101.218,-9564.979300000006,-4476.538999998942,-84.97478693789999,30.120817383000002
l2861222,1684198.2305,12272877.892,-9755.799600000028,-4699.864999998361,-84.9753593988,30.120147405000004
l2992657,1684536.5068,12273131.336,-9417.5233,-4446.421000000089,-84.9743445699,30.120907737
m1142810,1686201.7889,12273141.31,-7752.241200000048,-4436.446999998763,-84.96934872359999,30.120937659000003
l3160868,1686514.7069,12272958.649,-7439.323199999984,-4619.107999999076,-84.96840996959999,30.120389676000002
l3082988,1686580.5829,12272900.969,-7373.447200000053,-4676.787999998778,-84.9682123416,30.120216636000002
l2767409,1686634.9163,12272454.14,-7319.1138000001665,-5123.616999998689,-84.96804934139999,30.118876149000002
l3217064,1685779.4135,12272646.05,-8174.616600000067,-4931.70699999854,-84.9706158498,30.119451879000003
l3200222,1685027.7647,12272594.068,-8926.26540000015,-4983.688999999315,-84.9728707962,30.119295933
l2917359,1684788.7467,12273513.161,-9165.283400000073,-4064.595999998972,-84.97358785019999,30.122053212
l2955074,1684121.8401,12273758.95,-9832.190000000177,-3818.80700000003,-84.97558857,30.122790579
l3030199,1683921.1115,12273546.171,-10032.918599999975,-4031.5859999991953,-84.97619075579999,30.122152242000002
l2730163,1683710.2699,12273327.121,-10243.760200000135,-4250.63599999994,-84.97682328059999,30.121495092
l2992624,1683476.0483,12273178.608,-10477.981800000183,-4399.149000000209,-84.97752594539999,30.121049553
m1125919,1683334.2981,12273089.389,-10619.732000000076,-4488.367999998853,-84.97795119599999,30.120781896
l2692654,1683215.6288,12273383.691,-10738.401300000027,-4194.065999999642,-84.97830720389999,30.121664801999998
m1125929,1683212.3847,12273390.764,-10741.645400000038,-4186.992999998853,-84.97831693619999,30.121686021000002
l2842379,1682835.4217,12273715.52,-11118.608400000026,-3862.236999999732,-84.9794478252,30.122660289
m1125917,1683219.5282,12273025.77,-10734.501900000032,-4551.986999999732,-84.97829550569999,30.120591039
m1125914,1682961.1893,12272876.422,-10992.840800000122,-4701.334999999031,-84.9790705224,30.120142995000002
l2917328,1682841.2093,12272808.649,-11112.820800000103,-4769.107999999076,-84.97943046239999,30.119939676
l2861218,1682656.6681,12272704.41,-11297.362000000197,-4873.346999999136,-84.97998408599999,30.119626959
d5958866-1_int,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
e183493,1682204.1298,12272442.749,-11749.900300000096,-5135.007999999449,-84.98134170089999,30.118841976
m1125902,1681953.4218,12272291.41,-12000.608300000196,-5286.346999999136,-84.98209382489999,30.118387959
l2955081,1681629.1906,12272081.019,-12324.839500000002,-5496.737999999896,-84.9830665185,30.117756785999998
m1108315,1681524.3781,12271788.589,-12429.652000000002,-5789.167999999598,-84.98338095599999,30.116879496
