2001-01-01 00:00:00 EST,455988+327419j
2001-01-01 01:00:00 EST,385875+294463j
2001-01-01 02:00:00 EST,388876+378870j
2001-01-01 03:00:00 EST,458534+366220j
2001-01-01 04:00:00 EST,446323+409751j
2001-01-01 05:00:00 EST,335521+335704j
2001-01-01 06:00:00 EST,392428+292893j
2001-01-01 07:00:00 EST,325139+347146j
2001-01-01 08:00:00 EST,381992+392845j
2001-01-01 09:00:00 EST,403023+287236j
2001-01-01 10:00:00 EST,357784+376469j
2001-01-01 11:00:00 EST,308295+394759j
2001-01-01 12:00:00 EST,428331+408968j
2001-01-01 13:00:00 EST,419921+302324j
2001-01-01 14:00:00 EST,432233+333428j
2001-01-01 15:00:00 EST,328667+411478j
2001-01-01 16:00:00 EST,408730+356876j
2001-01-01 17:00:00 EST,351435+281431j
2001-01-01 18:00:00 EST,364447+364997j
2001-01-01 18:00:00 EST,410914+334069j
2001-01-01 19:00:00 EST,343076+299971j
2001-01-01 20:00:00 EST,341083+336249j
2001-01-01 21:00:00 EST,350785+288297j
2001-01-01 22:00:00 EST,424997+347633j
2001-01-01 23:00:00 EST,369834+306911j
