Frequency,Year,Station Name,Total Lines,Valid Lines,Invalid Lines
subhourly,2018,AK_Bethel_87_WNW,39444,38676,768
subhourly,2018,AK_Cordova_14_ESE,105120,94308,10812
subhourly,2018,AK_Deadhorse_3_S,105120,96072,9048
subhourly,2018,AK_Denali_27_N,105120,103308,1812
subhourly,2018,AK_Fairbanks_11_NE,105120,105048,72
subhourly,2018,AK_Glennallen_64_N,105120,78908,26212
subhourly,2018,AK_Gustavus_2_NE,105120,105060,60
subhourly,2018,AK_Ivotuk_1_NNE,105120,102784,2336
subhourly,2018,AK_Kenai_29_ENE,105120,105084,36
subhourly,2018,AK_King_Salmon_42_SE,105120,105036,84
subhourly,2018,AK_Metlakatla_6_S,105120,105060,60
subhourly,2018,AK_Port_Alsworth_1_SW,105120,105060,60
subhourly,2018,AK_Red_Dog_Mine_3_SSW,105120,105084,36
subhourly,2018,AK_Ruby_44_ESE,105120,75192,29928
subhourly,2018,AK_Sand_Point_1_ENE,105120,105084,36
subhourly,2018,AK_Selawik_28_E,105120,105048,72
subhourly,2018,AK_Sitka_1_NE,105120,105060,60
subhourly,2018,AK_St._Paul_4_NE,105120,105060,60
subhourly,2018,AK_Tok_70_SE,105120,87792,17328
subhourly,2018,AK_Toolik_Lake_5_ENE,105120,105072,48
subhourly,2018,AK_Utqiagvik_formerly_Barrow_4_ENE,105120,105084,36
subhourly,2018,AK_Yakutat_3_SSE,105120,88740,16380
subhourly,2018,AL_Brewton_3_NNE,105120,0,105120
subhourly,2018,AL_Clanton_2_NE,105120,0,105120
subhourly,2018,AL_Courtland_2_WSW,105120,0,105120
subhourly,2018,AL_Cullman_3_ENE,105120,0,105120
subhourly,2018,AL_Fairhope_3_NE,105120,104892,228
subhourly,2018,AL_Gadsden_19_N,105120,94728,10392
subhourly,2018,AL_Gainesville_2_NE,105120,0,105120
subhourly,2018,AL_Greensboro_2_WNW,105120,0,105120
subhourly,2018,AL_Highland_Home_2_S,105120,0,105120
subhourly,2018,AL_Muscle_Shoals_2_N,105120,0,105120
subhourly,2018,AL_Northport_2_S,105120,0,105120
subhourly,2018,AL_Russellville_4_SSE,105120,0,105120
subhourly,2018,AL_Scottsboro_2_NE,105120,0,105120
subhourly,2018,AL_Selma_6_SSE,105120,0,105120
subhourly,2018,AL_Selma_13_WNW,105120,105048,72
subhourly,2018,AL_Talladega_10_NNE,105120,0,105120
subhourly,2018,AL_Thomasville_2_S,105120,0,105120
subhourly,2018,AL_Troy_2_W,105120,0,105120
subhourly,2018,AL_Valley_Head_1_SSW,105120,0,105120
subhourly,2018,AR_Batesville_8_WNW,105120,105012,108
subhourly,2018,AZ_Elgin_5_S,105120,105072,48
subhourly,2018,AZ_Tucson_11_W,105120,105084,36
subhourly,2018,AZ_Williams_35_NNW,105120,105084,36
subhourly,2018,AZ_Yuma_27_ENE,105120,105072,48
subhourly,2018,CA_Bodega_6_WSW,105120,104844,276
subhourly,2018,CA_Fallbrook_5_NE,105120,105084,36
subhourly,2018,CA_Merced_23_WSW,105120,105084,36
subhourly,2018,CA_Redding_12_WNW,105120,79512,25608
subhourly,2018,CA_Santa_Barbara_11_W,105120,105084,36
subhourly,2018,CA_Stovepipe_Wells_1_SW,105120,105084,36
subhourly,2018,CA_Yosemite_Village_12_W,105120,105059,61
subhourly,2018,CO_Boulder_14_W,105120,105048,72
subhourly,2018,CO_Cortez_8_SE,105120,105072,48
subhourly,2018,CO_Dinosaur_2_E,105120,105072,48
subhourly,2018,CO_La_Junta_17_WSW,105120,105072,48
subhourly,2018,CO_Montrose_11_ENE,105120,105084,36
subhourly,2018,CO_Nunn_7_NNE,105120,105072,48
subhourly,2018,FL_Everglades_City_5_NE,105120,105048,72
subhourly,2018,FL_Sebring_23_SSE,105120,105072,48
subhourly,2018,FL_Titusville_7_E,105120,104988,132
subhourly,2018,GA_Brunswick_23_S,105120,105072,48
subhourly,2018,GA_Newton_8_W,105120,104130,990
