temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global
1:1:0:0:0,33.1,2.22,0.28,0,0,0
1:1:1:0:0,32.7,3.18,0.31,0,0,0
1:1:2:0:0,31.5,2.53,0.34,0,0,0
1:1:3:0:0,29.1,1.26,0.38,0,0,0
1:1:4:0:0,29.1,1.2,0.35,0,0,0
1:1:5:0:0,29.5,1.59,0.35,0,0,0
1:1:6:0:0,26.6,0.96,0.37,0,0,0
1:1:7:0:0,26.2,2.18,0.39,0,0,0
1:1:8:0:0,25.0,2.26,0.4,0,0,0
1:1:9:0:0,24.3,3.02,0.39,0,0,0
1:1:10:0:0,24.3,2.4,0.39,0,0,0
1:1:11:0:0,25.2,2.3,0.38,0,0,0
1:1:12:0:0,23.4,1.92,0.41,0,0,0
1:1:13:0:0,23.4,2.9,0.43,0,0,0
1:1:14:0:0,24.6,1.91,0.43,0,0,0
1:1:15:0:0,25.2,1.28,0.45,2,1,2
1:1:16:0:0,27.3,2.22,0.43,11,4,14
1:1:17:0:0,29.7,2.88,0.39,21,7,28
1:1:18:0:0,36.0,2.37,0.36,28,9,37
1:1:19:0:0,37.0,1.18,0.34,20,7,27
1:1:20:0:0,37.4,0.99,0.34,10,3,13
1:1:21:0:0,36.0,0.89,0.33,5,2,7
1:1:22:0:0,38.5,0.87,0.33,10,3,13
1:1:23:0:0,36.7,1.01,0.32,5,2,6
1:2:0:0:0,32.7,0.69,0.35,0,0,0
1:2:1:0:0,30.2,1.12,0.41,0,0,0
1:2:2:0:0,30.4,0.43,0.43,0,0,0
1:2:3:0:0,28.6,0.95,0.45,0,0,0
1:2:4:0:0,28.0,0.89,0.46,0,0,0
1:2:5:0:0,27.0,1.33,0.46,0,0,0
1:2:6:0:0,25.5,1.95,0.47,0,0,0
1:2:7:0:0,27.0,1.69,0.46,0,0,0
1:2:8:0:0,31.8,2.04,0.26,0,0,0
1:2:9:0:0,30.9,3.11,0.27,0,0,0
1:2:10:0:0,30.2,2.69,0.32,0,0,0
1:2:11:0:0,29.7,3.46,0.37,0,0,0
1:2:12:0:0,24.1,3.06,0.48,0,0,0
1:2:13:0:0,17.8,2.25,0.53,0,0,0
1:2:14:0:0,17.8,1.75,0.59,0,0,0
1:2:15:0:0,22.8,2.07,0.55,7,2,9
