# file...... weather_triplex_meter_all.csv
# date...... Wed Jul 30 12:19:33 2014
# user...... gour967
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 900
# limit..... 0
# property.. timestamp,max(measured_voltage_1.mag),max(measured_voltage_2.mag),avg(measured_voltage_1.mag),avg(measured_voltage_2.mag),min(measured_voltage_1.mag),min(measured_voltage_2.mag),sum(measured_real_energy),sum(measured_reactive_energy)
2010-01-01 00:00:00 EST,+121.963,+121.963,+120.167,+120.559,+118.001,+118.457,+0,+0
2010-01-01 00:15:00 EST,+119.689,+119.689,+118.418,+118.809,+117.168,+117.624,+136183,+105381
2010-01-01 00:30:00 EST,+119.758,+119.758,+118.5,+118.876,+117.269,+117.706,+243386,+210257
2010-01-01 00:45:00 EST,+119.7,+119.7,+118.489,+118.864,+117.242,+117.679,+347329,+310831
2010-01-01 01:00:00 EST,+119.829,+119.829,+118.54,+118.91,+117.231,+117.661,+449584,+411430
2010-01-01 01:15:00 EST,+119.815,+119.815,+118.545,+118.915,+117.293,+117.724,+550813,+510643
2010-01-01 01:30:00 EST,+119.834,+119.834,+118.589,+118.95,+117.335,+117.755,+652123,+609855
2010-01-01 01:45:00 EST,+119.84,+119.84,+118.589,+118.95,+117.361,+117.781,+752221,+706604
2010-01-01 02:00:00 EST,+119.864,+119.864,+118.609,+118.967,+117.378,+117.794,+852503,+803436
2010-01-01 02:15:00 EST,+119.873,+119.873,+118.613,+118.971,+117.36,+117.776,+950927,+899475
2010-01-01 02:30:00 EST,+119.921,+119.921,+118.621,+118.975,+117.268,+117.679,+1.05023e+006,+995804
2010-01-01 02:45:00 EST,+119.851,+119.851,+118.605,+118.958,+117.392,+117.803,+1.14929e+006,+1.09116e+006
2010-01-01 03:00:00 EST,+119.825,+119.825,+118.594,+118.947,+117.31,+117.72,+1.25072e+006,+1.18671e+006
2010-01-01 03:15:00 EST,+119.926,+119.926,+118.637,+118.989,+117.376,+117.786,+1.35305e+006,+1.28232e+006
2010-01-01 03:30:00 EST,+119.85,+119.85,+118.608,+118.963,+117.392,+117.805,+1.45719e+006,+1.37848e+006
2010-01-01 03:45:00 EST,+119.704,+119.704,+118.508,+118.862,+117.282,+117.694,+1.55991e+006,+1.47495e+006
2010-01-01 04:00:00 EST,+119.86,+119.86,+118.537,+118.892,+117.212,+117.625,+1.66459e+006,+1.5718e+006
2010-01-01 04:15:00 EST,+119.865,+119.865,+118.578,+118.933,+117.398,+117.811,+1.77041e+006,+1.66916e+006
2010-01-01 04:30:00 EST,+119.51,+119.542,+118.421,+118.788,+117.42,+117.847,+1.88024e+006,+1.76739e+006
2010-01-01 04:45:00 EST,+119.757,+119.757,+118.416,+118.783,+117.004,+117.431,+1.99588e+006,+1.86929e+006
2010-01-01 05:00:00 EST,+119.34,+119.803,+117.992,+118.363,+116.126,+116.557,+2.11455e+006,+1.97191e+006
2010-01-01 05:15:00 EST,+119.131,+119.594,+117.979,+118.349,+116.326,+116.756,+2.3514e+006,+2.07549e+006
2010-01-01 05:30:00 EST,+118.978,+119.479,+118.038,+118.44,+116.194,+116.683,+2.52288e+006,+2.17994e+006
2010-01-01 05:45:00 EST,+119.536,+120.019,+117.679,+118.081,+115.573,+116.026,+2.81866e+006,+2.293e+006
2010-01-01 06:00:00 EST,+120.549,+120.923,+117.322,+117.734,+115.07,+115.538,+3.16685e+006,+2.40676e+006
2010-01-01 06:15:00 EST,+120.92,+121.142,+117.659,+118.071,+114.964,+115.419,+3.71314e+006,+2.52391e+006
2010-01-01 06:30:00 EST,+120.072,+120.365,+117.681,+118.138,+115.491,+116.011,+4.21815e+006,+2.64278e+006
2010-01-01 06:45:00 EST,+120.585,+120.585,+118.114,+118.571,+116.058,+116.578,+4.64083e+006,+2.77366e+006
