# file...... weather_regulator_power_data.csv,,,,
# date...... Wed Jul 30 12:19:33 2014,,,,
# user...... gour967,,,,
# host...... (null),,,,
# target.... regulator 121,,,,
# trigger... (none),,,,
# interval.. 900,,,,
# limit..... 0,,,,
# timestamp,power_out.real, power_out.imag, power_losses.real,power_factor
2010-01-01 00:00:00 EST,693439,-323648,0,0.906161539
2010-01-01 00:15:00 EST,433845,430769,7.28E-11,0.709617934
2010-01-01 00:30:00 EST,420666,412941,8.73E-11,0.713628868
2010-01-01 00:45:00 EST,424769,414115,7.28E-11,0.71602944
2010-01-01 01:00:00 EST,410239,406840,8.73E-11,0.71004216
2010-01-01 01:15:00 EST,405910,406772,5.82E-11,0.706356366
2010-01-01 01:30:00 EST,400258,396618,8.73E-11,0.710329319
2010-01-01 01:45:00 EST,400226,396609,1.02E-10,0.710309168
2010-01-01 02:00:00 EST,396903,393161,7.28E-11,0.7104479
2010-01-01 02:15:00 EST,392440,393096,4.37E-11,0.706516031
2010-01-01 02:30:00 EST,397211,390117,4.37E-11,0.71344901
2010-01-01 02:45:00 EST,405372,392325,7.28E-11,0.718575995
2010-01-01 03:00:00 EST,412775,391104,8.73E-11,0.725905269
2010-01-01 03:15:00 EST,391170,387447,2.91E-11,0.710479729
2010-01-01 03:30:00 EST,399052,392340,5.82E-11,0.71307829
2010-01-01 03:45:00 EST,446913,404271,2.91E-11,0.741600877
2010-01-01 04:00:00 EST,437815,401229,8.73E-11,0.7372392
2010-01-01 04:15:00 EST,416176,396444,5.82E-11,0.724063287
2010-01-01 04:30:00 EST,465479,419631,5.82E-11,0.74273858
2010-01-01 04:45:00 EST,475366,420932,8.73E-11,0.748671392
2010-01-01 05:00:00 EST,743721,436733,1.16E-10,0.862313972
2010-01-01 05:15:00 EST,911609,456250,8.73E-11,0.894252316
2010-01-01 05:30:00 EST,758814,489400,2.91E-11,0.840376059
2010-01-01 05:45:00 EST,1.44E+06,536321,2.33E-10,0.936879462
2010-01-01 06:00:00 EST,2.24E+06,632384,4.66E-10,0.962493648
2010-01-01 06:15:00 EST,2.18E+06,624248,3.49E-10,0.961337354
2010-01-01 06:30:00 EST,1.96E+06,661452,1.75E-10,0.947506228
