temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global
1:1:0:0:0,4.4,0.0,93.0,0.0,0.0,0.0
1:1:1:0:0,4.8,0.0,92.0,0.0,0.0,0.0
1:1:2:0:0,4.7,0.0,93.0,0.0,0.0,0.0
1:1:3:0:0,4.7,0.0,94.0,0.0,0.0,0.0
1:1:4:0:0,4.7,0.0,94.0,0.0,0.0,0.0
1:1:5:0:0,4.6,0.0,95.0,0.0,0.0,0.0
1:1:6:0:0,4.5,0.0,97.0,0.0,0.0,0.0
1:1:7:0:0,4.4,0.0,98.0,0.0,0.0,0.0
1:1:8:0:0,4.3,0.0,98.0,0.0,0.0,0.0
1:1:9:0:0,4.2,0.0,99.0,0.0,0.0,0.0
1:1:10:0:0,4.2,0.0,99.0,0.0,0.0,0.0
1:1:11:0:0,3.4,0.0,99.0,0.0,0.0,0.0
1:1:12:0:0,3.5,0.0,99.0,0.0,0.0,0.0
1:1:13:0:0,4.7,0.0,97.0,17.25,5.75,23.0
1:1:14:0:0,5.5,0.0,93.0,54.0,18.0,72.0
1:1:15:0:0,5.7,0.0,92.0,73.5,24.5,98.0
1:1:16:0:0,6.2,0.0,92.0,76.5,25.5,102.0
1:1:17:0:0,6.8,0.0,90.0,99.75,33.25,133.0
1:1:18:0:0,7.2,0.0,89.0,92.25,30.75,123.0
1:1:19:0:0,7.4,0.0,88.0,63.0,21.0,84.0
1:1:20:0:0,7.4,0.0,89.0,28.5,9.5,38.0
1:1:21:0:0,7.6,0.0,90.0,16.5,5.5,22.0
1:1:22:0:0,7.5,0.0,90.0,0.0,0.0,0.0
1:1:23:0:0,7.5,0.0,90.0,0.0,0.0,0.0
1:2:0:0:0,7.3,0.0,92.0,0.0,0.0,0.0
1:2:1:0:0,7.3,0.0,95.0,0.0,0.0,0.0
1:2:2:0:0,7.4,0.0,96.0,0.0,0.0,0.0
1:2:3:0:0,7.4,0.0,96.0,0.0,0.0,0.0
1:2:4:0:0,7.6,0.0,97.0,0.0,0.0,0.0
1:2:5:0:0,7.9,0.0,97.0,0.0,0.0,0.0
1:2:6:0:0,8.3,0.0,97.0,0.0,0.0,0.0
1:2:7:0:0,8.8,0.0,98.0,0.0,0.0,0.0
1:2:8:0:0,9.0,0.0,98.0,0.0,0.0,0.0
1:2:9:0:0,8.8,0.0,98.0,0.0,0.0,0.0
1:2:10:0:0,8.8,0.0,98.0,0.0,0.0,0.0
1:2:11:0:0,9.3,0.0,98.0,0.0,0.0,0.0
1:2:12:0:0,9.4,0.0,98.0,0.0,0.0,0.0
1:2:13:0:0,10.1,0.0,98.0,9.0,3.0,12.0
1:2:14:0:0,11.3,0.0,99.0,28.5,9.5,38.0
1:2:15:0:0,12.6,0.0,98.0,65.25,21.75,87.0
1:2:16:0:0,13.7,0.0,98.0,120.75,40.25,161.0
1:2:17:0:0,14.6,0.0,95.0,108.0,36.0,144.0
1:2:18:0:0,15.0,0.0,92.0,99.0,33.0,132.0
1:2:19:0:0,15.4,0.0,90.0,73.5,24.5,98.0
1:2:20:0:0,14.8,0.0,91.0,21.75,7.25,29.0
1:2:21:0:0,14.5,0.0,95.0,30.75,10.25,41.0
1:2:22:0:0,14.0,0.0,96.0,0.0,0.0,0.0
1:2:23:0:0,13.1,0.0,96.0,0.0,0.0,0.0
1:3:0:0:0,13.9,0.0,94.0,0.0,0.0,0.0
1:3:1:0:0,13.7,0.0,92.0,0.0,0.0,0.0
1:3:2:0:0,14.7,0.0,92.0,0.0,0.0,0.0
1:3:3:0:0,15.0,0.0,88.0,0.0,0.0,0.0
1:3:4:0:0,14.5,0.0,87.0,0.0,0.0,0.0
1:3:5:0:0,13.9,0.0,91.0,0.0,0.0,0.0
1:3:6:0:0,14.0,0.0,94.0,0.0,0.0,0.0
1:3:7:0:0,13.7,0.0,94.0,0.0,0.0,0.0
1:3:8:0:0,13.5,0.0,95.0,0.0,0.0,0.0
1:3:9:0:0,13.4,0.0,95.0,0.0,0.0,0.0
1:3:10:0:0,13.3,0.0,95.0,0.0,0.0,0.0
1:3:11:0:0,12.9,0.0,96.0,0.0,0.0,0.0
1:3:12:0:0,12.9,0.0,97.0,0.0,0.0,0.0
1:3:13:0:0,13.4,0.0,97.0,7.5,2.5,10.0
1:3:14:0:0,13.8,0.0,97.0,30.75,10.25,41.0
1:3:15:0:0,13.8,0.0,96.0,33.0,11.0,44.0
1:3:16:0:0,13.8,0.0,96.0,33.75,11.25,45.0
1:3:17:0:0,14.0,0.0,96.0,42.75,14.25,57.0
1:3:18:0:0,13.9,0.0,95.0,27.0,9.0,36.0
1:3:19:0:0,14.1,0.0,95.0,36.0,12.0,48.0
1:3:20:0:0,14.5,0.0,93.0,35.25,11.75,47.0
1:3:21:0:0,14.2,0.0,90.0,16.5,5.5,22.0
1:3:22:0:0,13.7,0.0,90.0,0.75,0.25,1.0
1:3:23:0:0,12.6,0.0,90.0,0.0,0.0,0.0
1:4:0:0:0,10.4,0.0,90.0,0.0,0.0,0.0
1:4:1:0:0,9.6,0.0,90.0,0.0,0.0,0.0
1:4:2:0:0,7.5,0.0,89.0,0.0,0.0,0.0
1:4:3:0:0,6.0,0.0,91.0,0.0,0.0,0.0
1:4:4:0:0,5.3,0.0,90.0,0.0,0.0,0.0
1:4:5:0:0,4.2,0.0,91.0,0.0,0.0,0.0
1:4:6:0:0,3.6,0.0,89.0,0.0,0.0,0.0
1:4:7:0:0,3.3,0.0,90.0,0.0,0.0,0.0
1:4:8:0:0,2.7,0.0,89.0,0.0,0.0,0.0
1:4:9:0:0,1.8,0.0,88.0,0.0,0.0,0.0
1:4:10:0:0,-0.7,0.0,87.0,0.0,0.0,0.0
1:4:11:0:0,-1.9,0.0,78.0,0.0,0.0,0.0
1:4:12:0:0,-2.5,0.0,78.0,0.0,0.0,0.0
1:4:13:0:0,-2.6,0.0,75.0,53.25,17.75,71.0
1:4:14:0:0,-2.6,0.0,72.0,168.0,56.0,224.0
1:4:15:0:0,-1.9,0.0,67.0,273.0,91.0,364.0
1:4:16:0:0,-1.4,0.0,61.0,343.5,114.5,458.0
1:4:17:0:0,-0.9,0.0,56.0,372.75,124.25,497.0
1:4:18:0:0,-0.5,0.0,52.0,357.75,119.25,477.0
1:4:19:0:0,-0.5,0.0,48.0,302.25,100.75,403.0
1:4:20:0:0,-0.5,0.0,46.0,210.0,70.0,280.0
1:4:21:0:0,-1.4,0.0,46.0,99.75,33.25,133.0
1:4:22:0:0,-3.3,0.0,48.0,12.0,4.0,16.0
1:4:23:0:0,-3.9,0.0,56.0,0.0,0.0,0.0
1:5:0:0:0,-4.2,0.0,60.0,0.0,0.0,0.0
