# file...... Regulator_Reg1.csv
# date...... Mon Jun  6 13:06:03 2016
# user...... samsung
# host...... (null)
# target.... regulator 54
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag,phases
2014-07-30 00:00:00 PDT,-1,0,-1,+231379,-141842,+220740,-146863,+145021,-147723,+597141,-436428,ABC
2014-07-30 01:00:00 PDT,-2,0,-2,+418137,-50903.8,+423557,-59059.3,+300233,-82895.6,+1.14193e+06,-192859,ABC
2014-07-30 02:00:00 PDT,-3,0,-3,+362474,-65004,+335179,-86729.2,+234090,-104904,+931744,-256637,ABC
2014-07-30 03:00:00 PDT,-4,0,-4,+114070,-141885,+106290,-150955,+89580.7,-142412,+309941,-435251,ABC
2014-07-30 04:00:00 PDT,-5,0,-5,+109083,-140326,+119608,-150576,+93761.8,-141355,+322453,-432257,ABC
2014-07-30 05:00:00 PDT,-6,0,-6,+119685,-138071,+128686,-149867,+91962.4,-139672,+340333,-427610,ABC
2014-07-30 06:00:00 PDT,-7,0,-7,+164834,-126747,+149931,-146267,+104240,-133236,+419005,-406250,ABC
2014-07-30 07:00:00 PDT,-8,0,-8,+390617,-52400.1,+437887,-57138.1,+272403,-83027.5,+1.10091e+06,-192566,ABC
2014-07-30 08:00:00 PDT,-9,0,-9,+409287,-49135.3,+431667,-61600.6,+325394,-64868.9,+1.16635e+06,-175605,ABC
2014-07-30 09:00:00 PDT,-9,0,-10,+293578,-88033.3,+284965,-106675,+178091,-110924,+756634,-305632,ABC
2014-07-30 10:00:00 PDT,-10,0,-11,+704662,+68572.1,+692354,+30425.7,+549323,+13419.8,+1.94634e+06,+112418,ABC
2014-07-30 11:00:00 PDT,-9,0,-12,+434799,-33780.3,+387105,-72284.3,+242308,-88118.7,+1.06421e+06,-194183,ABC
2014-07-30 12:00:00 PDT,-9,0,-13,+903025,+145523,+902197,+111401,+680047,+66095.1,+2.48527e+06,+323019,ABC
2014-07-30 13:00:00 PDT,-8,0,-14,+545511,+1725.67,+500557,-40797,+267625,-77954.4,+1.31369e+06,-117026,ABC
2014-07-30 14:00:00 PDT,-8,0,-15,+871618,+133823,+899729,+109674,+711867,+89721.9,+2.48321e+06,+333219,ABC
2014-07-30 15:00:00 PDT,-7,0,-16,+729489,+70731.8,+651857,+14784.7,+479785,-5239.73,+1.86113e+06,+80276.8,ABC
2014-07-30 16:00:00 PDT,-7,0,-16,+1.1242e+06,+241997,+1.06524e+06,+192547,+683327,+67552.9,+2.87277e+06,+502096,ABC
2014-07-30 17:00:00 PDT,-6,0,-16,+972577,+170697,+891934,+101222,+675874,+68242.5,+2.54038e+06,+340162,ABC
2014-07-30 18:00:00 PDT,-5,0,-16,+828349,+99682.4,+772533,+55039.6,+546924,+17410.2,+2.1478e+06,+172132,ABC
2014-07-30 19:00:00 PDT,-5,0,-16,+683653,+36526.7,+717262,+36415.4,+510868,+5385.49,+1.91178e+06,+78327.6,ABC
2014-07-30 20:00:00 PDT,-6,0,-16,+730945,+58838,+666725,+9969.08,+454762,-18150,+1.85243e+06,+50657.1,ABC
2014-07-30 21:00:00 PDT,-6,0,-16,+596822,-512.869,+589153,-18446.2,+429977,-26658.5,+1.61595e+06,-45617.6,ABC
2014-07-30 22:00:00 PDT,-7,0,-16,+545012,-15159.7,+517876,-49444.4,+335094,-61963.5,+1.39798e+06,-126568,ABC
2014-07-30 23:00:00 PDT,-7,0,-16,+439230,-46737.5,+450792,-59279.3,+315434,-59210.6,+1.20546e+06,-165227,ABC
