Reliability report for C:\Users\dwp0\Dropbox\OMF\omf\scratch\reliability\original\Exercise_4_2_1.glm
Number of customers = 26

1366 metrics based around 1-hour base (outage-hours)

Events for year starting at 2000-01-01 03:00:00
Annual Event #,Metric Interval Event #,Starting DateTime (YYYY-MM-DD hh:mm:ss),Ending DateTime (YYYY-MM-DD hh:mm:ss),Object type,Object Name,Inducing Object,"Protective" Device,Desired Fault type,Implemented Fault Type,Number customers affected,Secondary number of customers affected
1,1,2000-01-01 03:29:13,2000-01-01 03:36:14,underground_line,node744-728,RandEventGen,fuse_node703-703b,DLG-X,DLG-BC,4,0
2,2,2000-01-01 05:05:00,2000-01-01 05:10:00,underground_line,node711-741,ManualEventGen,sectionalizer_838_838b,SLG-A,SLG-A,3,8
3,3,2000-01-01 05:21:00,2000-01-01 05:24:10,underground_line,node733-734,ManualEventGen,sectionalizer_node708-708b,SLG-A,SLG-A,9,2
4,4,2000-01-01 05:23:23,2000-01-01 05:30:25,underground_line,node744-729,RandEventGen,fuse_node703-703b,DLG-X,DLG-AB,4,0
5,5,2000-01-01 05:30:26,2000-01-01 05:37:29,underground_line,node744-729,RandEventGen,fuse_node703-703b,DLG-X,DLG-BC,4,0
6,6,2000-01-01 06:05:05,2000-01-01 06:12:06,underground_line,node744-729,RandEventGen,fuse_node703-703b,DLG-X,DLG-CA,4,0
7,7,2000-01-01 06:40:50,2000-01-01 06:40:51,underground_line,node738-711,RandEventGen,sectionalizer_838_838b,DLG-X,DLG-CA,3,8
8,8,2000-01-01 06:50:36,2000-01-01 06:50:37,underground_line,node781-701,RandEventGen,reg799-781,DLG-X,DLG-AB,26,0
9,9,2000-01-01 06:52:26,2000-01-01 06:52:47,underground_line,node738-711,RandEventGen,sectionalizer_838_838b,DLG-X,DLG-AB,3,8
10,10,2000-01-01 07:18:31,2000-01-01 07:18:32,underground_line,node708-733,RandEventGen,sectionalizer_node708-708b,DLG-X,DLG-AB,9,2
11,11,2000-01-01 07:19:28,2000-01-01 07:26:33,underground_line,node744-729,RandEventGen,fuse_node703-703b,DLG-X,DLG-AB,4,0
12,12,2000-01-01 07:51:49,2000-01-01 07:58:50,underground_line,node744-728,RandEventGen,fuse_node703-703b,DLG-X,DLG-BC,4,0

SAIFI = 0.923077, SAIDI = 0.108248, CAIDI = 0.117269, ASAI = 0.999988, MAIFI = 3.000000
Interval values: SAIFI = 0.923077, SAIDI = 0.108248, CAIDI = 0.117269, ASAI = 0.999988, MAIFI = 3.000000

New Metric Interval started at 2000-01-01 08:00:00

