# currDump.csv run at 2012-01-01 12:00:00 EST on 5938 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
OH3129228853001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FS3129228853001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
UD3129228852001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OC3129228843004,52.719463,-83.972241,-77.582534,7.472833,48.266488,85.799568
OH3129228770001,52.719463,-83.972241,-77.582534,7.472833,48.266488,85.799568
OH3129228790002,52.719463,-83.972241,-77.582534,7.472833,48.266488,85.799568
OH3129228790003,52.719463,-83.972241,-77.582534,7.472833,48.266488,85.799568
OH3129228786001,52.719463,-83.972241,-77.582534,7.472833,48.266488,85.799568
OH3129228782001,52.719463,-83.972241,-77.582534,7.472833,48.266488,85.799568
OH3129228688001,52.719463,-83.972241,-77.582534,7.472833,48.266488,85.799568
OH3129228692001,52.719463,-83.972241,-77.582534,7.472833,48.266488,85.799568
FS3129228692001,0.000000,0.000000,0.000000,0.000000,0.456546,-0.190123
UD3129229673001,0.000000,0.000000,0.000000,0.000000,0.456546,-0.190123
UD3129320644001,0.000000,0.000000,0.000000,0.000000,0.456546,-0.190123
OH3129228598001,52.719463,-83.972241,-77.582534,7.472833,47.809942,85.989691
OH3129228594001,52.719463,-83.972241,-77.582534,7.472833,47.809942,85.989691
OH3129228400001,52.719463,-83.972241,-77.582534,7.472833,47.809942,85.989691
OH3129229407001,52.719463,-83.972241,-77.582534,7.472833,47.809942,85.989691
OH3129229416001,52.719463,-83.972241,-77.582534,7.472833,47.809942,85.989691
OH3129229466001,52.719463,-83.972241,-77.858024,6.690532,47.809942,85.989691
SW3129229466001,52.719463,-83.972241,-77.858024,6.690532,47.809942,85.989691
SW3129229466002,52.719463,-83.972241,-77.858024,6.690532,47.809942,85.989691
OH3129320416001,52.719463,-83.972241,-77.858024,6.690532,47.809942,85.989691
OH3129320466001,52.719463,-83.972241,-77.858024,6.690532,47.809942,85.989691
OH3129321406001,52.719463,-83.972241,-77.858024,6.690532,47.809942,85.989691
OH3129321446001,52.719463,-83.972241,-77.858024,6.690532,47.809942,85.989691
OH3129321486001,52.719463,-83.972241,-77.858024,6.690532,47.809942,85.989691
OH3129322436001,52.719463,-83.972241,-77.858024,6.690532,47.809942,85.989691
OH3129322486001,52.719463,-83.972241,-77.858024,6.690532,47.809942,85.989691
FS3129322486002,0.000000,0.000000,0.000000,0.000000,0.526952,1.592486
OH3129323427002,0.000000,0.000000,0.000000,0.000000,0.141133,1.414397
OH3129323487001,0.000000,0.000000,0.000000,0.000000,0.141133,1.414397
OH3129323486001,0.000000,0.000000,0.000000,0.000000,0.123088,0.439165
OH3129324446001,0.000000,0.000000,0.000000,0.000000,0.123088,0.439165
OH3129324456001,0.000000,0.000000,0.000000,0.000000,0.123088,0.439165
OH3129324469001,0.000000,0.000000,0.000000,0.000000,0.123088,0.439165
OH3129322489001,0.000000,0.000000,0.000000,0.000000,0.385820,0.178089
OH3129322419001,0.000000,0.000000,0.000000,0.000000,0.081354,0.656875
OH3129322492001,52.719463,-83.972241,-77.858024,6.690532,47.282989,84.397205
OH3129322300001,53.117499,-83.894374,-77.858024,6.690532,47.282989,84.397205
OH3129322378001,0.000000,0.000000,-12.604613,6.406203,0.000000,0.000000
OC3129322378001,0.000000,0.000000,-12.604613,6.406203,0.000000,0.000000
OH3129322358001,0.000000,0.000000,-12.604613,6.406203,0.000000,0.000000
OH3129322348001,0.000000,0.000000,-11.800371,6.563811,0.000000,0.000000
OH3129322308001,0.000000,0.000000,-11.800371,6.563811,0.000000,0.000000
OH3129321348001,0.000000,0.000000,-11.234485,5.430423,0.000000,0.000000
OH3129321349002,0.000000,0.000000,-0.074357,0.753650,0.000000,0.000000
OH3129321441002,0.000000,0.000000,-0.074357,0.753650,0.000000,0.000000
OH3129321444001,0.000000,0.000000,0.012540,0.557161,0.000000,0.000000
OH3129320388001,0.000000,0.000000,-11.073232,4.480282,0.000000,0.000000
OH3129320388002,0.000000,0.000000,0.022534,0.565187,0.000000,0.000000
OH3129320482001,0.000000,0.000000,0.022534,0.565187,0.000000,0.000000
OH3129320328001,0.000000,0.000000,-11.095766,3.915095,0.000000,0.000000
OH3129320422001,0.000000,0.000000,-0.416439,0.182345,0.000000,0.000000
OH3129229368001,0.000000,0.000000,-10.809245,3.349745,0.000000,0.000000
OH3129228398001,0.000000,0.000000,-10.809245,3.349745,0.000000,0.000000
OH3129228368001,0.000000,0.000000,-10.809245,3.349745,0.000000,0.000000
OH3129227398002,0.000000,0.000000,-10.987575,2.923416,0.000000,0.000000
OH3129227319001,0.000000,0.000000,-10.987575,2.923416,0.000000,0.000000
UD3129226482001,0.000000,0.000000,-0.349602,-0.036185,0.000000,0.000000
OH3129226319001,0.000000,0.000000,-10.556533,2.757119,0.000000,0.000000
OH3129225379001,0.000000,0.000000,-10.660054,2.395737,0.000000,0.000000
OH3129225496001,0.000000,0.000000,0.194369,0.444447,0.000000,0.000000
OH3129225370001,0.000000,0.000000,-10.854422,1.951290,0.000000,0.000000
OH3129225310001,0.000000,0.000000,-10.854422,1.951290,0.000000,0.000000
OH3129223491001,0.000000,0.000000,-10.854422,1.951290,0.000000,0.000000
OH3129224347001,0.000000,0.000000,0.182677,0.434503,0.000000,0.000000
OH3129224371001,0.000000,0.000000,0.182677,0.434503,0.000000,0.000000
OH3129225206001,0.000000,0.000000,0.182677,0.434503,0.000000,0.000000
OH3129225234001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FS3129225244001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
UD3129225177001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129223338001,0.000000,0.000000,-11.037099,1.516787,0.000000,0.000000
OH3129222365001,0.000000,0.000000,-11.037099,1.516787,0.000000,0.000000
OH3129221393001,0.000000,0.000000,-11.037099,1.516787,0.000000,0.000000
OH3129221240001,0.000000,0.000000,-11.037099,1.516787,0.000000,0.000000
OH3129220278001,0.000000,0.000000,-11.037099,1.516787,0.000000,0.000000
OH3129220226001,0.000000,0.000000,-8.836220,0.430235,0.000000,0.000000
FS3129220226003,0.000000,0.000000,-1.562689,-0.014158,0.000000,0.000000
OH3129220272001,0.000000,0.000000,-1.562689,-0.014158,0.000000,0.000000
OH3129221110001,0.000000,0.000000,-1.004065,0.206520,0.000000,0.000000
OH3129221109001,0.000000,0.000000,-1.004065,0.206520,0.000000,0.000000
OH3129221103001,0.000000,0.000000,-0.649685,0.247586,0.000000,0.000000
OH3129212008001,0.000000,0.000000,-0.649685,0.247586,0.000000,0.000000
OH3129212004001,0.000000,0.000000,-0.649685,0.247586,0.000000,0.000000
OH3129212013001,0.000000,0.000000,-0.649685,0.247586,0.000000,0.000000
OH3129212051001,0.000000,0.000000,-0.649685,0.247586,0.000000,0.000000
FS3129220226004,0.000000,0.000000,-6.452625,-0.202982,0.000000,0.000000
OH3129220128001,0.000000,0.000000,-6.452625,-0.202982,0.000000,0.000000
OH3129220123002,0.000000,0.000000,-5.391986,-0.641724,0.000000,0.000000
OH3129211028001,0.000000,0.000000,-3.755808,-0.024272,0.000000,0.000000
OH3129211022001,0.000000,0.000000,-2.630675,-0.125893,0.000000,0.000000
OH3129210927001,0.000000,0.000000,-2.043536,-0.154764,0.000000,0.000000
OH3129210914001,0.000000,0.000000,-0.614074,0.008076,0.000000,0.000000
OH3129210917001,0.000000,0.000000,-1.279405,-0.301549,0.000000,0.000000
OH3129119967001,0.000000,0.000000,-0.433718,0.167662,0.000000,0.000000
OH3129210967001,0.000000,0.000000,-0.150057,0.138709,0.000000,0.000000
OH3129211018001,0.000000,0.000000,-0.708164,-0.347951,0.000000,0.000000
OH3129110069001,0.000000,0.000000,-0.708164,-0.347951,0.000000,0.000000
OH3129110057001,0.000000,0.000000,-0.708164,-0.347951,0.000000,0.000000
OH3129110027001,0.000000,0.000000,-0.708164,-0.347951,0.000000,0.000000
OH3129211066001,0.000000,0.000000,-0.416969,0.449572,0.000000,0.000000
OH3129220118001,0.000000,0.000000,-1.060639,0.438742,0.000000,0.000000
OH3129129168001,0.000000,0.000000,-0.959212,0.253059,0.000000,0.000000
OH3129129263001,0.000000,0.000000,-0.878106,-0.223959,0.000000,0.000000
OH3129129266001,0.000000,0.000000,-0.307085,0.003958,0.000000,0.000000
OH3129129266002,0.000000,0.000000,-0.307085,0.003958,0.000000,0.000000
OH3129129226001,0.000000,0.000000,-0.307085,0.003958,0.000000,0.000000
OH3129129361001,0.000000,0.000000,-0.758342,0.427727,0.000000,0.000000
OH3129129345001,0.000000,0.000000,0.040535,0.584285,0.000000,0.000000
OH3129129318001,0.000000,0.000000,0.204441,0.454190,0.000000,0.000000
FS3129220278002,0.000000,0.000000,-0.133975,0.704086,0.000000,0.000000
OH3129220331001,0.000000,0.000000,-0.133975,0.704086,0.000000,0.000000
OH3129220322001,0.000000,0.000000,-0.019923,0.530402,0.000000,0.000000
FS3129220278001,0.000000,0.000000,-2.066904,0.382466,0.000000,0.000000
OH3129221243001,0.000000,0.000000,-2.066904,0.382466,0.000000,0.000000
OH3129222118001,0.000000,0.000000,-0.945443,1.094660,0.000000,0.000000
OH3129222155001,0.000000,0.000000,-0.358942,1.336166,0.000000,0.000000
OH3129222192001,0.000000,0.000000,-0.603064,0.847278,0.000000,0.000000
OH3129214049001,0.000000,0.000000,-0.603064,0.847278,0.000000,0.000000
OH3129214076001,0.000000,0.000000,-0.603064,0.847278,0.000000,0.000000
OH3129215042001,0.000000,0.000000,-0.716794,0.198989,0.000000,0.000000
OH3129214998001,0.000000,0.000000,-0.516977,0.094599,0.000000,0.000000
OH3129214965001,0.000000,0.000000,-0.516977,0.094599,0.000000,0.000000
OH3129214922001,0.000000,0.000000,-0.516977,0.094599,0.000000,0.000000
OH3129213800001,0.000000,0.000000,0.107965,0.369763,0.000000,0.000000
OH3129213846001,0.000000,0.000000,0.107965,0.369763,0.000000,0.000000
OH3129213843001,0.000000,0.000000,0.107965,0.369763,0.000000,0.000000
OH3129213737001,0.000000,0.000000,0.107965,0.369763,0.000000,0.000000
OH3129213734002,0.000000,0.000000,0.107965,0.369763,0.000000,0.000000
OH3129213744001,0.000000,0.000000,0.107965,0.369763,0.000000,0.000000
OH3129213741002,0.000000,0.000000,0.107965,0.369763,0.000000,0.000000
OH3129213690001,0.000000,0.000000,0.107965,0.369763,0.000000,0.000000
OH3129214640001,0.000000,0.000000,0.107965,0.369763,0.000000,0.000000
OH3129322309001,0.000000,0.000000,-0.453057,0.959587,0.000000,0.000000
OH3129322402001,0.000000,0.000000,-0.324695,0.257677,0.000000,0.000000
FS3129322300001,0.000000,0.000000,0.000000,0.000000,0.959146,1.507398
OH3129323310001,0.000000,0.000000,0.000000,0.000000,0.959146,1.507398
OH3129323370001,0.000000,0.000000,0.000000,0.000000,0.959146,1.507398
OH3129324360001,0.000000,0.000000,0.000000,0.000000,0.808632,0.147221
OH3129324390001,0.000000,0.000000,0.000000,0.000000,0.649707,-0.111690
OH3129324390002,0.000000,0.000000,0.000000,0.000000,0.649707,-0.111690
OH3129325411002,0.000000,0.000000,0.000000,0.000000,0.649707,-0.111690
OH3129325319001,0.000000,0.000000,0.000000,0.000000,0.199845,0.052231
OH3129325349001,0.000000,0.000000,0.000000,0.000000,0.199845,0.052231
OH3129322396001,53.117499,-83.894374,-65.253411,0.284330,46.323844,82.889807
OH3129322392001,53.117499,-83.894374,-65.253411,0.284330,46.323844,82.889807
FS3129322392002,0.000000,0.000000,0.000000,0.000000,0.654913,0.931509
OH3129322392002,0.000000,0.000000,0.000000,0.000000,0.388726,0.161928
OH3129323363001,0.000000,0.000000,0.000000,0.000000,0.388726,0.161928
OH3129324334001,0.000000,0.000000,0.000000,0.000000,0.195460,0.075337
OH3129323200001,0.000000,0.000000,0.000000,0.000000,0.193266,0.086591
OH3129322371001,0.000000,0.000000,0.000000,0.000000,0.266187,0.769581
OH3129322298001,53.117499,-83.894374,-65.253411,0.284330,45.668930,81.958298
OH3129322295001,53.117499,-83.894374,-65.253411,0.284330,45.668930,81.958298
FS3129322295001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129323285001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129322276001,53.117499,-83.894374,-65.253411,0.284330,45.668930,81.958298
FS3129322276001,-1.163340,-0.908663,0.000000,0.000000,0.000000,0.000000
OH3129322206001,-1.163340,-0.908663,0.000000,0.000000,0.000000,0.000000
OH3129321236001,-0.566016,-0.677526,0.000000,0.000000,0.000000,0.000000
OH3129320266001,-0.212998,-0.581078,0.000000,0.000000,0.000000,0.000000
OH3129322272001,54.280839,-82.985711,-65.253411,0.284330,45.668930,81.958298
OH3129322177001,54.280839,-82.985711,-65.253411,0.284330,45.668930,81.958298
OH3129322172001,54.280839,-82.985711,-65.253411,0.284330,45.668930,81.958298
FS3129322172001,0.000000,0.000000,-3.335303,-2.653680,0.000000,0.000000
OH3129322132001,0.000000,0.000000,-3.335303,-2.653680,0.000000,0.000000
OH3129322112001,0.000000,0.000000,-3.335303,-2.653680,0.000000,0.000000
OH3129321192001,0.000000,0.000000,-3.335303,-2.653680,0.000000,0.000000
SW3129321192001-A,0.000000,0.000000,-3.335303,-2.653680,0.000000,0.000000
SW3129321192001-B,0.000000,0.000000,-3.335303,-2.653680,0.000000,0.000000
UD3129321153001,0.000000,0.000000,-3.335303,-2.653680,0.000000,0.000000
OH3129313079001,54.356489,-82.793818,-61.918108,2.938010,45.071839,81.776897
OH3129313066002,54.356489,-82.793818,-61.918108,2.938010,45.071839,81.776897
OH3129313042002,54.356489,-82.793818,-61.918108,2.938010,45.071839,81.776897
OH3129312928001,54.356489,-82.793818,-61.918108,2.938010,45.071839,81.776897
OH3129312927001,0.000850,-0.218670,0.000000,0.000000,0.000000,0.000000
FS3129312927001,0.000850,-0.218670,0.000000,0.000000,0.000000,0.000000
OH3129311926001,0.000850,-0.218670,0.000000,0.000000,0.000000,0.000000
OH3129310955001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129312913001,54.355639,-82.575147,-61.918108,2.938010,45.071839,81.776897
OH3129312819001,54.355639,-82.575147,-61.918108,2.938010,45.071839,81.776897
FS3129312819002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129311836001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129312924001,0.335793,-0.551794,0.000000,0.000000,0.000000,0.000000
FS3129312819003,7.729219,-8.472536,-7.927568,0.324475,1.015324,0.950074
OH3129312850001,7.729219,-8.472536,-7.927568,0.324475,1.015324,0.950074
OH3129312890001,7.461348,-8.446312,-7.772446,0.543137,1.127506,0.704819
OH3129313830002,7.461348,-8.446312,-7.772446,0.543137,1.127506,0.704819
OH3129313830005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129313880001,7.461348,-8.446312,-7.772446,0.543137,1.127506,0.704819
OH3129313879001,7.461348,-8.446312,-7.772446,0.543137,0.945760,0.568842
OH3129313878001,7.461348,-8.446312,-7.772446,0.543137,0.945760,0.568842
OH3129314808001,7.461348,-8.446312,-7.772446,0.543137,0.737933,0.548053
SW3129314808001,0.000000,0.000000,-2.923227,0.165708,0.000000,0.000000
SW3129314808002,0.000000,0.000000,-2.923227,0.165708,0.000000,0.000000
OH3129314804001,0.000000,0.000000,-2.923227,0.165708,0.000000,0.000000
OH3129314802001,0.000000,0.000000,-2.339414,0.131703,0.000000,0.000000
OH3129314709001,0.000000,0.000000,-2.339414,0.131703,0.000000,0.000000
OH3129314704001,0.000000,0.000000,-1.616703,-0.052545,0.000000,0.000000
OH3129313794001,0.000000,0.000000,-1.067120,-0.663340,0.000000,0.000000
OH3129313774001,0.000000,0.000000,-1.067120,-0.663340,0.000000,0.000000
OH3129313600001,0.000000,0.000000,0.257442,0.499132,0.000000,0.000000
OH3129314848001,7.461348,-8.446312,-4.849219,0.377429,0.602442,0.165947
OH3129314878001,6.757543,-7.986567,-4.534299,0.380107,0.602442,0.165947
OH3129315828001,6.757543,-7.986567,-1.172719,-0.482248,0.602442,0.165947
OH3129315868001,6.757543,-7.986567,-1.172719,-0.482248,0.000000,0.000000
OH3129315898001,3.718382,-4.322786,-1.172719,-0.482248,0.000000,0.000000
OH3129315898002,3.718382,-4.322786,0.000000,0.000000,0.000000,0.000000
SW3129315898001,3.718382,-4.322786,0.000000,0.000000,0.000000,0.000000
SW3129315898002,3.718382,-4.322786,0.000000,0.000000,0.000000,0.000000
OH3129316848001,3.718382,-4.322786,0.000000,0.000000,0.000000,0.000000
OH3129316848002,3.718382,-4.322786,0.000000,0.000000,0.000000,0.000000
OH3129316843001,3.718382,-4.322786,0.000000,0.000000,0.000000,0.000000
OH3129316750001,3.796161,-4.130821,0.000000,0.000000,0.000000,0.000000
OH3129316746001,2.755133,-3.337184,0.000000,0.000000,0.000000,0.000000
OH3129316731001,1.883251,-2.171532,0.000000,0.000000,0.000000,0.000000
OH3129316636001,0.886013,-0.956792,0.000000,0.000000,0.000000,0.000000
OH3129316634001,0.200673,-0.287445,0.000000,0.000000,0.000000,0.000000
OH3129316631001,0.200673,-0.287445,0.000000,0.000000,0.000000,0.000000
SW3129315868001,3.039161,-3.663781,0.000000,0.000000,0.000000,0.000000
SW3129315868002,3.039161,-3.663781,0.000000,0.000000,0.000000,0.000000
OH3129315863001,3.039161,-3.663781,0.000000,0.000000,0.000000,0.000000
OH3129315833001,-0.394900,-0.083097,0.000000,0.000000,0.000000,0.000000
OH3129315770001,3.331872,-3.107817,0.000000,0.000000,0.000000,0.000000
OH3129315767002,2.887577,-2.739852,0.000000,0.000000,0.000000,0.000000
OH3129315774001,1.687590,-1.889958,0.000000,0.000000,0.000000,0.000000
OH3129315754001,0.363466,-0.343623,0.000000,0.000000,0.000000,0.000000
OH3129315762001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129315680001,1.324124,-1.546335,0.000000,0.000000,0.000000,0.000000
OH3129315664001,1.134250,-1.043160,0.000000,0.000000,0.000000,0.000000
OH3129314878002,0.000000,0.000000,-3.361579,0.862356,0.000000,0.000000
SW3129314878001-A,0.000000,0.000000,-3.361579,0.862356,0.000000,0.000000
SW3129314878001-B,0.000000,0.000000,-3.361579,0.862356,0.000000,0.000000
OH3129314873002,0.000000,0.000000,-3.361579,0.862356,0.000000,0.000000
OH3129314778002,0.000000,0.000000,-2.485298,0.815892,0.000000,0.000000
OH3129314773001,0.000000,0.000000,-0.953389,1.068924,0.000000,0.000000
OH3129314678001,0.000000,0.000000,-0.870497,0.052393,0.000000,0.000000
OH3129314676001,0.000000,0.000000,-0.243604,0.059642,0.000000,0.000000
OH3129312826001,46.290628,-73.550818,-54.364928,1.465963,44.056514,80.826823
OH3129312822001,46.290628,-73.550818,-54.364928,1.465963,43.757847,81.264347
OH3129312727001,46.290628,-73.550818,-54.364928,1.465963,43.757847,81.264347
FS3129312727001,0.000000,0.000000,0.000000,0.000000,0.069834,0.716920
OH3129312725001,0.000000,0.000000,0.000000,0.000000,0.069834,0.716920
OH3129312775001,0.000000,0.000000,0.000000,0.000000,0.069834,0.716920
OH3129312785001,0.000000,0.000000,0.000000,0.000000,0.069834,0.716920
OH3129312713001,46.290628,-73.550818,-54.364928,1.465963,43.688013,80.547427
OH3129312617001,46.290628,-73.550818,-54.364928,1.465963,43.688013,80.547427
OH3129312622001,46.290628,-73.550818,-54.364928,1.465963,43.688013,80.547427
OH3129312528001,46.290628,-73.550818,-54.364928,1.465963,43.688013,80.547427
FS3129312528001,0.000000,0.000000,0.000000,0.000000,-0.084892,1.491061
OH3129312527001,0.000000,0.000000,0.000000,0.000000,-0.084892,1.491061
OH3129312589001,0.000000,0.000000,0.000000,0.000000,-0.084892,1.491061
OH3129312523001,46.290628,-73.550818,-54.364928,1.465963,43.772906,79.056366
OH3129312428001,46.290628,-73.550818,-54.364928,1.465963,43.772906,79.056366
OH3129312424001,46.290628,-73.550818,-54.364928,1.465963,43.772906,79.056366
FS3129312424001,0.000000,0.000000,-2.964966,1.757053,0.000000,0.000000
OH3129312423001,0.000000,0.000000,-2.964966,1.757053,0.000000,0.000000
OH3129312453002,0.000000,0.000000,-2.964966,1.757053,0.000000,0.000000
OH3129313413001,0.000000,0.000000,-2.834610,1.598444,0.000000,0.000000
OH3129313443001,0.000000,0.000000,-2.864225,0.755180,0.000000,0.000000
OH3129313463001,0.000000,0.000000,-2.219891,0.504754,0.000000,0.000000
OH3129313483001,0.000000,0.000000,-1.405376,0.678735,0.000000,0.000000
OH3129314403001,0.000000,0.000000,-0.589212,0.301491,0.000000,0.000000
OH3129314433001,0.000000,0.000000,-0.625243,-0.276526,0.000000,0.000000
OH3129314493001,0.000000,0.000000,-0.625243,-0.276526,0.000000,0.000000
OH3129314397001,0.000000,0.000000,-0.625243,-0.276526,0.000000,0.000000
OH3129314393001,0.000000,0.000000,-0.625243,-0.276526,0.000000,0.000000
OH3129312330001,46.290628,-73.550818,-51.399962,-0.291090,43.772906,79.056366
SW3129312330001,46.290628,-73.550818,-51.399962,-0.291090,43.772906,79.056366
SW3129312330002,46.290628,-73.550818,-51.399962,-0.291090,43.772906,79.056366
OH3129312325001,46.290628,-73.550818,-51.399962,-0.291090,43.772906,79.056366
OH3129312230001,46.290628,-73.550818,-51.399962,-0.291090,43.576385,78.974817
OH3129312225001,46.290628,-73.550818,-51.399962,-0.291090,43.576385,78.974817
OH3129312130001,46.290628,-73.550818,-51.399962,-0.291090,43.576385,78.974817
OH3129312114001,46.290628,-73.550818,-51.399962,-0.291090,43.576385,78.974817
FS3129312114001,1.024673,-1.012817,0.000000,0.000000,0.000000,0.000000
OH3129311123001,1.024673,-1.012817,0.000000,0.000000,0.000000,0.000000
OH3129310122001,1.024673,-1.012817,0.000000,0.000000,0.000000,0.000000
OH3129310119001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129219294001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129219361001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129219288001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3129219173001,1.024673,-1.012817,0.000000,0.000000,0.000000,0.000000
OH3129219142001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3128300090001,0.705136,-0.682379,0.000000,0.000000,0.000000,0.000000
OH3129312121001,45.265955,-72.538001,-51.399962,-0.291090,43.576385,78.974817
FS3129312121001,1.119640,-0.072866,-0.611952,-0.931012,-0.504424,1.007347
OH3129312101001,1.119640,-0.072866,-0.611952,-0.931012,-0.504424,1.007347
FS3129312121002,0.000000,0.000000,0.000000,0.000000,1.323992,0.841489
OH3129312131001,0.000000,0.000000,0.000000,0.000000,1.323992,0.841489
OH3129313101001,0.000000,0.000000,0.000000,0.000000,1.323992,0.841489
OH3129313181001,0.000000,0.000000,0.000000,0.000000,0.410661,1.111198
OH3129313185001,0.000000,0.000000,0.000000,0.000000,0.167716,0.229163
OH3128404084001,0.000000,0.000000,0.000000,0.000000,0.063162,0.730711
OH3128403027001,44.146315,-72.465135,-50.788010,0.639922,42.756818,77.125981
OH3128403014001,44.146315,-72.465135,-50.788010,0.639922,42.756818,77.125981
OH3128403011001,44.146315,-72.465135,-50.788010,0.639922,42.756818,77.125981
OH3128402918001,42.840854,-71.878166,-48.286080,2.403033,42.910354,75.696708
OH3128402915001,42.840854,-71.878166,-48.286080,2.403033,42.910354,75.696708
OH3128402912001,42.840854,-71.878166,-48.286080,2.403033,42.910354,75.696708
OH3128402820001,42.840854,-71.878166,-48.286080,2.403033,42.910354,75.696708
FS3128402820001,-0.234495,-0.580028,0.000000,0.000000,0.000000,0.000000
OH3128401800001,-0.234495,-0.580028,0.000000,0.000000,0.000000,0.000000
OH3128401840001,-0.234495,-0.580028,0.000000,0.000000,0.000000,0.000000
OH3128401838001,-0.166500,-0.163201,0.000000,0.000000,0.000000,0.000000
OH3128402816001,43.075348,-71.298138,-48.286080,2.403033,42.617824,76.084173
OH3128402813001,43.075348,-71.298138,-48.286080,2.403033,42.617824,76.084173
OH3128402718001,43.075348,-71.298138,-48.286080,2.403033,42.481717,75.694424
OH3128402724001,43.075348,-71.298138,-48.286080,2.403033,42.481717,75.694424
OH3128402705001,13.288178,-23.335556,-20.747881,-1.677841,14.839563,22.096623
OH3128401797001,13.288178,-23.335556,-20.747881,-1.677841,14.839563,22.096623
OH3128401787001,13.288178,-23.335556,-20.747881,-1.677841,14.839563,22.096623
OH3128401777002,13.288178,-23.335556,-20.747881,-1.677841,14.839563,22.096623
SW3128401777001-A,13.288178,-23.335556,-20.747881,-1.677841,14.839563,22.096623
SW3128401777001-B,13.288178,-23.335556,-20.747881,-1.677841,14.839563,22.096623
OH3128401727001,13.288178,-23.335556,-20.747881,-1.677841,14.839563,22.096623
OH3128400787001,13.288178,-23.335556,-20.747881,-1.677841,14.643732,22.004216
FS3128400787001,0.000000,0.000000,0.000000,0.000000,0.602413,1.252160
OH3128400777001,0.000000,0.000000,0.000000,0.000000,0.602413,1.252160
OH3128400874001,0.000000,0.000000,0.000000,0.000000,0.602413,1.252160
OH3128400747002,13.288178,-23.335556,-20.747881,-1.677841,14.041319,20.752056
OH3128309777001,13.288178,-23.335556,-20.124517,-1.396899,14.041319,20.752056
FS3128309777001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3128309777002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3128309874001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OH3128309737001,13.288178,-23.335556,-20.124517,-1.396899,13.480155,21.401384
FS3128309737001,0.000000,0.000000,0.000000,0.000000,0.126631,0.420592
OH3128309738001,0.000000,0.000000,0.000000,0.000000,0.126631,0.420592
OH3128309740001,0.000000,0.000000,0.000000,0.000000,0.126631,0.420592
OH3128308797001,13.288178,-23.335556,-20.124517,-1.396899,13.353524,20.980792
FS3128308797001,1.101774,-0.599337,0.000000,0.000000,0.196893,0.073941
OH3128308788001,1.101774,-0.599337,0.000000,0.000000,0.196893,0.073941
OH3128308884001,1.101774,-0.599337,0.000000,0.000000,0.196893,0.073941
OH3128308890001,0.000000,0.000000,0.000000,0.000000,0.196893,0.073941
OH3128308767001,12.186405,-22.736218,-20.124517,-1.396899,13.156631,20.906851
OH3128308707001,12.186405,-22.736218,-20.124517,-1.396899,13.156631,20.906851
OH3128307757001,12.186405,-22.736218,-20.124517,-1.396899,13.156631,20.906851
FS3128307757001,0.000000,0.000000,0.000000,0.000000,0.306081,-0.462348
OH3128307757002,0.000000,0.000000,0.000000,0.000000,0.306081,-0.462348
