Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"150", 4.16, 1,    2401.75,    0.0,   0.99999, 2,    2401.76, -120.0,   0.99999, 3,    2401.76,  120.0,   0.99999
"150R", 4.16, 1,    2491.81,    0.0,    1.0375, 2,    2491.82, -120.0,    1.0375, 3,    2491.82,  120.0,    1.0375
"149", 4.16, 1,    2491.81,    0.0,    1.0375, 2,    2491.82, -120.0,    1.0375, 3,    2491.82,  120.0,    1.0375
"1", 4.16, 1,     2461.7,   -0.6,     1.025, 2,    2485.96, -120.3,    1.0351, 3,    2470.45,  119.6,    1.0286
"2", 4.16, 2,    2485.43, -120.3,    1.0348, 0, 0, 0, 0, 0, 0, 0, 0
"3", 4.16, 3,     2466.5,  119.6,    1.0269, 0, 0, 0, 0, 0, 0, 0, 0
"7", 4.16, 1,    2439.28,   -1.1,    1.0156, 2,    2481.81, -120.6,    1.0333, 3,     2456.7,  119.4,    1.0229
"4", 4.16, 3,    2465.27,  119.6,    1.0264, 0, 0, 0, 0, 0, 0, 0, 0
"5", 4.16, 3,    2463.36,  119.6,    1.0256, 0, 0, 0, 0, 0, 0, 0, 0
"6", 4.16, 3,    2461.74,  119.6,     1.025, 0, 0, 0, 0, 0, 0, 0, 0
"8", 4.16, 1,    2424.73,   -1.4,    1.0096, 2,     2478.9, -120.7,    1.0321, 3,    2447.59,  119.2,    1.0191
"12", 4.16, 2,    2478.21, -120.7,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"9", 4.16, 1,    2421.17,   -1.5,    1.0081, 0, 0, 0, 0, 0, 0, 0, 0
"13", 4.16, 1,    2405.46,   -1.9,    1.0015, 2,    2473.67, -121.0,    1.0299, 3,    2433.96,  118.9,    1.0134
"9R", 4.16, 1,    2421.17,   -1.5,    1.0081, 0, 0, 0, 0, 0, 0, 0, 0
"14", 4.16, 1,    2417.12,   -1.5,    1.0064, 0, 0, 0, 0, 0, 0, 0, 0
"34", 4.16, 3,     2431.6,  118.9,    1.0124, 0, 0, 0, 0, 0, 0, 0, 0
"18", 4.16, 1,    2383.79,   -2.3,   0.99251, 2,    2463.75, -121.2,    1.0258, 3,    2416.12,  118.8,     1.006
"11", 4.16, 1,    2415.53,   -1.5,    1.0057, 0, 0, 0, 0, 0, 0, 0, 0
"10", 4.16, 1,    2416.33,   -1.5,    1.0061, 0, 0, 0, 0, 0, 0, 0, 0
"15", 4.16, 3,    2430.66,  118.9,     1.012, 0, 0, 0, 0, 0, 0, 0, 0
"16", 4.16, 3,    2428.32,  118.9,     1.011, 0, 0, 0, 0, 0, 0, 0, 0
"17", 4.16, 3,    2429.57,  118.9,    1.0116, 0, 0, 0, 0, 0, 0, 0, 0
"19", 4.16, 1,    2380.62,   -2.3,   0.99119, 0, 0, 0, 0, 0, 0, 0, 0
"21", 4.16, 1,    2382.47,   -2.3,   0.99196, 2,    2463.88, -121.2,    1.0259, 3,     2413.3,  118.8,    1.0048
"20", 4.16, 1,    2378.56,   -2.3,   0.99033, 0, 0, 0, 0, 0, 0, 0, 0
"22", 4.16, 2,    2460.48, -121.2,    1.0244, 0, 0, 0, 0, 0, 0, 0, 0
"23", 4.16, 1,    2381.47,   -2.4,   0.99155, 2,    2464.79, -121.2,    1.0262, 3,    2410.58,  118.8,    1.0037
"24", 4.16, 3,    2407.12,  118.8,    1.0022, 0, 0, 0, 0, 0, 0, 0, 0
"25", 4.16, 1,    2379.88,   -2.5,   0.99088, 2,    2465.88, -121.2,    1.0267, 3,    2408.47,  118.8,    1.0028
"25R", 4.16, 1,    2409.62,   -2.5,    1.0033, 3,    2408.46,  118.8,    1.0028, 0, 0, 0, 0
"26", 4.16, 1,    2409.01,   -2.5,     1.003, 3,    2407.27,  118.8,    1.0023, 0, 0, 0, 0
"28", 4.16, 1,    2378.99,   -2.5,   0.99051, 2,    2466.43, -121.2,    1.0269, 3,    2407.65,  118.8,    1.0024
"27", 4.16, 1,    2408.14,   -2.5,    1.0027, 3,     2407.2,  118.8,    1.0023, 0, 0, 0, 0
"31", 4.16, 3,    2405.86,  118.8,    1.0017, 0, 0, 0, 0, 0, 0, 0, 0
"33", 4.16, 1,    2404.98,   -2.5,    1.0013, 0, 0, 0, 0, 0, 0, 0, 0
"29", 4.16, 1,    2378.61,   -2.5,   0.99035, 2,    2466.79, -121.2,    1.0271, 3,    2406.56,  118.8,     1.002
"30", 4.16, 1,    2379.24,   -2.5,   0.99062, 2,    2466.69, -121.2,     1.027, 3,    2405.47,  118.8,    1.0015
"250", 4.16, 1,    2379.24,   -2.5,   0.99062, 2,    2466.69, -121.2,     1.027, 3,    2405.47,  118.8,    1.0015
"32", 4.16, 3,    2404.91,  118.8,    1.0013, 0, 0, 0, 0, 0, 0, 0, 0
"35", 4.16, 1,    2377.13,   -2.4,   0.98974, 2,    2457.63, -121.3,    1.0233, 3,    2413.58,  118.8,    1.0049
"36", 4.16, 1,     2374.9,   -2.4,   0.98881, 2,     2456.5, -121.4,    1.0228, 0, 0, 0, 0
"40", 4.16, 1,    2373.48,   -2.4,   0.98822, 2,    2454.88, -121.4,    1.0221, 3,    2411.06,  118.7,    1.0039
"37", 4.16, 1,    2373.03,   -2.4,   0.98803, 0, 0, 0, 0, 0, 0, 0, 0
"38", 4.16, 2,    2454.93, -121.4,    1.0221, 0, 0, 0, 0, 0, 0, 0, 0
"39", 4.16, 2,    2453.93, -121.4,    1.0217, 0, 0, 0, 0, 0, 0, 0, 0
"41", 4.16, 3,    2410.04,  118.7,    1.0034, 0, 0, 0, 0, 0, 0, 0, 0
"42", 4.16, 1,    2369.66,   -2.4,   0.98663, 2,    2452.18, -121.4,     1.021, 3,    2408.94,  118.7,     1.003
"43", 4.16, 2,    2448.96, -121.4,    1.0196, 0, 0, 0, 0, 0, 0, 0, 0
"44", 4.16, 1,    2367.03,   -2.5,   0.98553, 2,    2450.48, -121.4,    1.0203, 3,    2406.96,  118.7,    1.0022
"45", 4.16, 1,    2365.76,   -2.5,     0.985, 0, 0, 0, 0, 0, 0, 0, 0
