Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    654.312,   158.24,    424.506,    40.41,    521.966,   -78.57,          0,     0.00,    181.126,   178.05,    654.312,   -21.76,    424.506,  -139.59,    521.966,   101.43,          0,     0.00,    181.126,    -1.95
Transformer.REG1A,    654.312,   -21.76,    424.506,  -139.59,    521.966,   101.43,    181.126,   178.05, 7.55983E-9,    99.75,    630.662,   158.24,    409.162,    40.41,      503.1,   -78.57,    174.579,    -1.95, 3.74163E-9,   -95.36
Line.L115,    630.662,   -21.76,    409.162,  -139.59,      503.1,   101.43,          0,     0.00,    174.579,    -1.95,    630.663,   158.24,    409.163,    40.41,      503.1,   -78.57,          0,     0.00,    174.579,   178.05
Line.L1,    8.99644,  -146.88,          0,     0.00,          0,     0.00,          0,     0.00,    8.99644,  -146.88,     8.9966,    33.12,          0,     0.00,          0,     0.00,          0,     0.00,     8.9966,    33.12
Line.L2,    46.5698,    93.00,          0,     0.00,          0,     0.00,          0,     0.00,    46.5698,    93.00,    46.5701,   -87.00,          0,     0.00,          0,     0.00,          0,     0.00,    46.5701,   -87.00
Line.L3,     612.58,   -21.60,    400.241,  -139.43,    457.084,   102.28,          0,     0.00,    172.805,   -13.12,    612.581,   158.40,    400.241,    40.57,    457.084,   -77.72,          0,     0.00,    172.805,   166.88
Line.L4,    18.1404,    93.01,          0,     0.00,          0,     0.00,          0,     0.00,    18.1404,    93.01,    18.1406,   -86.99,          0,     0.00,          0,     0.00,          0,     0.00,    18.1406,   -86.99
Line.L5,    28.4297,    92.99,          0,     0.00,          0,     0.00,          0,     0.00,    28.4297,    92.99,      28.43,   -87.01,          0,     0.00,          0,     0.00,          0,     0.00,      28.43,   -87.01
Line.L6,     19.113,    92.99,          0,     0.00,          0,     0.00,          0,     0.00,     19.113,    92.99,    19.1133,   -87.01,          0,     0.00,          0,     0.00,          0,     0.00,    19.1133,   -87.01
Line.L7,    603.466,   -21.51,    400.241,  -139.43,    457.084,   102.28,          0,     0.00,    163.949,   -12.31,    603.466,   158.49,    400.241,    40.57,    457.084,   -77.72,          0,     0.00,    163.949,   167.69
Line.L8,    9.02247,  -147.30,          0,     0.00,          0,     0.00,          0,     0.00,    9.02247,  -147.30,    9.02268,    32.70,          0,     0.00,          0,     0.00,          0,     0.00,    9.02268,    32.70
Line.L9,    46.5422,   -28.05,          0,     0.00,          0,     0.00,          0,     0.00,    46.5422,   -28.05,    46.5424,   151.95,          0,     0.00,          0,     0.00,          0,     0.00,    46.5424,   151.95
Line.L10,    557.251,   -20.97,    391.306,  -139.25,    457.084,   102.28,          0,     0.00,    126.958,    -3.71,    557.252,   159.03,    391.306,    40.75,    457.084,   -77.72,          0,     0.00,    126.958,   176.29
Line.L11,    28.0708,   -28.06,          0,     0.00,          0,     0.00,          0,     0.00,    28.0708,   -28.06,    28.0711,   151.94,          0,     0.00,          0,     0.00,          0,     0.00,    28.0711,   151.94
Line.L12,    46.4986,    92.32,          0,     0.00,          0,     0.00,          0,     0.00,    46.4986,    92.32,    46.4987,   -87.68,          0,     0.00,          0,     0.00,          0,     0.00,    46.4987,   -87.68
Line.L13,    229.208,   -30.41,    155.505,  -155.11,    153.757,    88.65,          0,     0.00,    66.3261,   -24.74,    229.209,   149.59,    155.506,    24.89,    153.759,   -91.36,          0,     0.00,    66.3259,   155.26
Line.L14,    18.7542,   -28.07,          0,     0.00,          0,     0.00,          0,     0.00,    18.7542,   -28.07,    18.7545,   151.93,          0,     0.00,          0,     0.00,          0,     0.00,    18.7545,   151.93
Line.L15,    9.31691,   -28.06,          0,     0.00,          0,     0.00,          0,     0.00,    9.31691,   -28.06,    9.31714,   151.94,          0,     0.00,          0,     0.00,          0,     0.00,    9.31714,   151.94
Line.L16,    18.4163,    92.30,          0,     0.00,          0,     0.00,          0,     0.00,    18.4163,    92.30,    18.4167,   -87.70,          0,     0.00,          0,     0.00,          0,     0.00,    18.4167,   -87.70
Line.L17,    9.20327,    92.32,          0,     0.00,          0,     0.00,          0,     0.00,    9.20327,    92.32,     9.2036,   -87.69,          0,     0.00,          0,     0.00,          0,     0.00,     9.2036,   -87.69
Line.L18,    37.4206,   -28.89,          0,     0.00,          0,     0.00,          0,     0.00,    37.4206,   -28.89,    37.4208,   151.11,          0,     0.00,          0,     0.00,          0,     0.00,    37.4208,   151.11
Line.L19,    55.9662,   -29.06,    19.1008,  -147.79,    55.7574,    92.22,          0,     0.00,    35.6802,    30.96,    55.9666,   150.94,    19.1011,    32.21,    55.7579,   -87.78,          0,     0.00,    35.6802,  -149.04
Line.L20,    18.6341,   -28.89,          0,     0.00,          0,     0.00,          0,     0.00,    18.6341,   -28.89,    18.6344,   151.10,          0,     0.00,          0,     0.00,          0,     0.00,    18.6344,   151.10
Line.L21,    19.1029,  -147.81,          0,     0.00,          0,     0.00,          0,     0.00,    19.1029,  -147.81,    19.1034,    32.19,          0,     0.00,          0,     0.00,          0,     0.00,    19.1034,    32.19
Line.L22,    55.9666,   -29.06, 0.00462731,   -34.79,    55.7579,    92.22,          0,     0.00,    54.7802,    31.39,    55.9669,   150.94, 0.00389294,   145.21,    55.7584,   -87.78,          0,     0.00,    54.7802,  -148.61
Line.L23,    18.5784,    92.22,          0,     0.00,          0,     0.00,          0,     0.00,    18.5784,    92.22,    18.5789,   -87.79,          0,     0.00,          0,     0.00,          0,     0.00,    18.5789,   -87.79
Line.L24,    55.9669,   -29.06, 0.00389294,   -34.79,      37.18,    92.23,          0,     0.00,    48.5167,    11.86,    55.9673,   150.94, 0.00308505,   145.21,    37.1805,   -87.78,          0,     0.00,    48.5167,  -168.14
Line.L25,    18.6335,   -29.08,    18.5908,    92.22,          0,     0.00,          0,     0.00,     18.245,    31.46,    18.6338,   150.92,    18.5914,   -87.78,          0,     0.00,          0,     0.00,    18.2452,  -148.55
