Customer Name,Season,Business Type,Load Name
load_1003,summer,residential,load_1003
load_1004,summer,residential,load_1004
load_1005,summer,residential,load_1005
load_1008,summer,residential,load_1008
load_1009,summer,residential,load_1009
load_1010,summer,residential,load_1010
load_1011,summer,residential,load_1011
load_1012,summer,residential,load_1012
load_1013,summer,residential,load_1013
load_1014,summer,residential,load_1014
load_1015,summer,residential,load_1015
load_1016,summer,residential,load_1016
load_1017,summer,residential,load_1017
load_2002,summer,residential,load_2002
load_2003,summer,residential,load_2003
load_2005,summer,residential,load_2005
load_2008,summer,residential,load_2008
load_2009,summer,residential,load_2009
load_2010,summer,residential,load_2010
load_2011,summer,residential,load_2011
load_2014,summer,residential,load_2014
load_2015,summer,residential,load_2015
load_2016,summer,residential,load_2016
load_2017,summer,residential,load_2017
load_2018,summer,residential,load_2018
load_2020,summer,residential,load_2020
load_2022,summer,residential,load_2022
load_2023,summer,residential,load_2023
load_2024,summer,residential,load_2024
load_2025,summer,residential,load_2025
load_2028,summer,residential,load_2028
load_2029,summer,residential,load_2029
load_2030,summer,residential,load_2030
load_2031,summer,residential,load_2031
load_2032,summer,residential,load_2032
load_2034,summer,residential,load_2034
load_2035,summer,residential,load_2035
load_2037,summer,residential,load_2037
load_2040,summer,residential,load_2040
load_2041,summer,residential,load_2041
load_2042,summer,residential,load_2042
load_2043,summer,residential,load_2043
load_2045,summer,residential,load_2045
load_2046,summer,residential,load_2046
load_2047,summer,residential,load_2047
load_2048,summer,residential,load_2048
load_2049,summer,residential,load_2049
load_2050,summer,residential,load_2050
load_2051,summer,residential,load_2051
load_2052,summer,residential,load_2052
load_2053,summer,residential,load_2053
load_2054,summer,residential,load_2054
load_2055,summer,residential,load_2055
load_2056,summer,residential,load_2056
load_2058,summer,residential,load_2058
load_2059,summer,residential,load_2059
load_2060,summer,residential,load_2060
load_3002,summer,residential,load_3002
load_3004,summer,residential,load_3004
load_3006,summer,residential,load_3006
load_3007,summer,residential,load_3007
load_3009,summer,residential,load_3009
load_3010,summer,residential,load_3010
load_3011,summer,residential,load_3011
load_3012,summer,residential,load_3012
load_3013,summer,residential,load_3013
load_3014,summer,residential,load_3014
load_3016,summer,residential,load_3016
load_3017,summer,residential,load_3017
load_3018,summer,residential,load_3018
load_3019,summer,residential,load_3019
load_3020,summer,residential,load_3020
load_3021,summer,residential,load_3021
load_3023,summer,residential,load_3023
load_3024,summer,residential,load_3024
load_3025,summer,residential,load_3025
load_3026,summer,residential,load_3026
load_3027,summer,residential,load_3027
load_3028,summer,residential,load_3028
load_3029,summer,residential,load_3029
load_3031,summer,residential,load_3031
load_3032,summer,residential,load_3032
load_3033,summer,residential,load_3033
load_3034,summer,residential,load_3034
load_3035,summer,residential,load_3035
load_3036,summer,residential,load_3036
load_3037,summer,residential,load_3037
load_3038,summer,residential,load_3038
load_3039,summer,residential,load_3039
load_3041,summer,residential,load_3041
load_3042,summer,residential,load_3042
load_3043,summer,residential,load_3043
load_3044,summer,residential,load_3044
load_3045,summer,residential,load_3045
load_3047,summer,residential,load_3047
load_3048,summer,residential,load_3048
load_3049,summer,residential,load_3049
load_3050,summer,residential,load_3050
load_3051,summer,residential,load_3051
load_3052,summer,residential,load_3052
load_3054,summer,residential,load_3054
load_3056,summer,residential,load_3056
load_3057,summer,residential,load_3057
load_3058,summer,residential,load_3058
load_3059,summer,residential,load_3059
load_3060,summer,residential,load_3060
load_3061,summer,residential,load_3061
load_3062,summer,residential,load_3062
load_3063,summer,residential,load_3063
load_3064,summer,residential,load_3064
load_3065,summer,residential,load_3065
load_3066,summer,residential,load_3066
load_3067,summer,residential,load_3067
load_3070,summer,residential,load_3070
load_3071,summer,residential,load_3071
load_3072,summer,residential,load_3072
load_3073,summer,residential,load_3073
load_3074,summer,residential,load_3074
load_3077,summer,residential,load_3077
load_3078,summer,residential,load_3078
load_3081,summer,residential,load_3081
load_3083,summer,residential,load_3083
load_3084,summer,residential,load_3084
load_3085,summer,residential,load_3085
load_3086,summer,residential,load_3086
load_3087,summer,residential,load_3087
load_3088,summer,residential,load_3088
load_3089,summer,residential,load_3089
load_3090,summer,residential,load_3090
load_3091,summer,residential,load_3091
load_3093,summer,residential,load_3093
load_3094,summer,residential,load_3094
load_3095,summer,residential,load_3095
load_3096,summer,residential,load_3096
load_3097,summer,retail,load_3097
load_3098,summer,retail,load_3098
load_3099,summer,retail,load_3099
load_3101,summer,retail,load_3101
load_3102,summer,retail,load_3102
load_3103,summer,retail,load_3103
load_3104,summer,retail,load_3104
load_3105,summer,retail,load_3105
load_3106,summer,retail,load_3106
load_3108,summer,retail,load_3108
load_3109,summer,retail,load_3109
load_3110,summer,retail,load_3110
load_3111,summer,retail,load_3111
load_3112,summer,retail,load_3112
load_3114,summer,retail,load_3114
load_3115,summer,retail,load_3115
load_3116,summer,retail,load_3116
