DeviceNumber,DeviceType,NetworkId,CustomerNumber,ConsumerClassId,Status,LockDuringLoadAllocation,LoadYear,LoadModelId,NormalPriority,EmergencyPriority,LoadValueType,Phase,CenterTapPercent,LoadValue1,LoadValue2,ConnectedKVA,KWHUsage,NumberOfCustomer
"LOAD652",20,"650","LOAD652","Z",0,0,2008,1,0,0,0,1,0.0000000000000000e+00,1.2800000000000000e+02,8.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD652",20,"650","LOAD652","Z",0,0,2008,1,0,0,0,2,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD652",20,"650","LOAD652","Z",0,0,2008,1,0,0,0,3,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD611",20,"650","LOAD611","I",0,0,2008,1,0,0,0,1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD611",20,"650","LOAD611","I",0,0,2008,1,0,0,0,2,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD611",20,"650","LOAD611","I",0,0,2008,1,0,0,0,3,0.0000000000000000e+00,1.7000000000000000e+02,8.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD692",20,"650","LOAD692","I",0,0,2008,1,0,0,0,1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD692",20,"650","LOAD692","I",0,0,2008,1,0,0,0,2,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD692",20,"650","LOAD692","I",0,0,2008,1,0,0,0,3,0.0000000000000000e+00,1.7000000000000000e+02,1.5100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD645",20,"650","LOAD645","PQ",0,0,2008,1,0,0,0,1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD645",20,"650","LOAD645","PQ",0,0,2008,1,0,0,0,2,0.0000000000000000e+00,1.7000000000000000e+02,1.2500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD645",20,"650","LOAD645","PQ",0,0,2008,1,0,0,0,3,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD646",20,"650","LOAD646","Z",0,0,2008,1,0,0,0,1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
