DeviceNumber,DeviceType,NetworkId,SectionId,Location,ComponentMask
"296",13,"650","296",0,1
"650REG",4,"650","650REG",0,12289
"L611CAP",17,"650","L611CAP",1,1
"L632_633",3,"650","L632_633",0,1
"L632_645",3,"650","L632_645",0,1
"L632_671",3,"650","L632_671",0,1
"L632_671-1",21,"650","L632_671",0,0
"L633_634_XFM_1",5,"650","L633_634_XFM_1",0,1
"L645_646",3,"650","L645_646",0,1
"L650_632",3,"650","L650_632",0,1
"L671_680",3,"650","L671_680",0,1
"L671_684",3,"650","L671_684",0,1
"L671_692_SW-1",13,"650","L671_692_SW",0,0
"L675CAP",17,"650","L675CAP",1,0
"L684_611",3,"650","L684_611",0,0
"L684_652",23,"650","L684_652",0,0
"L692_675",23,"650","L692_675",0,0
"LOAD611",20,"650","LOAD611",1,0
"LOAD634",20,"650","LOAD634",1,1
"LOAD645",20,"650","LOAD645",1,1
"LOAD646",20,"650","LOAD646",1,1
"LOAD652",20,"650","LOAD652",1,1
"LOAD671",20,"650","LOAD671",1,1
"LOAD675",20,"650","LOAD675",1,1
"LOAD692",20,"650","LOAD692",1,1
