NodeId,NetworkId,TagText,DeltaX,DeltaY,Angle,Prop,Alignment,Border,Background,TextColor,BorderColor,BackgroundColor,Location,Font,TagTextSize,Offset
"611","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",1.5815330000000001e+00,3.1847200000000001e+01,0.0000000000000000e+00,290851,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"632","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",6.9572440000000000e+01,-4.8128098000000001e+01,0.0000000000000000e+00,290851,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"633","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",-6.6123830000000003e+00,6.5053180999999995e+01,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"634","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",6.2489119999999998e+00,6.3487717000000004e+01,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"645","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",4.2768139999999999e+00,3.8692529999999998e+01,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"646","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",3.1580360000000001e+00,3.7524306000000003e+01,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"650","650","650",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,28673,1,1,1,0,0,0,0,"Arial",1.5000000000000000e+00,3.3000000000000002e-01
"652","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",5.3939928999999999e+01,7.9620379999999997e+00,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"671","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",6.4280693999999997e+01,-4.4107356000000003e+01,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"675","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",1.3661897000000000e+01,5.0552427999999999e+01,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"680","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",-8.5497299999999998e-01,-4.9489308000000001e+01,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"684","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",3.7253740000000000e+00,3.7094315000000002e+01,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"692","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",-8.6692660000000004e+00,4.8818164000000003e+01,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"7","650","$NodeId$
VA=$VpuA$ / $PH-AngleA$ deg
VB=$VpuB$ / $PH-AngleB$ deg
VC=$VpuC$ / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",6.5478937999999999e+01,3.3512019999999998e+00,0.0000000000000000e+00,24577,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
"RG60","650","$NodeId$
VA=$VpuA$ pu / $PH-AngleA$ deg
VB=$VpuB$ pu / $PH-AngleB$ deg
VC=$VpuC$ pu / $PH-AngleC$ deg
IA=$IA$ A / $IAngleA$ deg
IB=$IB$ A / $IAngleB$ deg
IC=$IC$ A / $IAngleC$ deg",-6.2994610999999999e+01,-7.7338722000000004e+01,0.0000000000000000e+00,24579,2,1,1,0,0,0,0,"Arial",1.0000000000000000e+00,3.3000000000000002e-01
