EquipmentId,ComponentMask,NominalRating,FirstRating,SecondRating,ThirdRating,FourthRating,Diameter,GMR,R25,R50,WithstandRating,Material,CodeWord,Size_mm2,ConstructionType,InternalDiameter,Favorite,Comments,FirstResistanceDC,SecondResistanceDC
"1/0",1,2.3000000000000000e+02,2.3000000000000000e+02,2.3000000000000000e+02,2.3000000000000000e+02,2.3000000000000000e+02,1.0109200000000000e+00,1.3594100000000001e-01,6.9593600000000000e-01,6.9593600000000000e-01,2.3000000000000000e+02,0,,1.0721772000000000e+02,0,0.0000000000000000e+00,0,,0.0000000000000000e+00,0.0000000000000000e+00
"1000000CM_AA",1,6.9800000000000000e+02,6.9800000000000000e+02,6.9800000000000000e+02,6.9800000000000000e+02,6.9800000000000000e+02,2.9209999999999998e+00,1.1216640000000000e+00,6.5243999999999996e-02,6.5243999999999996e-02,6.9800000000000000e+02,0,,1.0721772000000000e+02,0,0.0000000000000000e+00,0,,0.0000000000000000e+00,0.0000000000000000e+00
"14",1,2.0000000000000000e+01,2.0000000000000000e+01,2.0000000000000000e+01,2.0000000000000000e+01,2.0000000000000000e+01,1.6256000000000001e-01,6.3397999999999996e-02,9.2410320000000006e+00,9.2410320000000006e+00,2.0000000000000000e+01,0,,1.0721772000000000e+02,0,0.0000000000000000e+00,0,,0.0000000000000000e+00,0.0000000000000000e+00
"250_000",1,3.2900000000000000e+02,3.2900000000000000e+02,3.2900000000000000e+02,3.2900000000000000e+02,3.2900000000000000e+02,1.4401800000000000e+00,5.2120800000000000e-01,2.5476199999999999e-01,2.5476199999999999e-01,3.2900000000000000e+02,0,,1.0721772000000000e+02,0,0.0000000000000000e+00,0,,0.0000000000000000e+00,0.0000000000000000e+00
"336_400",1,5.3000000000000000e+02,5.3000000000000000e+02,5.3000000000000000e+02,5.3000000000000000e+02,5.3000000000000000e+02,1.8288000000000000e+00,7.4371200000000004e-01,1.9014000000000000e-01,1.9014000000000000e-01,5.3000000000000000e+02,0,,1.0721772000000000e+02,0,0.0000000000000000e+00,0,,0.0000000000000000e+00,0.0000000000000000e+00
"4/0",1,3.4000000000000000e+02,3.4000000000000000e+02,3.4000000000000000e+02,3.4000000000000000e+02,3.4000000000000000e+02,1.4300200000000001e+00,2.4810699999999999e-01,3.6785200000000001e-01,3.6785200000000001e-01,3.4000000000000000e+02,0,,1.0721772000000000e+02,0,0.0000000000000000e+00,0,,0.0000000000000000e+00,0.0000000000000000e+00
"500_500",1,4.8300000000000000e+02,4.8300000000000000e+02,4.8300000000000000e+02,4.8300000000000000e+02,4.8300000000000000e+02,2.0650200000000001e+00,7.9247999999999996e-01,1.2800200000000000e-01,1.2800200000000000e-01,4.8300000000000000e+02,0,,1.0721772000000000e+02,0,0.0000000000000000e+00,0,,0.0000000000000000e+00,0.0000000000000000e+00
"556_500",1,7.3000000000000000e+02,7.3000000000000000e+02,7.3000000000000000e+02,7.3000000000000000e+02,7.3000000000000000e+02,2.3545799999999999e+00,9.4792799999999999e-01,1.1557500000000000e-01,1.1557500000000000e-01,7.3000000000000000e+02,0,,1.0721772000000000e+02,0,0.0000000000000000e+00,0,,0.0000000000000000e+00,0.0000000000000000e+00
"DEFAULT",1,1.0000000000000000e+03,1.0000000000000000e+03,1.0000000000000000e+03,1.0000000000000000e+03,1.0000000000000000e+03,2.1793000000000000e+00,8.8390000000000002e-01,1.2180000000000001e-01,1.2180000000000001e-01,0.0000000000000000e+00,0,,1.0721772000000000e+02,0,0.0000000000000000e+00,0,,0.0000000000000000e+00,0.0000000000000000e+00
"NONE",1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,,1.0721772000000000e+02,0,0.0000000000000000e+00,0,,0.0000000000000000e+00,0.0000000000000000e+00
