NodeId,ComponentMask,X,Y,NetworkId,ZoneId,UserDefinedBaseVoltage
"611",64,-4.9752963799999998e+02,-2.9640671600000002e+02,"650",,0.0000000000000000e+00
"632",64,-1.0256475600000000e+02,-8.2359153000000006e+01,"650",,0.0000000000000000e+00
"633",64,9.6981706000000003e+01,-8.2359153000000006e+01,"650",,0.0000000000000000e+00
"634",64,2.9652816700000000e+02,-8.2359153000000006e+01,"650",,0.0000000000000000e+00
"645",64,-3.0361156699999998e+02,-8.2359153000000006e+01,"650",,0.0000000000000000e+00
"646",64,-5.0315802800000000e+02,-8.2359153000000006e+01,"650",,0.0000000000000000e+00
"650",65,-1.0187171800000000e+02,2.0252534900000001e+02,"650",,0.0000000000000000e+00
"652",64,-3.0542554999999999e+02,-3.8803367500000002e+02,"650",,0.0000000000000000e+00
"671",64,-1.0256475600000000e+02,-2.9584027800000001e+02,"650",,0.0000000000000000e+00
"675",64,1.7768572399999999e+02,-2.9616822800000000e+02,"650",,0.0000000000000000e+00
"680",64,-1.0221606500000000e+02,-3.8571176800000001e+02,"650",,0.0000000000000000e+00
"684",64,-3.0556953800000002e+02,-2.9582133800000003e+02,"650",,0.0000000000000000e+00
"692",64,9.5477648000000002e+01,-2.9582777499999997e+02,"650",,0.0000000000000000e+00
"7",64,-1.0214015300000000e+02,1.1972704400000001e+02,"650",,0.0000000000000000e+00
"L611CAP",0,-5.9155226800000003e+02,-2.9639426600000002e+02,"650",,0.0000000000000000e+00
"L675CAP",0,3.7526425000000000e+02,-2.9662667099999999e+02,"650",,0.0000000000000000e+00
"LOAD611",0,-4.9757742200000001e+02,-3.2246703100000002e+02,"650",,0.0000000000000000e+00
"LOAD634",0,2.9652923500000003e+02,-1.0453793500000000e+02,"650",,0.0000000000000000e+00
"LOAD645",0,-3.0361156699999998e+02,-1.0282307400000001e+02,"650",,0.0000000000000000e+00
"LOAD646",0,-5.0314035799999999e+02,-1.0493853300000001e+02,"650",,0.0000000000000000e+00
"LOAD652",0,-3.0536198999999999e+02,-4.2341068700000000e+02,"650",,0.0000000000000000e+00
"LOAD671",0,-1.3081216100000000e+02,-2.7013573400000001e+02,"650",,0.0000000000000000e+00
"LOAD675",0,1.7769366700000000e+02,-3.3163912800000003e+02,"650",,0.0000000000000000e+00
"LOAD692",0,9.5481356000000005e+01,-3.2979136299999999e+02,"650",,0.0000000000000000e+00
"RG60",64,-1.0213409100000000e+02,-1.0300582700000000e+02,"650",,0.0000000000000000e+00
