EquipmentId,EquipmentType,Status,SymbolId
"611CAP",16,5,0
"611CAP",16,6,0
"675CAP",16,5,0
"675CAP",16,6,0
"DEFAULT",2,5,0
"DEFAULT",5,5,0
"DEFAULT",7,0,0
"DEFAULT",7,1,0
"DEFAULT",8,0,0
"DEFAULT",8,1,0
"DEFAULT",9,0,0
"DEFAULT",9,1,0
"DEFAULT",10,0,0
"DEFAULT",10,1,0
"DEFAULT",11,0,0
"DEFAULT",11,1,0
"DEFAULT",14,7,0
"DEFAULT",15,7,0
"DEFAULT",16,5,0
"DEFAULT",16,6,0
"DEFAULT",17,5,0
"DEFAULT",17,6,0
"DEFAULT",18,5,0
"DEFAULT",18,6,0
"DEFAULT",19,5,0
"DEFAULT",19,6,0
"DEFAULT",20,5,0
"DEFAULT",20,6,0
"DEFAULT",21,5,0
"DEFAULT",21,6,0
"DEFAULT",22,5,0
"DEFAULT",22,6,0
"DEFAULT",23,5,0
"DEFAULT",23,6,0
"DEFAULT",24,5,0
"DEFAULT",24,6,0
"DEFAULT",25,5,0
"DEFAULT",25,6,0
"DEFAULT",27,5,0
"DEFAULT",27,6,0
"DEFAULT",33,3,0
"DEFAULT",33,4,0
"DEFAULT",33,6,0
"DEFAULT",34,3,0
"DEFAULT",34,4,0
"DEFAULT",34,6,0
"DEFAULT",35,5,0
"DEFAULT",35,6,0
"DEFAULT",36,5,0
"DEFAULT",36,6,0
"DEFAULT",37,5,0
"DEFAULT",37,6,0
"DEFAULT",38,5,0
"DEFAULT",39,5,0
"DEFAULT",40,5,0
"DEFAULT",43,5,0
"DEFAULT",44,5,0
"DEFAULT",45,5,0
"DEFAULT",47,0,0
"DEFAULT",47,1,0
"DEFAULT",48,5,0
"DEFAULT",49,5,0
"DEFAULT",50,5,0
"REG650-632",5,7,7
"XFM1_XFO",2,7,8
