SectionId,NetworkId,FromNodeId,FromNodeConnectorIndex,ToNodeId,ToNodeConnectorIndex,Phase,ZoneId,StructureId,ComponentMask,BreakPointIndex,BreakPointLocation
"296","650","650",0,"7",0,7,,,0,-1,0
"650REG","650","7",0,"RG60",0,7,,,0,-1,0
"L611CAP","650","611",0,"L611CAP",0,3,,,0,-1,0
"L632_633","650","632",0,"633",0,7,,,0,-1,0
"L632_645","650","632",0,"645",0,6,,,0,-1,0
"L632_671","650","632",0,"671",0,7,,,0,-1,0
"L633_634_XFM_1","650","633",0,"634",0,7,,,0,-1,0
"L645_646","650","645",0,"646",0,6,,,0,-1,0
"L650_632","650","RG60",0,"632",0,7,,,0,-1,0
"L671_680","650","671",0,"680",0,7,,,0,-1,0
"L671_684","650","671",0,"684",0,5,,,0,-1,0
"L671_692_SW","650","671",0,"692",0,7,,,0,-1,0
"L675CAP","650","675",0,"L675CAP",0,7,,,0,-1,0
"L684_611","650","684",0,"611",0,3,,,0,-1,0
"L684_652","650","684",0,"652",0,1,,,0,-1,0
"L692_675","650","692",0,"675",0,7,,,0,-1,0
"LOAD611","650","611",0,"LOAD611",0,3,,,0,-1,0
"LOAD634","650","634",0,"LOAD634",0,7,,,0,-1,0
"LOAD645","650","645",0,"LOAD645",0,2,,,0,-1,0
"LOAD646","650","646",0,"LOAD646",0,6,,,0,-1,0
"LOAD652","650","652",0,"LOAD652",0,1,,,0,-1,0
"LOAD671","650","671",0,"LOAD671",0,7,,,0,-1,0
"LOAD675","650","675",0,"LOAD675",0,7,,,0,-1,0
"LOAD692","650","692",0,"LOAD692",0,5,,,0,-1,0
