# file...... Capacitor_CAP2.csv
# date...... Tue Aug 14 13:25:31 2012
# user...... dpinney
# host...... (null)
# target.... capacitor 57
# trigger... (none)
# interval.. 60
# limit..... 20
# timestamp,switchA,switchB,switchC
2000-01-01 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:01:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:02:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:03:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:04:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:05:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:06:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:07:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:08:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:09:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:10:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:11:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:12:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:13:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:14:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:15:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:16:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:17:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:18:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:19:00 PST,CLOSED,CLOSED,CLOSED
