"Location","LatN","LonW","Tilt","ArrayOutput","TotalAnnualInsolation"
"Abliene TX",32.43,-99.68,15,175,1973.37
"Akron OH",40.92,-81.43,25,135,1505.47
"Alamosa CO",37.45,-105.87,20,194,2154.69
"Albuquerque NM",35.05,-106.62,20,199,2237.94
"Allentown PA",40.65,-75.43,25,140,1565.08
"Alpena MI",45.07,-83.57,30,140,1549.08
"Amarillo TX",35.23,-101.7,20,179,2013.89
"Anchorage AK",61.17,-150.02,40,104,1153.16
"Annette AK",55.03,-131.57,35,103,1145.9
"Arcata CA",40.98,-124.1,25,141,1575.59
"Asheville NC",35.43,-82.53,20,152,1701.36
"Astoria OR",46.15,-123.88,30,118,1316.11
"Atlanta GA",33.65,-84.43,15,158,1776.27
"Atlantic City NJ",39.45,-74.57,20,144,1606.45
"Augusta GA",33.37,-81.97,15,157,1765.68
"Austin TX",30.3,-97.7,15,165,1864.82
"Bakersfield CA",35.42,-119.05,15,179,2024.9
"Baltimore MD",39.18,-76.67,20,145,1618.69
"Baton Rouge LA",30.53,-91.15,15,151,1708.29
"Bethel AK",60.78,-161.8,40,109,1199.05
"Bettles AK",66.92,-151.52,45,109,1181.39
"Big Delta AK",64,-145.73,40,114,1269.39
"Billings MT",45.8,-108.53,30,160,1781.66
"Binghamton NY",42.22,-75.98,25,133,1477.32
"Birmingham AL",33.57,-86.75,15,153,1720.81
"Bismarck ND",46.77,-100.75,30,157,1746.77
"Boise ID",43.57,-116.22,25,162,1815.17
"Boston MA",42.37,-71.03,25,144,1603.52
"Boulder CO",40.02,-105.25,25,170,1897.52
"Bradford PA",41.8,-78.63,25,135,1501.54
"Bridgeport CT",41.17,-73.13,25,141,1568.41
"Bristol TN",36.48,-82.4,20,145,1627.55
"Brownsville TX",25.9,-97.43,15,158,1787.74
"Buffalo NY",42.93,-78.73,25,133,1485.83
"Burlington VT",44.47,-73.15,30,139,1545.54
"Burns OR",43.58,-119.05,25,164,1824.13
"Cape Hatteras NC",35.27,-75.55,20,156,1757.36
"Caribou ME",46.87,-68.02,30,137,1518.51
"Casper WY",42.92,-106.47,25,165,1838.44
"Cedar City",37.7,-113.1,20,182,2044.05
"Charleston SC",32.9,-80.03,15,158,1786.35
"Charlotte NM",35.22,-80.93,20,157,1760.46
"Chattanooga TN",35.03,-85.2,15,148,1657.76
"Cheyenne WY",41.15,-104.82,25,164,1829.32
"Chicago IL",41.78,-87.75,25,141,1571
"Cleveland OH",41.4,-81.85,25,134,1495.35
"Cold Bay AK",55.2,-162.72,35,86,956.6
"Colorado Springs CO",38.82,-104.72,20,171,1902.68
"Columbia MO",38.82,-92.22,20,154,1724.8
"Columbus GA",32.52,-84.95,15,159,1788.38
