# file...... Capacitor_CAP134.csv
# date...... Fri Apr 05 14:29:52 2013
# user...... dwp0
# host...... (null)
# target.... capacitor 434
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,switchA,switchB,switchC
2012-04-03 00:00:00 PDT,CLOSED,CLOSED,CLOSED
2012-04-03 01:00:00 PDT,OPEN,OPEN,CLOSED
2012-04-03 02:00:00 PDT,OPEN,OPEN,CLOSED
2012-04-03 03:00:00 PDT,CLOSED,OPEN,CLOSED
2012-04-03 04:00:00 PDT,CLOSED,OPEN,CLOSED
2012-04-03 05:00:00 PDT,CLOSED,OPEN,CLOSED
2012-04-03 06:00:00 PDT,CLOSED,OPEN,CLOSED
2012-04-03 07:00:00 PDT,CLOSED,OPEN,OPEN
2012-04-03 08:00:00 PDT,OPEN,OPEN,OPEN
2012-04-03 09:00:00 PDT,OPEN,OPEN,OPEN
2012-04-03 10:00:00 PDT,OPEN,OPEN,OPEN
2012-04-03 11:00:00 PDT,OPEN,OPEN,OPEN
2012-04-03 12:00:00 PDT,OPEN,OPEN,OPEN
2012-04-03 13:00:00 PDT,OPEN,OPEN,OPEN
2012-04-03 14:00:00 PDT,OPEN,OPEN,OPEN
2012-04-03 15:00:00 PDT,OPEN,OPEN,OPEN
2012-04-03 16:00:00 PDT,OPEN,OPEN,OPEN
2012-04-03 17:00:00 PDT,OPEN,OPEN,OPEN
2012-04-03 18:00:00 PDT,OPEN,OPEN,CLOSED
2012-04-03 19:00:00 PDT,OPEN,OPEN,CLOSED
2012-04-03 20:00:00 PDT,OPEN,OPEN,CLOSED
2012-04-03 21:00:00 PDT,OPEN,OPEN,CLOSED
2012-04-03 22:00:00 PDT,OPEN,OPEN,CLOSED
2012-04-03 23:00:00 PDT,OPEN,OPEN,OPEN
2012-04-04 00:00:00 PDT,CLOSED,OPEN,OPEN
2012-04-04 01:00:00 PDT,OPEN,OPEN,CLOSED
2012-04-04 02:00:00 PDT,CLOSED,OPEN,CLOSED
2012-04-04 03:00:00 PDT,CLOSED,OPEN,CLOSED
2012-04-04 04:00:00 PDT,OPEN,OPEN,CLOSED
2012-04-04 05:00:00 PDT,OPEN,OPEN,OPEN
2012-04-04 06:00:00 PDT,CLOSED,OPEN,CLOSED
