Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE, 2.01693E-79,     3.59, 1.73689E-79,    63.25, 3.25936E-79,  -149.03,          0,     0.00, 1.33997E-94,   153.43, 2.01693E-79,  -176.41, 1.73689E-79,  -116.75, 3.25936E-79,    30.97,          0,     0.00, 1.33997E-94,   -26.57
Transformer.SUBXF, 2.01693E-79,  -176.41, 1.73689E-79,  -116.75, 3.25936E-79,    30.97,          0,     0.00, 5.99255E-95,     0.00, 9.66446E-78,     3.59, 8.3226E-78,    63.25, 1.56178E-77,  -149.03,          0,     0.00, 4.55022E-85,    61.94
Transformer.XFM1, 2.02436E-84,     5.53, 1.56485E-84,    62.65, 3.16004E-84,  -149.89,          0,     0.00, 3.43949E-88,   -60.86, 1.91761E-92,    36.87, 2.30114E-92,   -90.00, 1.71517E-92,  -153.43,          0,     0.00, 1.91761E-92,   -90.00
Line.L1, 1.00776E-77,  -161.69, 8.51417E-78,  -110.92, 1.68102E-77,    41.41,          0,     0.00, 7.61769E-83,   120.57, 1.00411E-77,    18.37, 8.48552E-78,    69.10, 1.67532E-77,  -138.54,          0,     0.00, 9.54984E-83,   -54.21
Line.L2, 6.36383E-79,    96.88, 5.50389E-79,   120.44, 1.1619E-78,   -72.20,          0,     0.00, 6.86788E-84,   -12.78, 6.36134E-79,   -83.81, 5.53472E-79,   -60.07, 1.1643E-78,   107.22,          0,     0.00, 3.80981E-84,   171.52
Line.L3, 1.53598E-78,    91.49, 1.54303E-78,   127.88, 2.92499E-78,   -70.27,          0,     0.00, 6.6733E-83,    87.51, 1.53646E-78,   -88.83, 1.5457E-78,   -52.34, 2.92717E-78,   109.48,          0,     0.00, 6.73558E-83,   -89.92
Line.L4, 1.08181E-77,  -150.48, 9.78678E-78,  -100.60, 1.86887E-77,    53.13,          0,     0.00, 6.65928E-83,   169.34, 1.07669E-77,    29.64, 9.7457E-78,    79.47, 1.86084E-77,  -126.77,          0,     0.00, 8.30164E-83,    -7.87
Line.L5, 1.31022E-77,  -137.48, 9.75673E-78,   -92.69, 2.11728E-77,    61.46,          0,     0.00, 3.12165E-83,   -93.05, 1.30981E-77,    42.53, 9.75317E-78,    87.32, 2.11659E-77,  -118.53,          0,     0.00, 2.96241E-83,    85.65
Line.L6, 3.54184E-78,    85.14, 1.33307E-78,   172.92, 3.83244E-78,   -74.52,          0,     0.00, 9.11142E-83,   152.17, 3.54489E-78,   -95.10, 1.32905E-78,    -7.56, 3.83886E-78,   105.13,          0,     0.00, 9.04131E-83,   -25.51
Line.L7, 2.51406E-79,    35.24, 2.8433E-79,  -173.89, 1.3845E-79,   -56.02,          0,     0.00, 3.42924E-84,    68.43, 2.52712E-79,  -144.94, 2.83669E-79,     5.92, 1.38244E-79,   123.01,          0,     0.00, 2.94129E-84,  -110.96
Line.L8, 7.84797E-79,   101.09, 1.42301E-78,   117.51, 2.18703E-78,   -68.31,          0,     0.00, 6.24245E-83,    93.74, 7.82646E-79,   -80.29, 1.43101E-78,   -62.97, 2.19056E-78,   110.93,          0,     0.00, 5.30546E-83,   -84.19
Line.L9, 1.55076E-80,    45.94, 5.55339E-79,   119.62, 5.59895E-79,   -61.90,          0,     0.00, 2.12023E-84,    -5.83, 2.04914E-80,  -145.42, 5.57848E-79,   -60.78, 5.60135E-79,   117.13,          0,     0.00, 1.11486E-91,   -93.95
Line.L10, 6.26332E-79,    97.28, 3.5038E-81,  -118.03, 6.23477E-79,   -82.53,          0,     0.00, 1.69471E-84,   -11.81, 6.26129E-79,   -83.14, 6.32522E-92,   104.04, 6.26129E-79,    96.86,          0,     0.00, 1.16833E-91,    66.80
