TIME,Demand,Step
2013-12-13 00:00,9094.8,0
2013-12-12 17:00,10442.4,0
2013-12-12 17:05,10505.4,0
2013-12-12 17:10,10464.6,0
2013-12-12 17:15,10528.8,0
2013-12-12 17:20,10599.6,0
2013-12-12 17:25,10614.0,0
2013-12-12 17:30,10843.8,0
2013-12-12 17:35,10951.2,0
2013-12-12 17:40,10926.6,0
2013-12-12 17:45,11004.6,0
2013-12-12 17:50,10916.4,0
2013-12-12 17:55,10926.6,0
2013-12-12 18:00,11032.2,0
2013-12-12 18:05,11120.4,8
2013-12-12 18:10,11049.6,9
2013-12-12 18:15,11163.0,10
2013-12-12 18:20,10957.8,11
2013-12-12 18:25,10818.6,12
2013-12-12 18:30,10820.4,13
2013-12-12 18:35,10974.6,14
2013-12-12 18:40,10947.6,15
2013-12-12 18:45,10975.8,16
2013-12-12 18:50,10971.0,16
2013-12-12 18:55,10800.6,16
2013-12-12 19:00,10860.0,16
2013-12-12 19:05,10873.2,16
2013-12-12 19:10,10743.6,16
2013-12-12 19:15,10729.2,16
2013-12-12 19:20,10854.6,16
2013-12-12 19:25,10876.8,16
2013-12-12 19:30,10905.6,16
2013-12-12 19:35,10865.4,16
2013-12-12 19:40,10858.8,16
2013-12-12 19:45,10846.2,16
2013-12-12 19:50,10771.2,16
2013-12-12 19:55,10795.2,16
2013-12-12 20:00,10770.6,16
2013-12-12 20:05,10630.2,16
2013-12-12 20:10,10913.4,16
2013-12-12 20:15,10868.4,16
2013-12-12 20:20,10801.2,16
2013-12-12 20:25,10728.6,16
2013-12-12 20:30,10801.2,16
2013-12-12 20:35,10541.4,16
2013-12-12 20:40,10517.4,16
2013-12-12 20:45,10390.8,16
2013-12-12 20:50,10464.6,16
2013-12-12 20:55,10360.8,16
2013-12-12 21:00,10521.0,16
2013-12-12 21:05,10416.6,15
2013-12-12 21:10,10404.0,14
2013-12-12 21:15,10277.4,13
2013-12-12 21:20,10320.6,12
2013-12-12 21:25,10350.6,11
2013-12-12 21:30,10344.6,10
2013-12-12 21:35,10209.6,9
2013-12-12 21:40,10346.4,8
2013-12-12 21:45,10455.0,7
2013-12-12 21:50,10328.4,6
2013-12-12 21:55,10017.0,5
2013-12-12 22:00,9987.0,4
2013-12-12 22:05,10073.4,3
2013-12-12 22:10,9825.0,2
2013-12-12 22:15,10129.2,1
2013-12-12 22:20,10049.4,0
2013-12-12 22:25,9941.4,0
2013-12-12 22:30,9981.6,0
2013-12-12 22:35,9877.8,0
2013-12-12 22:40,9828.6,0
2013-12-12 22:45,9770.4,0
2013-12-12 22:50,9698.4,0
2013-12-12 22:55,9512.4,0
2013-12-12 23:00,9666.6,0
2013-12-12 23:05,9607.2,0
2013-12-12 23:10,9397.2,0
2013-12-12 23:15,9241.8,0
2013-12-12 23:20,9447.0,0
2013-12-12 23:25,9313.8,0
2013-12-12 23:30,9289.8,0
2013-12-12 23:35,9240.0,0
2013-12-12 23:40,9075.0,0
2013-12-12 23:45,9073.2,0
2013-12-12 23:50,9291.0,0
2013-12-12 23:55,8968.8,0
