# file...... csv_output/Calib_ID1_Config_ID0_2012-01-19_network_node_recorder.csv
# date...... Tue Feb 25 17:35:07 2014
# user...... afisher
# host...... (null)
# target.... meter 4
# trigger... (none)
# interval.. 300
# limit..... 288
# timestamp,measured_real_power,measured_real_energy
2012-01-19 00:00:00 PST,+4109.2,+99378.4
2012-01-19 00:05:00 PST,+4109.2,+99720.9
2012-01-19 00:10:00 PST,+4109.2,+100063
2012-01-19 00:15:00 PST,+4109.2,+100406
2012-01-19 00:20:00 PST,+4109.2,+100748
2012-01-19 00:25:00 PST,+4109.2,+101091
2012-01-19 00:30:00 PST,+4109.2,+101433
2012-01-19 00:35:00 PST,+4109.2,+101775
2012-01-19 00:40:00 PST,+4109.2,+102118
2012-01-19 00:45:00 PST,+4109.2,+102460
2012-01-19 00:50:00 PST,+4109.2,+102803
2012-01-19 00:55:00 PST,+4109.2,+103145
2012-01-19 01:00:00 PST,+4109.2,+103488
2012-01-19 01:05:00 PST,+4109.2,+103830
2012-01-19 01:10:00 PST,+4109.2,+104173
2012-01-19 01:15:00 PST,+4109.2,+104515
2012-01-19 01:20:00 PST,+4109.2,+104857
2012-01-19 01:25:00 PST,+4109.2,+105200
2012-01-19 01:30:00 PST,+4109.2,+105542
2012-01-19 01:35:00 PST,+4109.2,+105885
2012-01-19 01:40:00 PST,+4109.2,+106227
2012-01-19 01:45:00 PST,+4109.2,+106570
2012-01-19 01:50:00 PST,+4109.2,+106912
2012-01-19 01:55:00 PST,+4109.21,+107254
2012-01-19 02:00:00 PST,+4109.2,+107597
2012-01-19 02:05:00 PST,+4109.2,+107939
2012-01-19 02:10:00 PST,+4109.2,+108282
2012-01-19 02:15:00 PST,+4109.21,+108624
2012-01-19 02:20:00 PST,+4109.21,+108967
2012-01-19 02:25:00 PST,+4109.2,+109309
2012-01-19 02:30:00 PST,+4109.2,+109651
2012-01-19 02:35:00 PST,+4109.2,+109994
2012-01-19 02:40:00 PST,+4109.2,+110336
2012-01-19 02:45:00 PST,+4109.2,+110679
2012-01-19 02:50:00 PST,+4109.21,+111021
2012-01-19 02:55:00 PST,+4109.2,+111364
2012-01-19 03:00:00 PST,+4109.21,+111706
2012-01-19 03:05:00 PST,+4109.21,+112048
2012-01-19 03:10:00 PST,+4109.2,+112391
2012-01-19 03:15:00 PST,+4109.2,+112733
2012-01-19 03:20:00 PST,+4109.2,+113076
2012-01-19 03:25:00 PST,+4109.2,+113418
2012-01-19 03:30:00 PST,+4109.2,+113761
2012-01-19 03:35:00 PST,+4109.2,+114103
2012-01-19 03:40:00 PST,+4109.2,+114446
2012-01-19 03:45:00 PST,+4109.2,+114788
2012-01-19 03:50:00 PST,+4109.2,+115130
2012-01-19 03:55:00 PST,+4109.2,+115473
2012-01-19 04:00:00 PST,+4109.2,+115815
2012-01-19 04:05:00 PST,+4109.2,+116158
2012-01-19 04:10:00 PST,+4109.2,+116500
2012-01-19 04:15:00 PST,+4109.2,+116843
2012-01-19 04:20:00 PST,+4109.2,+117185
2012-01-19 04:25:00 PST,+4109.2,+117527
2012-01-19 04:30:00 PST,+4109.21,+117870
2012-01-19 04:35:00 PST,+4109.2,+118212
2012-01-19 04:40:00 PST,+4109.2,+118555
2012-01-19 04:45:00 PST,+4109.2,+118897
2012-01-19 04:50:00 PST,+4109.2,+119240
2012-01-19 04:55:00 PST,+4109.2,+119582
2012-01-19 05:00:00 PST,+4109.21,+119924
2012-01-19 05:05:00 PST,+4109.2,+120267
2012-01-19 05:10:00 PST,+4109.2,+120609
2012-01-19 05:15:00 PST,+4109.2,+120952
2012-01-19 05:20:00 PST,+4109.2,+121294
2012-01-19 05:25:00 PST,+4109.2,+121637
2012-01-19 05:30:00 PST,+4109.2,+121979
2012-01-19 05:35:00 PST,+4109.21,+122321
2012-01-19 05:40:00 PST,+4109.2,+122664
2012-01-19 05:45:00 PST,+4109.21,+123006
2012-01-19 05:50:00 PST,+4109.2,+123349
2012-01-19 05:55:00 PST,+4109.2,+123691
2012-01-19 06:00:00 PST,+4109.2,+124034
2012-01-19 06:05:00 PST,+4109.2,+124376
2012-01-19 06:10:00 PST,+4109.2,+124719
2012-01-19 06:15:00 PST,+4109.2,+125061
2012-01-19 06:20:00 PST,+4109.2,+125403
2012-01-19 06:25:00 PST,+4109.2,+125746
2012-01-19 06:30:00 PST,+4109.2,+126088
2012-01-19 06:35:00 PST,+4109.2,+126431
2012-01-19 06:40:00 PST,+4109.2,+126773
2012-01-19 06:45:00 PST,+4109.2,+127116
2012-01-19 06:50:00 PST,+4109.2,+127458
2012-01-19 06:55:00 PST,+4109.2,+127800
2012-01-19 07:00:00 PST,+4109.2,+128143
2012-01-19 07:05:00 PST,+4109.2,+128485
2012-01-19 07:10:00 PST,+4109.2,+128828
2012-01-19 07:15:00 PST,+4109.2,+129170
2012-01-19 07:20:00 PST,+4109.2,+129513
2012-01-19 07:25:00 PST,+4109.2,+129855
2012-01-19 07:30:00 PST,+4109.2,+130197
2012-01-19 07:35:00 PST,+4109.2,+130540
2012-01-19 07:40:00 PST,+4109.2,+130882
2012-01-19 07:45:00 PST,+4109.2,+131225
2012-01-19 07:50:00 PST,+4109.2,+131567
2012-01-19 07:55:00 PST,+4109.2,+131910
2012-01-19 08:00:00 PST,+4109.2,+132252
2012-01-19 08:05:00 PST,+4109.2,+132595
2012-01-19 08:10:00 PST,+4109.2,+132937
2012-01-19 08:15:00 PST,+4109.2,+133279
2012-01-19 08:20:00 PST,+4109.2,+133622
2012-01-19 08:25:00 PST,+4109.2,+133964
2012-01-19 08:30:00 PST,+4109.2,+134307
2012-01-19 08:35:00 PST,+4109.21,+134649
2012-01-19 08:40:00 PST,+4109.2,+134992
2012-01-19 08:45:00 PST,+4109.2,+135334
2012-01-19 08:50:00 PST,+4109.2,+135676
2012-01-19 08:55:00 PST,+4109.2,+136019
2012-01-19 09:00:00 PST,+4109.2,+136361
2012-01-19 09:05:00 PST,+4109.2,+136704
2012-01-19 09:10:00 PST,+4109.2,+137046
2012-01-19 09:15:00 PST,+4109.2,+137389
2012-01-19 09:20:00 PST,+4109.2,+137731
2012-01-19 09:25:00 PST,+4109.2,+138073
2012-01-19 09:30:00 PST,+4109.2,+138416
2012-01-19 09:35:00 PST,+4109.2,+138758
2012-01-19 09:40:00 PST,+4109.2,+139101
2012-01-19 09:45:00 PST,+4109.2,+139443
2012-01-19 09:50:00 PST,+4109.2,+139786
2012-01-19 09:55:00 PST,+4109.2,+140128
2012-01-19 10:00:00 PST,+4109.2,+140470
2012-01-19 10:05:00 PST,+4109.2,+140813
2012-01-19 10:10:00 PST,+4109.2,+141155
2012-01-19 10:15:00 PST,+4109.2,+141498
2012-01-19 10:20:00 PST,+4109.2,+141840
2012-01-19 10:25:00 PST,+4109.2,+142183
2012-01-19 10:30:00 PST,+4109.2,+142525
2012-01-19 10:35:00 PST,+4109.2,+142868
2012-01-19 10:40:00 PST,+4109.2,+143210
2012-01-19 10:45:00 PST,+4109.2,+143552
2012-01-19 10:50:00 PST,+4109.2,+143895
