,Bus1,Bus2,C0,C1,CMatrix,Count,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,RMatrix,Rg,Rho,Spacing,Units,X0,X1,XMatrix,Xg,Yprim
jumper,799.2,799r.2,0.0,0.0,[0.0],36,600.0,,1.0,,jumper,400.0,0,0,1,0.001,0.001,[0.001],0.01805,100.0,,0,0.0,0.0,[0.0],0.155081,"[1000.0000000000001, 0.0, -1000.0000000000001, 0.0, -1000.0000000000001, 0.0, 1000.0000000000001, 0.0]"
l1,701.1.2.3,702.1.2.3,1.6,3.4,"[64.2184109, 0.0, 0.0, 0.0, 64.2184109, 0.0, 0.0, 0.0, 64.2184109]",36,600.0,,0.96,722,l1,400.0,0,0,3,0.1784,0.058,"[0.089981061, 0.030852273, 0.023371212, 0.030852273, 0.085, 0.030852273, 0.023371212, 0.030852273, 0.089981061]",0.01805,100.0,,0,0.4047,0.1206,"[0.056306818, -0.006174242, -0.011496212, -0.006174242, 0.050719697, -0.006174242, -0.011496212, -0.006174242, 0.056306818]",0.155081,"[7.6148534665651395, -6.1743698565043506, -0.8130526312842821, 2.6780677272559608, -0.06550028140733677, 1.6435503062030152, -7.6148534665651395, 6.174381477194214, 0.8130526312842821, -2.6780677272559608, 0.06550028140733677, -1.6435503062030152, -0.8130526312842821, 2.6780677272559608, 8.278089312423777, -7.0017660539127835, -0.8130526312842823, 2.6780677272559616, 0.8130526312842821, -2.6780677272559608, -8.278089312423777, 7.001777674602647, 0.8130526312842823, -2.6780677272559616, -0.06550028140733677, 1.6435503062030152, -0.8130526312842823, 2.6780677272559616, 7.61485346656514, -6.174369856504351, 0.06550028140733677, -1.6435503062030152, 0.8130526312842823, -2.6780677272559616, -7.61485346656514, 6.174381477194215, -7.6148534665651395, 6.174381477194214, 0.8130526312842821, -2.6780677272559608, 0.06550028140733677, -1.6435503062030152, 7.6148534665651395, -6.1743698565043506, -0.8130526312842821, 2.6780677272559608, -0.06550028140733677, 1.6435503062030152, 0.8130526312842821, -2.6780677272559608, -8.278089312423777, 7.001777674602647, 0.8130526312842823, -2.6780677272559616, -0.8130526312842821, 2.6780677272559608, 8.278089312423777, -7.0017660539127835, -0.8130526312842823, 2.6780677272559616, 0.06550028140733677, -1.6435503062030152, 0.8130526312842823, -2.6780677272559616, -7.61485346656514, 6.174381477194215, -0.06550028140733677, 1.6435503062030152, -0.8130526312842823, 2.6780677272559616, 7.61485346656514, -6.174369856504351]"
l10,705.1.2.3,712.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,0.24,724,l10,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[10.314805262013532, -3.5970007135999422, -2.3031241047362876, 0.431355478503121, -1.902423608669731, 0.6987725861841672, -10.314805262013532, 3.5970020828472293, 2.3031241047362876, -0.431355478503121, 1.902423608669731, -0.6987725861841672, -2.3031241047362876, 0.431355478503121, 10.529337574413288, -3.311830755905422, -2.3031241047362876, 0.43135547850312084, 2.3031241047362876, -0.431355478503121, -10.529337574413288, 3.311832125152709, 2.3031241047362876, -0.43135547850312084, -1.902423608669731, 0.6987725861841672, -2.3031241047362876, 0.43135547850312084, 10.314805262013532, -3.5970007135999422, 1.902423608669731, -0.6987725861841672, 2.3031241047362876, -0.43135547850312084, -10.314805262013532, 3.5970020828472293, -10.314805262013532, 3.5970020828472293, 2.3031241047362876, -0.431355478503121, 1.902423608669731, -0.6987725861841672, 10.314805262013532, -3.5970007135999422, -2.3031241047362876, 0.431355478503121, -1.902423608669731, 0.6987725861841672, 2.3031241047362876, -0.431355478503121, -10.529337574413288, 3.311832125152709, 2.3031241047362876, -0.43135547850312084, -2.3031241047362876, 0.431355478503121, 10.529337574413288, -3.311830755905422, -2.3031241047362876, 0.43135547850312084, 1.902423608669731, -0.6987725861841672, 2.3031241047362876, -0.43135547850312084, -10.314805262013532, 3.5970020828472293, -1.902423608669731, 0.6987725861841672, -2.3031241047362876, 0.43135547850312084, 10.314805262013532, -3.5970007135999422]"
l11,706.1.2.3,725.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,0.28,724,l11,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[8.841261653154454, -3.083143044985314, -1.9741063754882464, 0.36973326728838957, -1.630648807431198, 0.5989479310150003, -8.841261653154454, 3.0831446424404825, 1.9741063754882464, -0.36973326728838957, 1.630648807431198, -0.5989479310150003, -1.9741063754882464, 0.36973326728838957, 9.025146492354246, -2.8387116526757246, -1.9741063754882462, 0.3697332672883892, 1.9741063754882464, -0.36973326728838957, -9.025146492354246, 2.838713250130893, 1.9741063754882462, -0.3697332672883892, -1.630648807431198, 0.5989479310150003, -1.9741063754882462, 0.3697332672883892, 8.841261653154454, -3.083143044985313, 1.630648807431198, -0.5989479310150003, 1.9741063754882462, -0.3697332672883892, -8.841261653154454, 3.0831446424404816, -8.841261653154454, 3.0831446424404825, 1.9741063754882464, -0.36973326728838957, 1.630648807431198, -0.5989479310150003, 8.841261653154454, -3.083143044985314, -1.9741063754882464, 0.36973326728838957, -1.630648807431198, 0.5989479310150003, 1.9741063754882464, -0.36973326728838957, -9.025146492354246, 2.838713250130893, 1.9741063754882462, -0.3697332672883892, -1.9741063754882464, 0.36973326728838957, 9.025146492354246, -2.8387116526757246, -1.9741063754882462, 0.3697332672883892, 1.630648807431198, -0.5989479310150003, 1.9741063754882462, -0.3697332672883892, -8.841261653154454, 3.0831446424404816, -1.630648807431198, 0.5989479310150003, -1.9741063754882462, 0.3697332672883892, 8.841261653154454, -3.083143044985313]"
l12,707.1.2.3,724.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,0.76,724,l12,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[3.2573069248463784, -1.1358910586335924, -0.7273023488640908, 0.13621751952730135, -0.6007653501062308, 0.2206650272160527, -3.2573069248463784, 1.1358953945833354, 0.7273023488640908, -0.13621751952730135, 0.6007653501062308, -0.2206650272160527, -0.7273023488640908, 0.13621751952730135, 3.325053970867354, -1.0458373877826914, -0.7273023488640908, 0.1362175195273014, 0.7273023488640908, -0.13621751952730135, -3.325053970867354, 1.0458417237324344, 0.7273023488640908, -0.1362175195273014, -0.6007653501062308, 0.2206650272160527, -0.7273023488640908, 0.1362175195273014, 3.257306924846378, -1.1358910586335924, 0.6007653501062308, -0.2206650272160527, 0.7273023488640908, -0.1362175195273014, -3.257306924846378, 1.1358953945833354, -3.2573069248463784, 1.1358953945833354, 0.7273023488640908, -0.13621751952730135, 0.6007653501062308, -0.2206650272160527, 3.2573069248463784, -1.1358910586335924, -0.7273023488640908, 0.13621751952730135, -0.6007653501062308, 0.2206650272160527, 0.7273023488640908, -0.13621751952730135, -3.325053970867354, 1.0458417237324344, 0.7273023488640908, -0.1362175195273014, -0.7273023488640908, 0.13621751952730135, 3.325053970867354, -1.0458373877826914, -0.7273023488640908, 0.1362175195273014, 0.6007653501062308, -0.2206650272160527, 0.7273023488640908, -0.1362175195273014, -3.257306924846378, 1.1358953945833354, -0.6007653501062308, 0.2206650272160527, -0.7273023488640908, 0.1362175195273014, 3.257306924846378, -1.1358910586335924]"
l13,707.1.2.3,722.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,0.12,724,l13,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[20.629610524027065, -7.194003481070815, -4.606248209472575, 0.862710957006242, -3.804847217339462, 1.3975451723683343, -20.629610524027065, 7.194004165694459, 4.606248209472575, -0.862710957006242, 3.804847217339462, -1.3975451723683343, -4.606248209472575, 0.862710957006242, 21.058675148826577, -6.623663565681774, -4.606248209472575, 0.8627109570062417, 4.606248209472575, -0.862710957006242, -21.058675148826577, 6.623664250305418, 4.606248209472575, -0.8627109570062417, -3.804847217339462, 1.3975451723683343, -4.606248209472575, 0.8627109570062417, 20.629610524027065, -7.194003481070815, 3.804847217339462, -1.3975451723683343, 4.606248209472575, -0.8627109570062417, -20.629610524027065, 7.194004165694459, -20.629610524027065, 7.194004165694459, 4.606248209472575, -0.862710957006242, 3.804847217339462, -1.3975451723683343, 20.629610524027065, -7.194003481070815, -4.606248209472575, 0.862710957006242, -3.804847217339462, 1.3975451723683343, 4.606248209472575, -0.862710957006242, -21.058675148826577, 6.623664250305418, 4.606248209472575, -0.8627109570062417, -4.606248209472575, 0.862710957006242, 21.058675148826577, -6.623663565681774, -4.606248209472575, 0.8627109570062417, 3.804847217339462, -1.3975451723683343, 4.606248209472575, -0.8627109570062417, -20.629610524027065, 7.194004165694459, -3.804847217339462, 1.3975451723683343, -4.606248209472575, 0.8627109570062417, 20.629610524027065, -7.194003481070815]"
l14,708.1.2.3,733.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.32,723,l14,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[11.905850074017339, -6.785507507007221, -3.4282456601267683, 1.877745170888344, -2.344109259630509, 2.0740027700776253, -11.905850074017339, 6.785509774847732, 3.4282456601267683, -1.877745170888344, 2.344109259630509, -2.0740027700776253, -3.4282456601267683, 1.877745170888344, 12.703881006006329, -6.464725985970617, -3.4282456601267683, 1.877745170888344, 3.4282456601267683, -1.877745170888344, -12.703881006006329, 6.464728253811128, 3.4282456601267683, -1.877745170888344, -2.344109259630509, 2.0740027700776253, -3.4282456601267683, 1.877745170888344, 11.905850074017339, -6.785507507007222, 2.344109259630509, -2.0740027700776253, 3.4282456601267683, -1.877745170888344, -11.905850074017339, 6.785509774847733, -11.905850074017339, 6.785509774847732, 3.4282456601267683, -1.877745170888344, 2.344109259630509, -2.0740027700776253, 11.905850074017339, -6.785507507007221, -3.4282456601267683, 1.877745170888344, -2.344109259630509, 2.0740027700776253, 3.4282456601267683, -1.877745170888344, -12.703881006006329, 6.464728253811128, 3.4282456601267683, -1.877745170888344, -3.4282456601267683, 1.877745170888344, 12.703881006006329, -6.464725985970617, -3.4282456601267683, 1.877745170888344, 2.344109259630509, -2.0740027700776253, 3.4282456601267683, -1.877745170888344, -11.905850074017339, 6.785509774847733, -2.344109259630509, 2.0740027700776253, -3.4282456601267683, 1.877745170888344, 11.905850074017339, -6.785507507007222]"
l15,708.1.2.3,732.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,0.32,724,l15,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[7.736103946510148, -2.6977497364723724, -1.7273430785522161, 0.3235166088773409, -1.4268177065022982, 0.5240794396381252, -7.736103946510148, 2.697751562135422, 1.7273430785522161, -0.3235166088773409, 1.4268177065022982, -0.5240794396381252, -1.7273430785522161, 0.3235166088773409, 7.897003180809967, -2.483872268201482, -1.7273430785522157, 0.3235166088773407, 1.7273430785522161, -0.3235166088773409, -7.897003180809967, 2.483874093864532, 1.7273430785522157, -0.3235166088773407, -1.4268177065022982, 0.5240794396381252, -1.7273430785522157, 0.3235166088773407, 7.7361039465101475, -2.6977497364723715, 1.4268177065022982, -0.5240794396381252, 1.7273430785522157, -0.3235166088773407, -7.7361039465101475, 2.697751562135421, -7.736103946510148, 2.697751562135422, 1.7273430785522161, -0.3235166088773409, 1.4268177065022982, -0.5240794396381252, 7.736103946510148, -2.6977497364723724, -1.7273430785522161, 0.3235166088773409, -1.4268177065022982, 0.5240794396381252, 1.7273430785522161, -0.3235166088773409, -7.897003180809967, 2.483874093864532, 1.7273430785522157, -0.3235166088773407, -1.7273430785522161, 0.3235166088773409, 7.897003180809967, -2.483872268201482, -1.7273430785522157, 0.3235166088773407, 1.4268177065022982, -0.5240794396381252, 1.7273430785522157, -0.3235166088773407, -7.7361039465101475, 2.697751562135421, -1.4268177065022982, 0.5240794396381252, -1.7273430785522157, 0.3235166088773407, 7.7361039465101475, -2.6977497364723715]"
l16,709.1.2.3,731.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.6,723,l16,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[6.34978670614258, -3.6189342943844975, -1.8283976854009434, 1.0014640911404502, -1.2501916051362711, 1.1061348107080669, -6.34978670614258, 3.6189385465854564, 1.8283976854009434, -1.0014640911404502, 1.2501916051362711, -1.1061348107080669, -1.8283976854009434, 1.0014640911404502, 6.775403203203377, -3.447850816498311, -1.8283976854009436, 1.0014640911404507, 1.8283976854009434, -1.0014640911404502, -6.775403203203377, 3.44785506869927, 1.8283976854009436, -1.0014640911404507, -1.2501916051362711, 1.1061348107080669, -1.8283976854009436, 1.0014640911404507, 6.34978670614258, -3.618934294384498, 1.2501916051362711, -1.1061348107080669, 1.8283976854009436, -1.0014640911404507, -6.34978670614258, 3.618938546585457, -6.34978670614258, 3.6189385465854564, 1.8283976854009434, -1.0014640911404502, 1.2501916051362711, -1.1061348107080669, 6.34978670614258, -3.6189342943844975, -1.8283976854009434, 1.0014640911404502, -1.2501916051362711, 1.1061348107080669, 1.8283976854009434, -1.0014640911404502, -6.775403203203377, 3.44785506869927, 1.8283976854009436, -1.0014640911404507, -1.8283976854009434, 1.0014640911404502, 6.775403203203377, -3.447850816498311, -1.8283976854009436, 1.0014640911404507, 1.2501916051362711, -1.1061348107080669, 1.8283976854009436, -1.0014640911404507, -6.34978670614258, 3.618938546585457, -1.2501916051362711, 1.1061348107080669, -1.8283976854009436, 1.0014640911404507, 6.34978670614258, -3.618934294384498]"
l17,709.1.2.3,708.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.32,723,l17,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[11.905850074017339, -6.785507507007221, -3.4282456601267683, 1.877745170888344, -2.344109259630509, 2.0740027700776253, -11.905850074017339, 6.785509774847732, 3.4282456601267683, -1.877745170888344, 2.344109259630509, -2.0740027700776253, -3.4282456601267683, 1.877745170888344, 12.703881006006329, -6.464725985970617, -3.4282456601267683, 1.877745170888344, 3.4282456601267683, -1.877745170888344, -12.703881006006329, 6.464728253811128, 3.4282456601267683, -1.877745170888344, -2.344109259630509, 2.0740027700776253, -3.4282456601267683, 1.877745170888344, 11.905850074017339, -6.785507507007222, 2.344109259630509, -2.0740027700776253, 3.4282456601267683, -1.877745170888344, -11.905850074017339, 6.785509774847733, -11.905850074017339, 6.785509774847732, 3.4282456601267683, -1.877745170888344, 2.344109259630509, -2.0740027700776253, 11.905850074017339, -6.785507507007221, -3.4282456601267683, 1.877745170888344, -2.344109259630509, 2.0740027700776253, 3.4282456601267683, -1.877745170888344, -12.703881006006329, 6.464728253811128, 3.4282456601267683, -1.877745170888344, -3.4282456601267683, 1.877745170888344, 12.703881006006329, -6.464725985970617, -3.4282456601267683, 1.877745170888344, 2.344109259630509, -2.0740027700776253, 3.4282456601267683, -1.877745170888344, -11.905850074017339, 6.785509774847733, -2.344109259630509, 2.0740027700776253, -3.4282456601267683, 1.877745170888344, 11.905850074017339, -6.785507507007222]"
