Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 230, 1,   0.963719,    3.4, 7.2574E-6, 2,    1.24554,  -98.1, 9.3797E-6, 3,     1.4141,  123.8, 0.000010649
"799", 4.8, 1,    129.311,   -7.7,  0.046661, 2,    197.078,  -98.3,  0.071114, 3,    177.034,  129.5,  0.063882
"709", 4.8, 1,    197.109,    0.4,  0.071126, 2,    234.357,  -98.6,  0.084566, 3,     281.48,  125.1,   0.10157
"775", 0.48, 1,    19.7114,    0.4,  0.071127, 2,    23.4365,  -98.6,  0.084569, 3,     28.147,  125.1,   0.10157
"701", 4.8, 1,    180.053,    0.4,  0.064971, 2,    213.995,  -98.5,  0.077219, 3,    257.642,  125.2,  0.092968
"702", 4.8, 1,    186.927,    0.4,  0.067451, 2,      223.1,  -98.5,  0.080504, 3,    268.039,  125.0,   0.09672
"705", 4.8, 1,    187.395,    0.3,   0.06762, 2,    223.593,  -98.5,  0.080682, 3,    268.838,  125.0,  0.097009
"713", 4.8, 1,    187.778,    0.4,  0.067759, 2,     224.81,  -98.6,  0.081121, 3,    269.664,  124.9,  0.097306
"703", 4.8, 1,    193.177,    0.5,  0.069707, 2,    230.082,  -98.6,  0.083024, 3,    276.204,  125.1,  0.099666
"727", 4.8, 1,    193.651,    0.5,  0.069878, 2,     230.61,  -98.6,  0.083214, 3,    276.669,  125.1,  0.099834
"730", 4.8, 1,    196.255,    0.4,  0.070818, 2,    233.291,  -98.6,  0.084182, 3,    280.307,  125.1,   0.10115
"704", 4.8, 1,    188.482,    0.4,  0.068013, 2,     227.27,  -98.6,  0.082009, 3,    271.542,  124.7,  0.097984
"714", 4.8, 1,    188.501,    0.4,  0.068019, 2,    227.384,  -98.6,   0.08205, 3,    271.553,  124.7,  0.097988
"720", 4.8, 1,    189.453,    0.2,  0.068363, 2,    230.027,  -98.7,  0.083004, 3,    274.297,  124.3,  0.098978
"742", 4.8, 1,    187.426,    0.3,  0.067631, 2,     223.98,  -98.5,  0.080822, 3,    269.141,  125.0,  0.097118
"712", 4.8, 1,     187.65,    0.3,  0.067712, 2,    223.594,  -98.5,  0.080683, 3,    269.084,  125.0,  0.097097
"706", 4.8, 1,    189.457,    0.2,  0.068364, 2,    230.418,  -98.7,  0.083145, 3,    274.578,  124.2,   0.09908
"725", 4.8, 1,    189.453,    0.2,  0.068363, 2,    230.614,  -98.7,  0.083216, 3,    274.699,  124.2,  0.099123
"707", 4.8, 1,    189.639,    0.1,   0.06843, 2,    232.825,  -98.9,  0.084013, 3,    276.197,  123.8,  0.099664
"724", 4.8, 1,    189.637,    0.1,  0.068429, 2,     233.36,  -98.9,  0.084207, 3,    276.536,  123.7,  0.099787
"722", 4.8, 1,    189.659,    0.1,  0.068437, 2,    233.101,  -98.9,  0.084113, 3,    276.387,  123.8,  0.099733
"708", 4.8, 1,    198.461,    0.5,  0.071613, 2,    235.729,  -98.7,  0.085061, 3,     283.06,  125.2,   0.10214
"733", 4.8, 1,    199.655,    0.5,  0.072044, 2,    237.093,  -98.7,  0.085553, 3,    284.391,  125.2,   0.10262
"732", 4.8, 1,    198.609,    0.4,  0.071667, 2,    235.731,  -98.7,  0.085062, 3,    283.327,  125.2,   0.10224
"731", 4.8, 1,    197.122,    0.4,   0.07113, 2,    234.968,  -98.6,  0.084787, 3,    282.017,  125.0,   0.10176
"710", 4.8, 1,    202.388,    0.4,   0.07303, 2,    239.481,  -98.8,  0.086415, 3,    287.671,  125.2,    0.1038
"735", 4.8, 1,    202.591,    0.3,  0.073104, 2,    239.482,  -98.8,  0.086416, 3,    287.924,  125.2,    0.1039
"736", 4.8, 1,    202.392,    0.4,  0.073032, 2,    240.421,  -98.9,  0.086754, 3,    288.222,  125.0,     0.104
"711", 4.8, 1,    204.758,    0.6,  0.073886, 2,    241.448,  -98.9,  0.087125, 3,    289.473,  125.4,   0.10445
"741", 4.8, 1,    204.936,    0.6,   0.07395, 2,    241.451,  -98.9,  0.087126, 3,    289.792,  125.4,   0.10457
"740", 4.8, 1,    204.956,    0.6,  0.073957, 2,    241.448,  -98.9,  0.087125, 3,    289.738,  125.4,   0.10455
"718", 4.8, 1,    188.616,    0.6,  0.068061, 2,    227.865,  -98.6,  0.082224, 3,     271.51,  124.7,  0.097973
"744", 4.8, 1,    194.002,    0.6,  0.070005, 2,    231.174,  -98.7,  0.083418, 3,    276.969,  125.1,  0.099943
"734", 4.8, 1,    201.839,    0.5,  0.072832, 2,    239.076,  -98.8,  0.086269, 3,     286.76,  125.2,   0.10348
"737", 4.8, 1,    203.368,    0.8,  0.073384, 2,    240.867,  -98.8,  0.086915, 3,     287.91,  125.3,   0.10389
"738", 4.8, 1,    204.183,    0.8,  0.073678, 2,    241.434,  -98.9,   0.08712, 3,    288.673,  125.4,   0.10417
"728", 4.8, 1,    194.168,    0.6,  0.070064, 2,    231.414,  -98.7,  0.083504, 3,    277.204,  125.0,   0.10003
"729", 4.8, 1,    194.077,    0.6,  0.070032, 2,     231.31,  -98.7,  0.083467, 3,     276.96,  125.1,  0.099939
"799R", 4.8, 1,    166.611,    0.6,   0.06012, 2,    197.078,  -98.3,  0.071114, 3,    237.564,  125.5,  0.085723
