Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Transformer.SUBXF"     ,   1,      2588.4,      1572.6,       482.0,       292.9,         0.0,         0.0
"Transformer.SUBXF"     ,   2,     -2512.9,     -1270.8
"Transformer.XFM1"      ,   1,        -0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Transformer.XFM1"      ,   2,         0.0,        -0.0
"Line.L1"               ,   1,      1839.9,       892.5,         0.0,         0.0,         0.0,         0.0
"Line.L1"               ,   2,     -1828.9,      -881.7
"Line.L2"               ,   1,       180.0,        84.6,         0.0,         0.0,         0.0,         0.0
"Line.L2"               ,   2,      -179.7,       -84.6
"Line.L3"               ,   1,       537.9,       258.1,         0.0,         0.0,         0.0,         0.0
"Line.L3"               ,   2,      -536.9,      -257.7
"Line.L4"               ,   1,      1111.1,       538.9,         0.0,         0.0,         0.0,         0.0
"Line.L4"               ,   2,     -1105.2,      -533.5
"Line.L5"               ,   1,       251.5,       124.9,         0.0,         0.0,         0.0,         0.0
"Line.L5"               ,   2,      -251.2,      -124.9
"Line.L6"               ,   1,       853.7,       408.6,         0.0,         0.0,         0.0,         0.0
"Line.L6"               ,   2,      -849.6,      -406.4
"Line.L7"               ,   1,       119.8,        56.2,         0.0,         0.0,         0.0,         0.0
"Line.L7"               ,   2,      -119.7,       -56.3
"Line.L8"               ,   1,       331.2,       161.1,         0.0,         0.0,         0.0,         0.0
"Line.L8"               ,   2,      -330.2,      -160.8
"Line.L9"               ,   1,        94.6,        44.7,         0.0,         0.0,         0.0,         0.0
"Line.L9"               ,   2,       -94.6,       -44.7
"Line.L10"              ,   1,        85.1,        40.0,         0.0,         0.0,         0.0,         0.0
"Line.L10"              ,   2,       -85.0,       -40.0
"Line.L11"              ,   1,        42.0,        20.9,         0.0,         0.0,         0.0,         0.0
"Line.L11"              ,   2,       -42.0,       -21.0
"Line.L12"              ,   1,        41.9,        20.8,         0.0,         0.0,         0.0,         0.0
