Bus,  3-Phase,  1-Phase,  L-L
SOURCEBUS   ,     502044,     527089,     434763
799         ,       3642,          2,       3181
709         ,       2259,          2,       1927
775         ,      13773,          0,      11851
701         ,       2870,          2,       2470
702         ,       2692,          2,       2312
705         ,       2495,          2,       2141
713         ,       2576,          2,       2211
703         ,       2472,          2,       2114
727         ,       2368,          2,       2024
730         ,       2310,          2,       1972
704         ,       2421,          2,       2075
714         ,       2385,          2,       2044
720         ,       2205,          2,       1889
742         ,       2347,          2,       2013
712         ,       2382,          2,       2043
706         ,       2060,          2,       1762
725         ,       1962,          2,       1678
707         ,       1878,          2,       1609
724         ,       1656,          2,       1418
722         ,       1841,          2,       1577
708         ,       2181,          2,       1858
733         ,       2107,          2,       1793
732         ,       2061,          2,       1756
731         ,       2111,          2,       1799
710         ,       1821,          2,       1549
735         ,       1762,          2,       1499
736         ,       1493,          2,       1271
711         ,       1719,          2,       1458
741         ,       1654,          2,       1403
740         ,       1666,          2,       1414
718         ,       2166,          2,       1853
744         ,       2292,          2,       1957
734         ,       1986,          2,       1688
737         ,       1860,          2,       1579
738         ,       1788,          2,       1516
728         ,       2211,          2,       1887
729         ,       2179,          2,       1859
799R        ,       3158,          2,       2719
