Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    8.48293,   142.16,    6.35556,    26.64,    8.11779,   -82.79,          0,     0.00, 1.17321E-10,    29.74,    8.48293,   -37.84,    6.35556,  -153.36,    8.11779,    97.21,          0,     0.00, 1.17321E-10,  -150.26
Transformer.SUBXF,    8.48293,   -37.84,    6.35556,  -153.36,    8.11779,    97.21,          0,     0.00, 1.28095E-14,    33.69,    406.474,   142.16,    304.537,    26.64,    388.977,   -82.79,          0,     0.00, 0.0000254479,   142.17
Transformer.XFM1, 0.0000380894,   -94.67, 0.0000400493,   145.92, 0.0000394496,    23.17,          0,     0.00, 5.35242E-9,   177.84, 4.54747E-12,    90.00, 5.82361E-12,   -51.34, 4.06738E-12,  -153.43,          0,     0.00, 1.81899E-12,   -90.00
Line.L1,    268.158,   -34.77,    221.628,  -152.90,    254.945,    95.17,          0,     0.00, 0.000182422,   -24.01,    268.189,   145.21,    221.659,    27.09,    254.965,   -84.84,          0,     0.00, 0.000142927,   161.02
Line.L2,    21.1507,   -56.75,    20.7721,  -125.01,     34.702,    89.47,          0,     0.00, 0.0000166224,   -38.33,    21.1604,   123.23,    20.7723,    54.95,    34.7071,   -90.55,          0,     0.00, 9.58114E-6,   141.17
Line.L3,    59.5905,   -40.88,    72.2405,  -137.41,    88.2629,    84.72,          0,     0.00, 0.0000590575,   -56.13,    59.5986,   139.11,    72.2437,    42.58,    88.2697,   -95.29,          0,     0.00, 0.000051956,   121.30
Line.L4,    189.854,   -30.49,    136.807,  -165.17,    135.036,   103.43,          0,     0.00, 0.0000901292,     8.20,    189.891,   149.49,    136.865,    14.81,    135.052,   -76.61,          0,     0.00, 0.0000615926,  -144.41
Line.L5,    43.0452,   -24.79,    35.8849,  -166.71,    26.6258,    98.97,          0,     0.00, 0.0000143273,   -20.25,    43.0477,   155.20,      35.89,    13.28,    26.6277,   -81.04,          0,     0.00, 0.0000108987,   160.29
Line.L6,    147.122,   -32.18,    100.997,  -164.65,    108.524,   104.47,          0,     0.00, 0.0000548438,    48.07,    147.133,   147.81,    101.013,    15.33,    108.528,   -75.54,          0,     0.00, 0.0000517329,  -122.72
Line.L7,    23.0963,     1.31,    26.0104,  -169.66,    4.83782,    58.92,          0,     0.00, 7.15052E-6,   -44.71,    23.0961,  -178.70,    26.0122,    10.34,    4.83986,  -121.10,          0,     0.00, 6.15539E-6,   135.36
Line.L8,    25.0265,   -60.79,    52.1227,  -122.00,    67.8183,    76.87,          0,     0.00, 0.0000365472,   -65.53,    25.0517,   119.17,    52.1215,    57.96,    67.8368,  -103.15,          0,     0.00, 0.0000258872,   108.56
Line.L9,    1.83491,     0.15,    20.7724,  -125.07,     19.771,    59.28,          0,     0.00, 5.43791E-6,   -39.12,    1.83415,   179.85,    20.7725,    54.90,    19.7792,  -120.74,          0,     0.00, 2.27374E-13,     0.00
Line.L10,    20.2174,   -61.13, 0.00765026,   -34.13,    20.2243,   118.88,          0,     0.00, 4.14337E-6,   -38.45,    20.2236,   118.86, 9.33064E-12,   -43.03,    20.2236,   -61.14,          0,     0.00, 1.83385E-11,   -70.44
Line.L11, 0.00850918,    85.55,    9.74189,  -122.12,    9.73435,    57.85,          0,     0.00, 2.70899E-6,   -63.18, 4.02265E-12,   137.29,    9.74156,    57.82,    9.74156,  -122.18,          0,     0.00, 1.0097E-11,    82.23
Line.L12,   0.023084,    85.57,    9.77267,  -121.99,    9.75221,    57.94,          0,     0.00, 6.65492E-6,   -85.36, 1.01685E-12,   -63.43,    9.77172,    57.87,    9.77172,  -122.13,          0,     0.00, 1.3258E-12,   -59.04
Line.L13,    4.80897,   -60.30,    32.6049,  -122.12,    35.1327,    64.81,          0,     0.00, 1.05239E-6,   -84.20,    4.81199,   119.68,    32.6047,    57.87,    35.1355,  -115.19,          0,     0.00, 6.36646E-12,     0.00
Line.L14,     122.85,   -25.46,    87.9214,  -173.59,    66.9128,   110.61,          0,     0.00, 0.0000455104,    71.36,    122.854,   154.54,    87.9309,     6.41,    66.9133,   -69.40,          0,     0.00, 0.0000436938,  -106.04
Line.L15,    10.2496,   -62.95,  0.0100915,   -34.04,    10.2585,   117.07,          0,     0.00, 2.29875E-6,    14.43,    10.2578,   117.02, 1.87497E-12,  -104.04,    10.2578,   -62.98,          0,     0.00, 5.4617E-12,   -87.61
Line.L16,  0.0223896,    85.33,    19.6511,  -120.83,     19.631,    59.14,          0,     0.00,  5.8897E-6,    -2.16, 4.4148E-12,   -55.49,    19.6497,    59.10,    19.6497,  -120.90,          0,     0.00, 3.41061E-12,    53.13
Line.L17,    131.126,   -28.18,    87.9042,  -173.58,    77.1143,   111.47,          0,     0.00, 0.0000482522,    65.73,    131.131,   151.81,    87.9137,     6.42,    77.1146,   -68.54,          0,     0.00, 0.0000468044,  -111.00
Line.L18,    20.5195,   -61.73, 0.00627919,   -33.96,    20.5251,   118.28,          0,     0.00, 1.46377E-6,    66.80,    20.5245,   118.26, 6.92651E-12,  -113.20,    20.5245,   -61.74,          0,     0.00, 6.31755E-12,  -120.26
Line.L19,   0.038037,    85.32,    9.76965,  -122.04,    9.73589,    57.85,          0,     0.00, 9.06901E-6,    71.49, 1.06799E-12,    25.20,    9.76838,    57.72,    9.76838,  -122.28,          0,     0.00, 1.90425E-12,     0.00
