# file...... Climate_Climate.csv
# date...... Mon Aug 14 14:24:20 2017
# user...... brendanlewis
# host...... (null)
# target.... climate 2278
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,temperature,solar_direct,wind_speed,rainfall,snowdepth,solar_global
2012-04-01 00:00:00 PDT,+28.402,+0,+11.4084,+0.23622,+0,+0
2012-04-01 01:00:00 PDT,+28.582,+0,+10.961,+0.23622,+0,+0
2012-04-01 02:00:00 PDT,+29.122,+0,+10.7373,+0.23622,+0,+0
2012-04-01 03:00:00 PDT,+29.482,+0,+10.5136,+0.23622,+0,+0
2012-04-01 04:00:00 PDT,+30.022,+0,+10.7373,+0.23622,+0,+0
2012-04-01 05:00:00 PDT,+31.642,+0,+10.0662,+0.23622,+0,+0
2012-04-01 06:00:00 PDT,+33.622,+8.26837,+9.61883,+0.23622,+0,+4.27354
2012-04-01 07:00:00 PDT,+35.062,+9.56901,+9.17144,+0.23622,+0,+12.8206
2012-04-01 08:00:00 PDT,+38.302,+32.8877,+8.50036,+0.27559,+0,+27.3135
2012-04-01 09:00:00 PDT,+41.722,+50.9109,+7.60558,+0.27559,+0,+43.4786
2012-04-01 10:00:00 PDT,+44.962,+82.2192,+6.9345,+0.27559,+0,+62.7096
2012-04-01 11:00:00 PDT,+48.022,+53.4192,+8.50036,+0.27559,+0,+60.5728
2012-04-01 12:00:00 PDT,+50.902,+68.9341,+10.0662,+0.27559,+0,+68.4695
2012-04-01 13:00:00 PDT,+53.962,+35.3961,+11.6321,+0.27559,+0,+56.578
2012-04-01 14:00:00 PDT,+53.242,+30.9367,+10.7373,+0.27559,+0,+44.9651
2012-04-01 15:00:00 PDT,+52.702,+5.38838,+10.0662,+0.27559,+0,+26.1987
2012-04-01 16:00:00 PDT,+51.982,+4.55225,+9.17144,+0.27559,+0,+15.7006
2012-04-01 17:00:00 PDT,+49.282,+1.20774,+9.61883,+0.27559,+0,+6.41031
2012-04-01 18:00:00 PDT,+46.762,+0,+9.84252,+0.27559,+0,+0.92903
2012-04-01 19:00:00 PDT,+44.062,+0,+10.2899,+0.27559,+0,+0
2012-04-01 20:00:00 PDT,+42.082,+0,+9.84252,+0.27559,+0,+0
2012-04-01 21:00:00 PDT,+39.922,+0,+9.61883,+0.31496,+0,+0
2012-04-01 22:00:00 PDT,+37.942,+0,+9.17144,+0.31496,+0,+0
2012-04-01 23:00:00 PDT,+37.582,+0,+8.72405,+0.31496,+0,+0
